Title,Year,DOI
Layered task planning for mobile manipulators,2019,10.1016/j.compeleceng.2019.106464
Picking up a Towel by Cooperation of Functional Finger Actions,2009,10.1109/IROS.2009.5354783
Intelligent controllers as hierarchical stochastic automata,1999,10.1109/3477.752790
Towards automated task planning for service robots using semantic knowledge representation,2012,
Identifying Reusable Primitives in Narrated Demonstrations,2016,
Combined task and motion planning system for the service robot using hierarchical action decomposition,2022,10.1007/s11370-022-00437-3
An ontology-based approach towards coupling task and path planning for the simulation of manipulation tasks,2018,
ToolBot: Learning Oriented Keypoints for Tool Usage From Self-Supervision,2024,10.1109/TII.2023.3271113
ARTIFICIAL INTELLIGENCE: PHILOSOPHICAL ASPECTS OF UNDERSTANDING,2021,10.24234/wisdom.v17i1.428
Solving hybrid control problems: Level sets and behavioral programming,2000,
Macro-Action-Based Deep Multi-Agent Reinforcement Learning,2019,
"Object Activity Scene Description, Construction, and Recognition",2021,10.1109/TCYB.2019.2904901
Motion Planning for Human-Robot Collaboration based on Reinforcement Learning,2022,10.1109/CASE49997.2022.9926471
Learning to bag with a simulation-free reinforcement learning framework for robots,2024,10.1049/csy2.12113
Vector based Control Routines for Swarms of Path Finding Robotic Devices,2020,10.5220/0009780802720283
Evolutionary behavior acquisition for humanoid robots,2006,
Primitive action learning using fuzzy neural networks,2012,
Learning Behavior Trees From Demonstration,2019,10.1109/icra.2019.8794104
A distributed task planning system for computer-integrated manufacturing systems,1996,10.1007/BF00124830
Animating Human Dressing,2015,10.1145/2766986
A Task Representation Based on Elementary Targets (ETs) and Execution Control Rules (ECRs),2009,10.1109/AIM.2009.5229896
Imitation Learning from Humanoids in a Heterogeneous Setting,2010,
MANIPULATION AND PROPAGATION OF UNCERTAINTY AND VERIFICATION OF APPLICABILITY OF ACTIONS IN ASSEMBLY TASKS,1992,10.1109/21.199463
A Neurodynamic Account of Spontaneous Behaviour,2011,10.1371/journal.pcbi.1002221
From Stochastic Grammar to Bayes Network: Probabilistic Parsing of Complex Activity,2014,10.1109/CVPR.2014.338
Asynchronous multi-agent deep reinforcement learning under partial observability,2025,10.1177/02783649241306124
Autonomous Planning of Service Robot Based on Natural Language Tasks in Intelligent Space,2017,
Detection of Manipulation Action Consequences (MAC),2013,10.1109/CVPR.2013.331
Modeling and recognition of actions through motor primitives,2008,10.1109/ROBOT.2008.4543446
What's in a Primitive? Identifying Reusable Motion Trajectories in Narrated Demonstrations,2016,
