Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Djezairi, S; Razika, BZ; Akli, I; Bouzouia, B",,,,"Djezairi, Salim; Razika, Boushaki Zamoum; Akli, Isma; Bouzouia, Brahim",,,Layered task planning for mobile manipulators,COMPUTERS & ELECTRICAL ENGINEERING,,,,,,,,,,,,,,,,,"akli, isma/AAT-2637-2020","akli, isma/0000-0002-2332-0213",,,,,,,,,,,,,0045-7906,1879-0755,,,,OCT,2019,79,,,,,,,,106464,10.1016/j.compeleceng.2019.106464,http://dx.doi.org/10.1016/j.compeleceng.2019.106464,,,,,,,,,,,,,WOS:000492799200018,View Full Record in Web of Science
C,"Nagata, K; Yamanobe, N",,,IEEE,"Nagata, Kazuyuki; Yamanobe, Natsuki",,,Picking up a Towel by Cooperation of Functional Finger Actions,2009 IEEE-RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS,,,,,IEEE RSJ International Conference on Intelligent Robots and Systems,"OCT 10-15, 2009","St Louis, MO","IEEE Robot & Automat Soc (RA),Robot Soc Japan (RSJ),Soc Instruments & Control Engn,IEEE Ind Elect Soc,Inst Control, Robot & Syst Korea,ABB,Barrett Technol, Inc,Willow Garage,ROBOTIS,Aldebaran Robot",,,,,,,,,"Yamanobe, Natsuki/M-5389-2016; Nagata, Kazuyuki/M-3760-2016","Yamanobe, Natsuki/0000-0001-8885-3064; Nagata, Kazuyuki/0000-0002-8912-0943",,,,,,,,,,,,,,,978-1-4244-3803-7,,,,2009,,,,,,,1785,1790,,10.1109/IROS.2009.5354783,http://dx.doi.org/10.1109/IROS.2009.5354783,,,,,,,,,,,,,WOS:000285372900293,View Full Record in Web of Science
J,"Lima, PU; Saridis, GN",,,,"Lima, PU; Saridis, GN",,,Intelligent controllers as hierarchical stochastic automata,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,,,,,,"Lima, Pedro/HLQ-5415-2023; Lima, Pedro/G-1300-2010","Lima, Pedro/0000-0002-8962-8050",,,,,,,,,,,,,1083-4419,1941-0492,,,,APR,1999,29,2,,,,,151,163,,10.1109/3477.752790,http://dx.doi.org/10.1109/3477.752790,,,,,,,,18252289,,,,,WOS:000079319900002,View Full Record in Web of Science
C,"Ji, Z; Qiu, RX; Noyvirt, A; Soroka, A; Packianather, M; Setchi, R; Li, DY; Xu, S",,,IEEE,"Ji, Ze; Qiu, Renxi; Noyvirt, Alex; Soroka, Anthony; Packianather, Michael; Setchi, Rossi; Li, Dayou; Xu, Shuo",,,Towards automated task planning for service robots using semantic knowledge representation,2012 10TH IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS (INDIN),IEEE International Conference on Industrial Informatics INDIN,,,,10th IEEE International Conference on Industrial Informatics (INDIN),"JUL 25-27, 2012","Beijing, PEOPLES R CHINA","IEEE,Beihang Univ",,,,,,,,,"Ji, Ze/AAI-7285-2021; Qiu, Renxi/LLK-9967-2024; Pekok, Mulla/JGC-8549-2023","Qiu, Renxi/0000-0003-3416-6781; Packianather, Michael/0000-0002-9436-8206; Ji, Ze/0000-0002-8968-9902",,,,,,,,,,,,,1935-4576,,978-1-4673-0311-8,,,,2012,,,,,,,1194,1201,,,,,,,,,,,,,,,,WOS:000312724900206,View Full Record in Web of Science
C,"Mohseni-Kabir, A; Chernova, S; Rich, C",,,ACM,"Mohseni-Kabir, Anahita; Chernova, Sonia; Rich, Charles",,,Identifying Reusable Primitives in Narrated Demonstrations,ELEVENTH ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN ROBOT INTERACTION (HRI'16),ACM IEEE International Conference on Human-Robot Interaction,,,,11th ACM/IEEE International Conference on Human-Robot Interaction (HRI),"MAR 07-10, 2016","Christchurch, NEW ZEALAND","ACM,IEEE,ACM SIGCHI,ACM SIGAI,IEEE Robot & Automat Soc,HFES,AAAI,ACM SIGART",,,,,,,,,,"Chernova, Sonia/0000-0001-6320-0825",,,,,,,,,,,,,2167-2121,2167-2148,978-1-4673-8369-1,,,,2016,,,,,,,479,480,,,,,,,,,,,,,,,,WOS:000389809100090,View Full Record in Web of Science
J,"Jeon, J; Jung, HR; Luong, T; Yumbla, F; Moon, H",,,,"Jeon, Jeongmin; Jung, Hong-ryul; Tuan Luong; Yumbla, Francisco; Moon, Hyungpil",,,Combined task and motion planning system for the service robot using hierarchical action decomposition,INTELLIGENT SERVICE ROBOTICS,,,,,,,,,,,,,,,,,"luong, tuan/LJM-1983-2024; Yumbla, Francisco/V-6602-2018; luong, tuan/F-6695-2018","Jung, Hong-ryul/0000-0002-2046-4983; Jeon, Jeongmin/0000-0001-5567-7447; Yumbla, Francisco/0000-0003-4220-010X; luong, tuan/0000-0001-5490-4337",,,,,,,,,,,,,1861-2776,1861-2784,,,,SEP,2022,15,4,,,SI,,487,501,,10.1007/s11370-022-00437-3,http://dx.doi.org/10.1007/s11370-022-00437-3,,AUG 2022,,,,,,,,,,,WOS:000840272500001,View Full Record in Web of Science
C,"Zhao, YS; Fillatreau, P; Karray, MH; Archimede, B",,,IEEE,"Zhao, Yingshen; Fillatreau, Philippe; Karray, Mohamed Hedi; Archimede, Bernard",,,An ontology-based approach towards coupling task and path planning for the simulation of manipulation tasks,2018 IEEE/ACS 15TH INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS (AICCSA),International Conference on Computer Systems and Applications,,,,15th IEEE/ACS International Conference on Computer Systems and Applications (AICCSA),"OCT 28-NOV 01, 2018","Aqaba, JORDAN","IEEE,Arab Comp Soc,Ieee Comp Soc",,,,,,,,,"KARRAY, Mohamed/AAS-8313-2020",,,,,,,,,,,,,,2161-5322,,978-1-5386-9120-5,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,WOS:000457628800028,View Full Record in Web of Science
J,"Wei, JH; Hao, P; Wang, S",,,,"Wei, Junhang; Hao, Peng; Wang, Shuo",,,ToolBot: Learning Oriented Keypoints for Tool Usage From Self-Supervision,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,,,,,,,,,,,,,,,,,"wang, shuo/0000-0002-1390-9219; Hao, Peng/0000-0001-6448-3062",,,,,,,,,,,,,1551-3203,1941-0050,,,,JAN,2024,20,1,,,,,723,731,,10.1109/TII.2023.3271113,http://dx.doi.org/10.1109/TII.2023.3271113,,,,,,,,,,,,,WOS:001163471500019,View Full Record in Web of Science
J,"Naumenko, O; Sapaev, U; Skatershchikova, A; Bekbaev, R",,,,"Naumenko, Oleg; Sapaev, Utkir; Skatershchikova, Alla; Bekbaev, Rauf",,,ARTIFICIAL INTELLIGENCE: PHILOSOPHICAL ASPECTS OF UNDERSTANDING,WISDOM,,,,,,,,,,,,,,,,,"Sapaev, Usman/AAV-3559-2020; Naumenko, Oleg/AAV-7395-2021; Bekbaev, Rauf/AAV-6907-2021","Skaterschikova, Alla/0009-0001-6548-868X; Naumenko, Oleg/0000-0002-5789-8806; Bekbaev, Rauf/0000-0001-5072-3379",,,,,,,,,,,,,1829-3824,,,,,,2021,17,1,,,,,53,64,,10.24234/wisdom.v17i1.428,http://dx.doi.org/10.24234/wisdom.v17i1.428,,,,,,,,,,,,,WOS:000635181900006,View Full Record in Web of Science
C,"Branicky, MS; Zhang, G",,,AACC; AACC; AACC,"Branicky, MS; Zhang, G",,,Solving hybrid control problems: Level sets and behavioral programming,"PROCEEDINGS OF THE 2000 AMERICAN CONTROL CONFERENCE, VOLS 1-6",PROCEEDINGS OF THE AMERICAN CONTROL CONFERENCE,,,,2000 American Control Conference (ACC 2000),"JUN 28-30, 2000","CHICAGO, IL","Amer Automat Control Council,IFAC,US Natl Member Org,Int Federat Automat Control",,,,,,,,,,"Branicky, Michael/0009-0006-7295-450X",,,,,,,,,,,,,0743-1619,,0-7803-5520-2,,,,2000,,,,,,,1175,1180,,,,,,,,,,,,,,,,WOS:000166106200242,View Full Record in Web of Science
C,"Xiao, YC; Hoffman, J; Amato, C",,"Kaelbling, LP; Kragic, D; Sugiura, K",,"Xiao, Yuchen; Hoffman, Joshua; Amato, Christopher",,,Macro-Action-Based Deep Multi-Agent Reinforcement Learning,"CONFERENCE ON ROBOT LEARNING, VOL 100",Proceedings of Machine Learning Research,,,,3rd Conference on Robot Learning (CoRL),"OCT 30-NOV 01, 2019","Osaka, JAPAN",,,,,,,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2019,100,,,,,,,,,,,,,,,,,,,,,,,WOS:001228521000087,View Full Record in Web of Science
J,"Feng, H; Wang, SS; Xu, HX; Ge, SS",,,,"Feng, Hui; Wang, Shanshan; Xu, Haixiang; Ge, Shuzhi Sam",,,"Object Activity Scene Description, Construction, and Recognition",IEEE TRANSACTIONS ON CYBERNETICS,,,,,,,,,,,,,,,,,"Wang, Shan-Shan/S-8186-2019; Ge, Shuzhi/ABJ-5567-2022; feng, hui/I-8659-2018","feng, hui/0000-0001-6696-3094",,,,,,,,,,,,,2168-2267,2168-2275,,,,OCT,2021,51,10,,,,,5082,5092,,10.1109/TCYB.2019.2904901,http://dx.doi.org/10.1109/TCYB.2019.2904901,,,,,,,,30946690,,,,,WOS:000706832000030,View Full Record in Web of Science
C,"Yu, T; Chang, Q",,,IEEE,"Yu, Tian; Chang, Qing",,,Motion Planning for Human-Robot Collaboration based on Reinforcement Learning,2022 IEEE 18TH INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),IEEE International Conference on Automation Science and Engineering,,,,IEEE 18th International Conference on Automation Science and Engineering (IEEE CASE),"AUG 20-24, 2022","Mexico City, MEXICO",IEEE,,,,,,,,,,,,,,,,,,,,,,,2161-8070,,978-1-6654-9042-9,,,,2022,,,,,,,1866,1871,,10.1109/CASE49997.2022.9926471,http://dx.doi.org/10.1109/CASE49997.2022.9926471,,,,,,,,,,,,,WOS:000927622400215,View Full Record in Web of Science
J,"Munguia-Galeano, F; Zhu, JH; Hernández, JD; Ji, Z",,,,"Munguia-Galeano, Francisco; Zhu, Jihong; Hernandez, Juan David; Ji, Ze",,,Learning to bag with a simulation-free reinforcement learning framework for robots,IET CYBER-SYSTEMS AND ROBOTICS,,,,,,,,,,,,,,,,,"Munguia Galeano, Francisco/IUQ-6287-2023; Zhu, Jihong/HQY-3089-2023; Ji, Ze/AAI-7285-2021","Munguia Galeano, Francisco/0000-0001-8397-3083",,,,,,,,,,,,,,2631-6315,,,,JUN,2024,6,2,,,,,,,e12113,10.1049/csy2.12113,http://dx.doi.org/10.1049/csy2.12113,,,,,,,,,,,,,WOS:001200005300001,View Full Record in Web of Science
C,"Chibaya, C",,"Gusikhin, O; Madani, K; Zaytoon, J",,"Chibaya, Colin",,,Vector based Control Routines for Swarms of Path Finding Robotic Devices,"ICINCO: PROCEEDINGS OF THE 17TH INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS",,,,,"17th International Conference on Informatics in Control, Automation and Robotics (ICINCO)","JUL 07-09, 2020",ELECTR NETWORK,,,,,,,,,,,,,,,,,,,,,,,,,,978-989-758-442-8,,,,2020,,,,,,,272,283,,10.5220/0009780802720283,http://dx.doi.org/10.5220/0009780802720283,,,,,,,,,,,,,WOS:000614134300030,View Full Record in Web of Science
S,"Aydemir, D; Iba, H",,"Runarsson, TP; Beyer, HG; Burke, E; MereloGuervos, JJ; Whitley, LD; Yao, X",,"Aydemir, Deniz; Iba, Hitoshi",,,Evolutionary behavior acquisition for humanoid robots,"PARALLEL PROBLEM SOLVING FROM NATURE - PPSN IX, PROCEEDINGS",Lecture Notes in Computer Science,,,,9th International Conference on Parallel Problem Solving from Nature (PPSN IX),"SEP 09-13, 2006","Univ Iceland, Reykjavik, ICELAND","Univ Iceland, Fac Engn,Univ Iceland, Sci Inst",Univ Iceland,,,,,,,,"Aydemir, Deniz/H-9416-2019",,,,,,,,,,,,,,0302-9743,1611-3349,3-540-38990-3,,,,2006,4193,,,,,,651,660,,,,,,,,,,,,,,,,WOS:000241446400066,View Full Record in Web of Science
C,"Gatsoulis, Y; Siradjuddin, I; McGinnity, TM",,,IEEE,"Gatsoulis, Yiannis; Siradjuddin, Indrazno; McGinnity, T. Martin",,,Primitive action learning using fuzzy neural networks,2012 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND BIOMIMETICS (ROBIO 2012),,,,,IEEE International Conference on Robotics and Biomimetics (ROBIO),"DEC 11-14, 2012","Guangzhou, PEOPLES R CHINA","IEEE,IEEE Robot & Automat Soc,S China Univ Technol (SCUT),Natl Nat Sci Fdn China,HIT, State Key Lab Robot & Syst,IEEE Syst, Man, & Cybernet Soc,Robot Soc Japan,Japan Soc Mech Engineers,Guangdong Mech Engn Soc (GDMES)",,,,,,,,,"siradjuddin, indrazno/AAD-9781-2021",,,,,,,,,,,,,,,,978-1-4673-2127-3; 978-1-4673-2125-9,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,WOS:000321004000257,View Full Record in Web of Science
C,"French, K; Wu, SY; Pan, TY; Zhou, ZM; Jenkins, OC",,"Howard, A; Althoefer, K; Arai, F; Arrichiello, F; Caputo, B; Castellanos, J; Hauser, K; Isler, V; Kim, J; Liu, H; Oh, P; Santos, V; Scaramuzza, D; Ude, A; Voyles, R; Yamane, K; Okamura, A",IEEE,"French, Kevin; Wu, Shiyu; Pan, Tianyang; Zhou, Zheming; Jenkins, Odest Chadwicke",,,Learning Behavior Trees From Demonstration,2019 INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 20-24, 2019","Montreal, CANADA","Bosch,DJI,Kinova,Mercedes Benz,Samsung,Argo AI,Clearpath Robot,Element AI,Fetch Robot,Huawei,iRobot,KUKA,Quanser,SICK,Toyota Res Inst,Uber,Waymo,Zhejiang Lab,Amazon,Applanix,Cloudminds,Honda Res Inst,MathWorks,Ouster",,,,,,,,,"zhou, zheming/AAA-1759-2020","French, Kevin/0000-0002-1116-5260",,,,,,,,,,,,,1050-4729,2577-087X,978-1-5386-6026-3,,,,2019,,,,,,,7784,7790,,10.1109/icra.2019.8794104,http://dx.doi.org/10.1109/icra.2019.8794104,,,,,,,,,,,,,WOS:000494942305099,View Full Record in Web of Science
J,"Kokkinaki, AI; Valavanis, KP",,,,"Kokkinaki, AI; Valavanis, KP",,,A distributed task planning system for computer-integrated manufacturing systems,JOURNAL OF INTELLIGENT MANUFACTURING,,,,,,,,,,,,,,,,,,"Kokkinaki, Angelika/0000-0002-5985-8082",,,,,,,,,,,,,0956-5515,,,,,AUG,1996,7,4,,,,,293,309,,10.1007/BF00124830,http://dx.doi.org/10.1007/BF00124830,,,,,,,,,,,,,WOS:A1996VF32200003,View Full Record in Web of Science
J,"Clegg, A; Tan, J; Turk, G; Liu, CK",,,,"Clegg, Alexander; Tan, Jie; Turk, Greg; Liu, C. Karen",,,Animating Human Dressing,ACM TRANSACTIONS ON GRAPHICS,,,,,ACM SIGGRAPH Conference,"AUG 09-13, 2015","Los Angeles, CA",ACM SIGGRAPH,,,,,,,,,"Tan, Jie/IVV-5250-2023",,,,,,,,,,,,,,0730-0301,1557-7368,,,,AUG,2015,34,4,,,,,,,116,10.1145/2766986,http://dx.doi.org/10.1145/2766986,,,,,,,,,,,,,WOS:000358786600082,View Full Record in Web of Science
C,"Abbas, T; MacDonald, BA",,,IEEE,"Abbas, Tanveer; MacDonald, Bruce A.",,,A Task Representation Based on Elementary Targets (ETs) and Execution Control Rules (ECRs),"2009 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS, VOLS 1-3",IEEE ASME International Conference on Advanced Intelligent Mechatronics,,,,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,"JUL 14-17, 2009","Singapore, SINGAPORE","IEEE,ASME",,,,,,,,,,,,,,,,,,,,,,,2159-6255,,978-1-4244-2852-6,,,,2009,,,,,,,905,910,,10.1109/AIM.2009.5229896,http://dx.doi.org/10.1109/AIM.2009.5229896,,,,,,,,,,,,,WOS:000277062800154,View Full Record in Web of Science
C,"Allen, J; Anderson, J; Baltes, J",,"Vadakkepat, P; Kim, JH; Jesse, N; AlMamun, A; Kiong, TK; Baltes, J; anderson, J; Verner, I; Ahlgren, D",,"Allen, Jeff; Anderson, John; Baltes, Jacky",,,Imitation Learning from Humanoids in a Heterogeneous Setting,TRENDS IN INTELLIGENT ROBOTICS,Communications in Computer and Information Science,,,,13th Federation-of-International-Robot-Soccer-Association Robot World Congress,"SEP 15-17, 2010","Amirit Vishwa Vidyapeetham, Bangalore, INDIA",,Amirit Vishwa Vidyapeetham,,,,,,,,,,,,,,,,,,,,,,1865-0929,1865-0937,978-3-642-15809-4,,,,2010,103,,,,,,106,113,,,,,,,,,,,,,,,,WOS:000288473800014,View Full Record in Web of Science
J,"SU, SF; LEE, CSG",,,,"SU, SF; LEE, CSG",,,MANIPULATION AND PROPAGATION OF UNCERTAINTY AND VERIFICATION OF APPLICABILITY OF ACTIONS IN ASSEMBLY TASKS,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0018-9472,,,,,NOV-DEC,1992,22,6,,,,,1376,1389,,10.1109/21.199463,http://dx.doi.org/10.1109/21.199463,,,,,,,,,,,,,WOS:A1992KN76300010,View Full Record in Web of Science
J,"Namikawa, J; Nishimoto, R; Tani, J",,,,"Namikawa, Jun; Nishimoto, Ryunosuke; Tani, Jun",,,A Neurodynamic Account of Spontaneous Behaviour,PLOS COMPUTATIONAL BIOLOGY,,,,,,,,,,,,,,,,,"Tani, Jun/AAI-8287-2020",,,,,,,,,,,,,,,1553-7358,,,,OCT,2011,7,10,,,,,,,e1002221,10.1371/journal.pcbi.1002221,http://dx.doi.org/10.1371/journal.pcbi.1002221,,,,,,,,22028634,,,,,WOS:000297262700043,View Full Record in Web of Science
C,"Vo, NN; Bobick, AF",,,IEEE,"Vo, Nam N.; Bobick, Aaron F.",,,From Stochastic Grammar to Bayes Network: Probabilistic Parsing of Complex Activity,2014 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),IEEE Conference on Computer Vision and Pattern Recognition,,,,27th IEEE Conference on Computer Vision and Pattern Recognition (CVPR),"JUN 23-28, 2014","Columbus, OH","Comp Vis Fdn,IEEE,IEEE Comp Soc",,,,,,,,,,,,,,,,,,,,,,,1063-6919,,978-1-4799-5117-8,,,,2014,,,,,,,2641,2648,,10.1109/CVPR.2014.338,http://dx.doi.org/10.1109/CVPR.2014.338,,,,,,,,,,,,,WOS:000361555602087,View Full Record in Web of Science
