Title,Year,DOI
"A foraging group of autonomous, mobile robots - Implementation of hierarchical fuzzy behavior-based control",2000,10.1109/EEEI.2000.924396
Behavior-Based Obstacle Detection in Off-Road Environments Considering Data Quality,2020,10.1007/978-3-030-11292-9_39
Research on patrol algorithm of multiple behavior-based robot fish,2005,
Implementation of Behaviour-Based Mobile Robot for Obstacle Avoidance Using a Single Ultrasonic Sensor,2009,
Fusing robot behaviors for human-level tasks,2007,
Quality-Based Behavior-Based Control for Autonomous Robots in Rough Environments,2017,10.5220/0006481405130524
A fuzzy behavior-based control for mobile robots using adaptive fusion units,2005,10.1007/s10846-004-3025-4
A behavior-based mobile robot architecture for Learning from Demonstration,2001,10.1016/S0921-8890(00)00119-6
Hybrid control of a car-like robot,2004,
A neuro-fuzzy system architecture for behavior-based control of a mobile robot in unknown environments,1997,10.1016/S0165-0114(95)00015-1
A simulation environment for bluetooth equipped mobile robots,2005,
Ayllu: Distributed port-arbitrated behavior-based control,2000,
Image-based control of an autonomous robot with omnidirectional vision,2007,10.1109/SIES.2007.4297328
Unifying Behavior-Based Control Design and Hybrid Stability Theory,2009,10.1109/ACC.2009.5160237
A behavior-based architecture for autonomous underwater exploration,2002,10.1016/S0020-0255(02)00224-4
Robot manipulator task control with obstacle avoidance using fuzzy behavior-based strategy,2001,
From a CORBA-based software framework to a component-based system architecture for controlling a mobile robot,2003,
A Study on Real-Time Implementation of Obstacle Avoidance for Autonomous Travelling Robot,2012,
Combining spiking motor primitives with a behaviour-based architecture to model locomotion for six-legged robots,2019,10.1109/iros40897.2019.8968128
Fuzzy behavior-based control trained by module learning to acquire the adaptive behaviors of mobile robots,2000,10.1016/S0378-4754(99)00120-2
Path planning for a robot manipulator based on probabilistic roadmap and reinforcement learning,2007,
Simulation of flocking behaviour among situated mobile robots,1998,
Development of complex robotic systems using the behavior-based control architecture iB2C,2010,10.1016/j.robot.2009.07.027
Design And Implementation Map Building of Behavior-Based Architecture Using Active Object Computing Model,2014,
A user-oriented framework for the design and implementation of pet robots,2004,
An LLM-based approach for enabling seamless Human-Robot collaboration in assembly,2024,10.1016/j.cirp.2024.04.002
The behaviour-based control architecture iB2C for complex robotic systems,2007,
