Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Berman, S; Edan, Y; Jamshidi, M",,,IEEE; IEEE; IEEE,"Berman, S; Edan, Y; Jamshidi, M",,,"A foraging group of autonomous, mobile robots - Implementation of hierarchical fuzzy behavior-based control",21ST IEEE CONVENTION OF THE ELECTRICAL AND ELECTRONIC ENGINEERS IN ISRAEL - IEEE PROCEEDINGS,,,,,21st IEEE Convention of the Electrical and Electronic Engineers in Israel,"APR 11-12, 2000","TEL AVIV, ISRAEL","IEEE,Applied Mat Israel,Motorola Commun Israel,Check Point,Israel Elect Corp,Intel,Comverse,Omikron Delta,Tel Aviv Univ,Ben Gurion Univ,Technion,Gordon Ctr Energy Studies,Ctr Technol Educ Holon,Tel Aviv Jaffa Municipal",,,,,,,,,"EDAN, YAEL/F-2112-2012; Berman, Sigal/F-1467-2012","Berman, Sigal/0000-0001-7717-7259; EDAN, YAEL/0000-0002-7430-8468",,,,,,,,,,,,,,,0-7803-5842-2,,,,2000,,,,,,,285,288,,10.1109/EEEI.2000.924396,http://dx.doi.org/10.1109/EEEI.2000.924396,,,,,,,,,,,,,WOS:000169088000058,View Full Record in Web of Science
C,"Wolf, P; Ropertz, T; Berns, K",,"Gusikhin, O; Madani, K",,"Wolf, Patrick; Ropertz, Thorsten; Berns, Karsten",,,Behavior-Based Obstacle Detection in Off-Road Environments Considering Data Quality,"INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS, ICINCO 2017",Lecture Notes in Electrical Engineering,,,,"14th International Conference on Informatics in Control, Automation and Robotics (ICINCO)","JUL 26-28, 2017","Madrid, SPAIN",,,,,,,,,,,"Wolf, Patrick/0000-0003-2740-7655",,,,,,,,,,,,,1876-1100,1876-1119,978-3-030-11292-9; 978-3-030-11291-2,,,,2020,495,,,,,,786,809,,10.1007/978-3-030-11292-9_39,http://dx.doi.org/10.1007/978-3-030-11292-9_39,,,,,,,,,,,,,WOS:000493283300039,View Full Record in Web of Science
J,"Sang, HQ; Wang, S; Tan, M; Zhang, ZG",,,,"Sang, HQ; Wang, S; Tan, M; Zhang, ZG",,,Research on patrol algorithm of multiple behavior-based robot fish,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,,,,,14th International Offshore and Polar Engineering Conference (ISOPE 2004),"MAY 23-28, 2004","Toulon, FRANCE",Int Soc Offshore & Polar Engineers,,,,,,,,,"SANG, HAIQUAN/GQQ-6199-2022",,,,,,,,,,,,,,1053-5381,,,,,MAR,2005,15,1,,,,,1,6,,,,,,,,,,,,,,,,WOS:000227484000001,View Full Record in Web of Science
C,"Cheng, TT; Mahyuddin, MN",,,IEEE,"Cheng, Tan Tiong; Mahyuddin, Muhammad Nasiruddin",,,Implementation of Behaviour-Based Mobile Robot for Obstacle Avoidance Using a Single Ultrasonic Sensor,2009 CONFERENCE ON INNOVATIVE TECHNOLOGIES IN INTELLIGENT SYSTEMS AND INDUSTRIAL APPLICATIONS,,,,,Conference on Innovative Technologies in Intelligent Systems and Industrial Applications,"JUL 25-26, 2009","Kuala Lumpur, MALAYSIA",,,,,,,,,,"Mahyuddin, Muhammad Nasiruddin/D-1778-2015","Mahyuddin, Muhammad Nasiruddin/0000-0002-9955-3152",,,,,,,,,,,,,,,978-1-4244-2886-1,,,,2009,,,,,,,244,248,,,,,,,,,,,,,,,,WOS:000277386000049,View Full Record in Web of Science
C,"Nicolescu, M; Jenkins, OC; Stanhope, A",,,IEEE,"Nicolescu, Monica; Jenkins, Odest Chadwicke; Stanhope, Austin",,,Fusing robot behaviors for human-level tasks,2007 IEEE 6TH INTERNATIONAL CONFERENCE ON DEVELOPMENT AND LEARNING,IEEE International Conference on Development and Learning,,,,6th IEEE International Conference on Development Learning,"JUL 11-13, 2007","London, ENGLAND",IEEE,,,,,,,,,,,,,,,,,,,,,,,,,978-1-4244-1115-3,,,,2007,,,,,,,169,174,,,,,,,,,,,,,,,,WOS:000253369100030,View Full Record in Web of Science
C,"Ropertz, T; Wolf, P; Berns, K",,"Gusikhin, O; Madani, K",,"Ropertz, Thorsten; Wolf, Patrick; Berns, Karsten",,,Quality-Based Behavior-Based Control for Autonomous Robots in Rough Environments,"ICINCO: PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS - VOL 1",,,,,"14th International Conference on Informatics in Control, Automation and Robotics (ICINCO)","JUL 26-28, 2017","Madrid, SPAIN",,,,,,,,,,,"Wolf, Patrick/0000-0003-2740-7655",,,,,,,,,,,,,,,978-989-758-304-9,,,,2017,,,,,,,513,524,,10.5220/0006481405130524,http://dx.doi.org/10.5220/0006481405130524,,,,,,,,,,,,,WOS:000668102200058,View Full Record in Web of Science
J,"Watanabe, K; Izumi, K; Maki, J; Fujimoto, K",,,,"Watanabe, K; Izumi, K; Maki, J; Fujimoto, K",,,A fuzzy behavior-based control for mobile robots using adaptive fusion units,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,,,,,,,,,,,,,,,,,,"Izumi, Kiyotaka/0000-0003-3602-3063",,,,,,,,,,,,,0921-0296,1573-0409,,,,JAN,2005,42,1,,,,,27,49,,10.1007/s10846-004-3025-4,http://dx.doi.org/10.1007/s10846-004-3025-4,,,,,,,,,,,,,WOS:000229506900002,View Full Record in Web of Science
J,"Kasper, M; Fricke, G; Steuernagel, K; von Puttkamer, E",,,,"Kasper, M; Fricke, G; Steuernagel, K; von Puttkamer, E",,,A behavior-based mobile robot architecture for Learning from Demonstration,ROBOTICS AND AUTONOMOUS SYSTEMS,,,,,EUROBOT 99 Workshop,"SEP 06-08, 1999","ZURICH, SWITZERLAND",,,,,,,,,,,,,,,,,,,,,,,,0921-8890,,,,,FEB 28,2001,34,2-3,,,,,153,164,,10.1016/S0921-8890(00)00119-6,http://dx.doi.org/10.1016/S0921-8890(00)00119-6,,,,,,,,,,,,,WOS:000168297700009,View Full Record in Web of Science
C,"Sequeira, J; Ribeiro, MI",,"Kozlowski, K",,"Sequeira, J; Ribeiro, MI",,,Hybrid control of a car-like robot,ROMOCO' 04: PROCEEDINGS OF THE FOURTH INTERNATIONAL WORKSHOP ON ROBOT MOTION AND CONTROL,,,,,4th International Workshop on Robot Motion and Control,"JUN 17-20, 2004","Puszczykowo, POLAND","Poznan Univ Technol, Inst Control & Syst Engn,IEEE Robot & Automat Soc, Poland Sect Chapter,IEEE Robot & Automat Soc",,,,,,,,,"Ribeiro, Isabel/A-8066-2009; Sequeira, Joao/F-9728-2010","Ribeiro, Isabel/0000-0001-6083-0290; Sequeira, Joao/0000-0002-6706-5365",,,,,,,,,,,,,,,83-7143-272-0,,,,2004,,,,,,,167,173,,,,,,,,,,,,,,,,WOS:000224597100025,View Full Record in Web of Science
J,"Li, W; Ma, CY; Wahl, FM",,,,"Li, W; Ma, CY; Wahl, FM",,,A neuro-fuzzy system architecture for behavior-based control of a mobile robot in unknown environments,FUZZY SETS AND SYSTEMS,,,,,,,,,,,,,,,,,"Wahl, Friedrich/Q-4009-2017",,,,,,,,,,,,,,0165-0114,,,,,APR 16,1997,87,2,,,,,133,140,,10.1016/S0165-0114(95)00015-1,http://dx.doi.org/10.1016/S0165-0114(95)00015-1,,,,,,,,,,,,,WOS:A1997WU77800001,View Full Record in Web of Science
