Title,Year,DOI
DCACI: A Decentralized Lightweight Capability Based Access Control Framework using IOTA for Internet of Things,2019,10.1109/wf-iot.2019.8767356
Stair Climbing Capability-Based Dimensional Synthesis for the Multi-legged Robot,2021,10.1109/ICRA48506.2021.9562004
"A Reasoning Architecture for Human-Robot Joint Tasks using Physics-, Social-, and Capability-Based Logic",2012,
Towards Capability-Based Worker Modelling in a Smart Factory,2017,
A mixed capability-based and optimization methodology for human-robot task allocation and scheduling,2022,10.1109/RO-MAN53752.2022.9900823
Capability-based Frameworks for Industrial Robot Skills: a Survey,2022,10.1109/CASE49997.2022.9926648
Online Capability Based Task Allocation of Cooperative Manipulators,2024,10.1007/s10846-024-02050-1
Towards Capability-based Synthesis of Executable Robot Behaviors,2018,
Capability-based task allocation in human-robot collaboration,2017,10.1016/j.promfg.2017.04.011
Capability-Based Process Modeling and Control,2020,10.1109/etfa46521.2020.9212013
Conceptualizing a Capability-Based View of Artificial Intelligence Adoption in a BPM Context,2020,10.1007/978-3-030-66498-5_15
Staircase-climbing capability-based dimension design of a hexapod robot,2021,10.1016/j.mechmachtheory.2021.104400
"A framework for goal-directed, capability-based visual perception",2004,10.1109/ROMAN.2004.1374811
Dynamic assessment of sustainable manufacturing capability based on correlation relationship for industrial cloud robotics,2023,10.1007/s00170-021-08024-z
A teleoperation system with collision avoidance capability based on virtual radar,1997,
A Novel 4-DOF 3UPU-2UPU-RRR Parallel Manipulator with Full Rotational Capability Based on Redundancy,2024,10.1007/978-3-031-64057-5_40
Microrobotic tentacles with spiral bending capability based on shape-engineered elastomeric microtubes,2015,10.1038/srep10768
Assessment of Large Vessel Support Capability Based on Comprehensive Weighting Model,2021,10.1109/ICMA52036.2021.9512812
Autonomous Navigation with Route Opening Capability Based on Deep Reinforcement Learning by Material Recognition,2024,10.1109/UR61395.2024.10597510
Capability-based semantic interoperability of manufacturing resources: A BaSys 4.0 perspective,2019,10.1016/j.ifacol.2019.11.427
Tubular Sensor with Multi-Axial Strain Sensibility and Heating Capability Based on Bio-Mimic Helical Networks,2019,10.1021/acs.iecr.9b04783
Anita: Intelligent Humanoid Robot with Self-Learning Capability Using Indonesian Language,2019,10.1109/acirs.2019.8935964
A sketch drawing humanoid robot using image-based visual servoing,2019,10.1017/S0269888919000146
A Neurorobotics Approach to Investigating the Emergence of Communication in Robots,2019,10.1109/hri.2019.8673214
A Barebones Communicative Robot Based on Social Contingency and Infomax Control,2008,
Hierarchical Planning for Error Recovery in Automated Industrial Robotic Systems,2016,
Mobile Robot Navigation with Obstacle Avoidance Capability,2008,10.1109/EPEPEMC.2008.4635436
DESIGN OF A NEW WAIST FOR A HEXAPOD ROBOT WITH PARALLEL LEG MECHANISM TO INCREASE ITS STAIR-CLIMBING CAPABILITY,2017,
Culturally Sustainable Social Robotics as an Empowerment Technology,2020,10.3233/FAIA200908
Structural design and motion characteristics analysis of dual-mode active swing arm tracked robot,2025,10.1177/09544062241288930
