Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Pinjala, SK; Sivalingam, KM",,,IEEE,"Pinjala, Sandeep Kiran; Sivalingam, Krishna M.",,,DCACI: A Decentralized Lightweight Capability Based Access Control Framework using IOTA for Internet of Things,2019 IEEE 5TH WORLD FORUM ON INTERNET OF THINGS (WF-IOT),,,,,5th IEEE World Forum on Internet of Things (IEEE WF-IoT),"APR 15-19, 2019","Univ Limerick, Elect & Comp Engn Dept, Limerick, IRELAND","IEEE,Univ Limerick,IEEE Commun Soc,IEEE Consumer Elect Soc,IEEE Reliabil Soc,IEEE Sensors Council,IEEE Signal Proc Soc,IEEE Stand Assoc,IEEE Control Syst Soc,IEEE Council Elect Design Automat,IEEE Council RFID,IEEE Electromagnet Compatibil Soc,IEEE Elect Devices Soc,IEEE Elect Packaging Soc,IEEE Ind Elect Soc,IEEE Microwave Theory & Tech Soc,IEEE Power & Energy Soc,IEEE Power Elect Soc,IEEE Robot & Automat Soc,IEEE Soc Social Implicat Technol,IEEE Vehicular Technol Soc,Sci Fdn Ireland,Analog Devices Inc,InterTradeIreland,Failte Ireland,SUGA Int Holdings Ltd,Sensors Journal","Univ Limerick, Elect & Comp Engn Dept",,,,,,,,"Sivalingam, Krishna/E-3144-2014",,,,,,,,,,,,,,,,978-1-5386-4980-0,,,,2019,,,,,,,13,18,,10.1109/wf-iot.2019.8767356,http://dx.doi.org/10.1109/wf-iot.2019.8767356,,,,,,,,,,,,,WOS:000492865800004,View Full Record in Web of Science
C,"Li, HY; Qi, CK; Chen, XB; Mao, LH; Zhao, Y; Gao, F",,,IEEE,"Li, Huayang; Qi, Chenkun; Chen, Xianbao; Mao, Liheng; Zhao, Yue; Gao, Feng",,,Stair Climbing Capability-Based Dimensional Synthesis for the Multi-legged Robot,2021 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2021),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 30-JUN 05, 2021","Xian, PEOPLES R CHINA","IEEE,IEEE Robot & Automat Soc,So Univ Sci & Technol,Harbin Inst Technol,Xian Jiaotong Univ,Univ Toronto,Nat Sci & Engn Res Council Canada,Chinese Univ Hong Kong,DJI,Biomimet Intelligence & Robot,Toyota Res Inst,Baidu,Mech Mind Robot Technologies,Facebook AI,Nokov,Manycore,Franka Emika,Zhejiang Univ, Huzhou Inst,Jing Tian,ATI Ind Automat,Amber,Direct Drive Tech,Inceptio,Flexiv,Deeproute AI,Unitree,Waymo,Kuka,Pudu Robot,Deep Robot,Nvidia,MathWorks",,,,,,,,,"Gao, Feng/KLE-0680-2024; Zhao, Yue/E-7241-2013",,,,,,,,,,,,,,1050-4729,2577-087X,978-1-7281-9077-8,,,,2021,,,,,,,2950,2956,,10.1109/ICRA48506.2021.9562004,http://dx.doi.org/10.1109/ICRA48506.2021.9562004,,,,,,,,,,,,,WOS:000765738802062,View Full Record in Web of Science
C,"Williams, K; Breazeal, C",,,IEEE; Robotics Society of Japan,"Williams, Kenton; Breazeal, Cynthia",,,"A Reasoning Architecture for Human-Robot Joint Tasks using Physics-, Social-, and Capability-Based Logic",2012 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IEEE International Conference on Intelligent Robots and Systems,,,,25th IEEE\RSJ International Conference on Intelligent Robots and Systems (IROS),"OCT 07-12, 2012","Algarve, PORTUGAL","IEEE Robot & Automat Soc (RAS),IEEE Ind Elect Soc (IES),Robot Soc Japan (RSJ),Soc Instrument & Control Engineers (SICE),New technol Fdn (NTF),Inst Control, Robot & Syst,IEEE,Adept MobileRobots,Willow Garage,Aldebaran Robot,Natl Instruments,Reflexxes GmbH,Schunk Intec S L U",,,,,,,,,,,,,,,,,,,,,,,2153-0858,,978-1-4673-1736-8,,,,2012,,,,,,,664,671,,,,,,,,,,,,,,,,WOS:000317042701034,View Full Record in Web of Science
C,"Vernim, S; Walzel, H; Knoll, A; Reinhart, G",,,IEEE,"Vernim, S.; Walzel, H.; Knoll, A.; Reinhart, G.",,,Towards Capability-Based Worker Modelling in a Smart Factory,2017 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT (IEEM),International Conference on Industrial Engineering and Engineering Management IEEM,,,,IEEE International Conference on Industrial Engineering and Engineering Management (IEEE IEEM),"DEC 10-13, 2017","Singapore, SINGAPORE","IEEE,IEEE Singapore Sect,IEEE TEMS Singapore Chapter,IEEE TEMS Hong Kong Chapter",,,,,,,,,"Knoll, Alois/AAN-8417-2021","Knoll, Alois/0000-0003-4840-076X",,,,,,,,,,,,,2157-3611,,978-1-5386-0948-4,,,,2017,,,,,,,1576,1580,,,,,,,,,,,,,,,,WOS:000428267800320,View Full Record in Web of Science
C,"Monguzzi, A; Badawi, M; Zanchettin, AM; Rocco, P",,,IEEE,"Monguzzi, Andrea; Badawi, Mahmoud; Zanchettin, Andrea Maria; Rocco, Paolo",,,A mixed capability-based and optimization methodology for human-robot task allocation and scheduling,2022 31ST IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (IEEE RO-MAN 2022),,,,,"31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN) - Social, Asocial, and Antisocial Robots","AUG 29-SEP 02, 2022","Napoli, ITALY","IEEE,LuxAI,Furhat Robot,Navel Robot,PAL Robot,Prensilia s r l,Naver Labs,Paladyn Journal Behav Robot,DIETI UNINA,PERSE,EurAi,IEEE Robot & Automat Soc,Robot Soc Japan,Korea Robot Soc",,,,,,,,,"Monguzzi, Andrea/JOK-9127-2023","Monguzzi, Andrea/0000-0003-1715-9010",,,,,,,,,,,,,,,978-1-7281-8859-1,,,,2022,,,,,,,1271,1276,,10.1109/RO-MAN53752.2022.9900823,http://dx.doi.org/10.1109/RO-MAN53752.2022.9900823,,,,,,,,,,,,,WOS:000885903300182,View Full Record in Web of Science
C,"Pantano, M; Eiband, T; Lee, D",,,IEEE,"Pantano, Matteo; Eiband, Thomas; Lee, Dongheui",,,Capability-based Frameworks for Industrial Robot Skills: a Survey,2022 IEEE 18TH INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),IEEE International Conference on Automation Science and Engineering,,,,IEEE 18th International Conference on Automation Science and Engineering (IEEE CASE),"AUG 20-24, 2022","Mexico City, MEXICO",IEEE,,,,,,,,,,"Pantano, Matteo/0000-0002-5420-0038",,,,,,,,,,,,,2161-8070,,978-1-6654-9042-9,,,,2022,,,,,,,2355,2362,,10.1109/CASE49997.2022.9926648,http://dx.doi.org/10.1109/CASE49997.2022.9926648,,,,,,,,,,,,,WOS:000927622400273,View Full Record in Web of Science
J,"Patra, K; Sinha, A; Guha, A",,,,"Patra, Keshab; Sinha, Arpita; Guha, Anirban",,,Online Capability Based Task Allocation of Cooperative Manipulators,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,,,,,,,,,,,,,,,,,"sinha, arpita/N-1560-2013","sinha, arpita/0000-0002-9116-3467",,,,,,,,,,,,,0921-0296,1573-0409,,,,MAR,2024,110,1,,,,,,,23,10.1007/s10846-024-02050-1,http://dx.doi.org/10.1007/s10846-024-02050-1,,,,,,,,,,,,,WOS:001148732200003,View Full Record in Web of Science
C,"Hayhurst, JWM; Conner, DC",,,IEEE,"Hayhurst, John Wesley McDonald; Conner, David C.",,,Towards Capability-based Synthesis of Executable Robot Behaviors,IEEE SOUTHEASTCON 2018,IEEE SoutheastCon-Proceedings,,,,IEEE SoutheastCon Conference,"APR 19-22, 2018","St Petersburg, FL","IEEE,Leidos,Schweitzer Engn Labs,Beckwith Elect Co Inc,Duke Energy,S & C Elect Co,Univ S Florida,IEEE USA,Mercer,PowerGrid Engn LLC,Power Engeneers,St Petersburg Clearwater,AESS,FloridaPoly,CourseAlign,G & W",,,,,,,,,,,,,,,,,,,,,,,1091-0050,,978-1-5386-6133-8,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,WOS:000821561800098,View Full Record in Web of Science
C,"Ranz, F; Hummel, V; Sihn, W",,"Metternich, J; Glass, R",,"Ranz, Fabian; Hummel, Vera; Sihn, Wilfried",,,Capability-based task allocation in human-robot collaboration,7TH CONFERENCE ON LEARNING FACTORIES (CLF 2017),Procedia Manufacturing,,,,7th Conference on Learning Factories (CLF),"APR 04-05, 2017","Darmstadt, GERMANY",,,,,,,,,,,"Ranz, Fabian/0000-0003-0184-6844",,,,,,,,,,,,,2351-9789,,,,,,2017,9,,,,,,182,189,,10.1016/j.promfg.2017.04.011,http://dx.doi.org/10.1016/j.promfg.2017.04.011,,,,,,,,,,,,,WOS:000416991700024,View Full Record in Web of Science
C,"Mayrhofer, M; Mayr-Dorn, C; Guiza, O; Weichhart, G; Egyed, A",,,IEEE,"Mayrhofer, Michael; Mayr-Dorn, Christoph; Guiza, Ouijdane; Weichhart, Georg; Egyed, Alexander",,,Capability-Based Process Modeling and Control,2020 25TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA),IEEE International Conference on Emerging Technologies and Factory Automation-ETFA,,,,25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),"SEP 08-11, 2020","Vienna, AUSTRIA","Inst Elect & Elect Engineers,IEEE Ind Elect Soc,TU Wien, Inst Comp Technol",,,,,,,,,"Egyed, Alexander/E-2632-2017; Weichhart, Georg/HZM-2867-2023","Weichhart, Georg/0000-0002-1405-5825",,,,,,,,,,,,,1946-0740,1946-0759,978-1-7281-8956-7,,,,2020,,,,,,,45,52,,10.1109/etfa46521.2020.9212013,http://dx.doi.org/10.1109/etfa46521.2020.9212013,,,,,,,,,,,,,WOS:000627406500005,View Full Record in Web of Science
C,"Zebec, A; Stemberger, MI",,"Ortega, AD; Leopold, H; Santoro, FM",,"Zebec, Ales; Stemberger, Mojca Indihar",,,Conceptualizing a Capability-Based View of Artificial Intelligence Adoption in a BPM Context,"BUSINESS PROCESS MANAGEMENT WORKSHOPS, BPM 2020 INTERNATIONAL WORKSHOPS",Lecture Notes in Business Information Processing,,,,18th International Conference on Business Process Management (BPM) / Blockchain Forum and the Robotic Process Automation (RPA) Forum,"SEP 13-18, 2020",ELECTR NETWORK,"Signavio,Celonis,AuraPortal,DCR Solut,Papyrus,Springer,Univ Seville, Res Grp Appl Software Engn,SCORE Lab,Inst Investigac Ingn Informatica",,,,,,,,,"Indihar Štemberger, Mojca/G-7048-2012","Zebec, Ales/0000-0003-4469-3665; Indihar Stemberger, Mojca/0000-0002-2154-5750",,,,,,,,,,,,,1865-1348,1865-1356,978-3-030-66497-8; 978-3-030-66498-5,,,,2020,397,,,,,,194,205,,10.1007/978-3-030-66498-5_15,http://dx.doi.org/10.1007/978-3-030-66498-5_15,,,,,,,,,,,,,WOS:001285177800017,View Full Record in Web of Science
J,"Li, HY; Qi, CK; Mao, LH; Zhao, Y; Chen, XB; Gao, F",,,,"Li, Huayang; Qi, Chenkun; Mao, Liheng; Zhao, Yue; Chen, Xianbao; Gao, Feng",,,Staircase-climbing capability-based dimension design of a hexapod robot,MECHANISM AND MACHINE THEORY,,,,,,,,,,,,,,,,,"Zhao, Yue/HHM-3198-2022; Gao, Feng/KLE-0680-2024",,,,,,,,,,,,,,0094-114X,1873-3999,,,,OCT,2021,164,,,,,,,,104400,10.1016/j.mechmachtheory.2021.104400,http://dx.doi.org/10.1016/j.mechmachtheory.2021.104400,,JUN 2021,,,,,,,,,,,WOS:000674504900012,View Full Record in Web of Science
C,"Vacek, S; Knoop, S; Zöllner, R; Dillmann, R",,,IEEE,"Vacek, S; Knoop, S; Zöllner, R; Dillmann, R",,,"A framework for goal-directed, capability-based visual perception","RO-MAN 2004: 13TH IEEE INTERNATIONAL WORKSHOP ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION, PROCEEDINGS",,,,,13th IEEE International Workshop on Robot and Human Interactive Communication,"SEP 20-22, 2004","Kurashiki, JAPAN","IEEE Ind Elect Soc,Robot Soc Japan,Human Interface Soc,CREST Japan Sci & Technol Agcy,IEEE Robot & Automat Soc,New Technol Fdn,Hosei Univ Res Inst,Hosei Univ Informat Technol Res Ctr,Elect Technol Res Fdn Chugoku,Okayama Fdn Sci & Technol",,,,,,,,,,,,,,,,,,,,,,,,,0-7803-8570-5,,,,2004,,,,,,,503,508,,10.1109/ROMAN.2004.1374811,http://dx.doi.org/10.1109/ROMAN.2004.1374811,,,,,,,,,,,,,WOS:000227715300085,View Full Record in Web of Science
J,"Tian, SS; Xie, XT; Xu, WJ; Liu, JY; Zhang, XM",,,,"Tian, Sisi; Xie, Xiaotong; Xu, Wenjun; Liu, Jiayi; Zhang, Xiaomei",,,Dynamic assessment of sustainable manufacturing capability based on correlation relationship for industrial cloud robotics,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,,,,,,,,,,,,,,,,,"Tian, Sisi/KEH-4972-2024; Xie, Xiaotong/HHR-9343-2022","Xu, Wenjun/0000-0001-5370-3437",,,,,,,,,,,,,0268-3768,1433-3015,,,,FEB,2023,124,9,,,SI,,3113,3135,,10.1007/s00170-021-08024-z,http://dx.doi.org/10.1007/s00170-021-08024-z,,OCT 2021,,,,,,,,,,,WOS:000708378000001,View Full Record in Web of Science
C,"Takahashi, M; Tsumaki, Y; Nenchev, DN; Uchiyama, M",,,IEEE; IEEE,"Takahashi, M; Tsumaki, Y; Nenchev, DN; Uchiyama, M",,,A teleoperation system with collision avoidance capability based on virtual radar,"RO-MAN '97 SENDAI: 6TH IEEE INTERNATIONAL WORKSHOP ON ROBOT AND HUMAN COMMUNICATION, PROCEEDINGS",,,,,6th IEEE International Workshop on Robot and Human Communication (RO-MAN 97),"SEP 29-OCT 01, 1997","SENDAI, JAPAN","IEEE Ind Electr Soc,Soc Instrumental & Control Engineers,Robot Soc Japan,Japan Soc Mech Engineers,New Technol Fdn,IEEE Robot & Automat Soc,IEEE Neural Networks Council,IEEE R&A Soc Tech Comm Virtual Real Robot,Inst Electronicsinformat & Commun Engineers,Inst Elect Engineers Japan,Informat Proc Soc Japan,Inst Image Electr Engineers Japan,Japanese Psychol Assoc,Japan Soc Med Electr & Biol Engn,Inst Televis Engineers Japan,Japanese Neural Network Soc,Japan Soc Fuzzy Theory & Syst,Japanese Soc Artificial Intelligence,Japan Ergon Res Soc,Soc Biomech",,,,,,,,,,,,,,,,,,,,,,,,,0-7803-4076-0,,,,1997,,,,,,,154,159,,,,,,,,,,,,,,,,WOS:000072047200026,View Full Record in Web of Science
