title,authors,year,journal,doi,abstract,keywords,,,,,,,,,,,,,
Hierarchical Reinforcement Learning With Model Guidance for Mobile Manipulation,"Zhou, Y.; Zhou, Y.; Jin, K.; Wang, H.",2025,,10.1109/tmech.2025.3552677,,,,,,,,,,,,,,,
"“Lucy, Take the Noodle Box!”: Domestic Object Manipulation Using Movement Primitives and Whole Body Motion","Mitrevski, A.; Padalkar, A.; Nguyen, M.; Plöger, P.G.",2019,,10.1007/978-3-030-35699-6_15,,,,,,,,,,,,,,,
Learning and generalization of complex tasks from unstructured demonstrations,"Niekum, S.; Osentoski, S.; Konidaris, G.; Barto, A.G.",2012,,10.1109/iros.2012.6386006,,,,,,,,,,,,,,,
Learning from demonstration based obstacle avoidance algorithm to plan the trajectory of a mobile manipulator,"Liu, W.; Chen, D.; Zhang, L.",2018,,10.11990/jheu.201703030,,,,,,,,,,,,,,,
Team robosimian: Semi-autonomous mobile manipulation at the 2015 DARPA robotics challenge finals,"Karumanchi, S.; Edelberg, K.; Baldwin, I.; Nash, J.; Satzinger, B.; Reid, J.; Bergh, C.; Lau, C.; Leichty, J.; Carpenter, K.; Shekels, M.; Gildner, M.; Newill-Smith, D.; Carlton, J.; Koehler, J.; Dobreva, T.; Frost, M.; Hebert, P.; Borders, J.; Ma, J.; Douillard, B.; Shankar, K.; Byl, K.; Burdick, J.; Backes, P.; Kennedy, B.",2018,,10.1007/978-3-319-74666-1_6,,,,,,,,,,,,,,,
Reinforcement Learning of Manipulation and Grasping Using Dynamical Movement Primitives for a Humanoidlike Mobile Manipulator,"Li, Z.; Zhao, T.; Chen, F.; Hu, Y.; Su, C.-Y.; Fukuda, T.",2018,,10.1109/tmech.2017.2717461,,,,,,,,,,,,,,,
Sequential quadratic programming for task plan optimization,"Hadfield-Menell, D.; Lin, C.; Chitnis, R.; Russell, S.; Abbeel, P.",2016,,10.1109/iros.2016.7759740,,,,,,,,,,,,,,,
Mobile robotic assembly on a moving vehicle,"Shi, J.; Hamner, B.; Simmons, R.; Singh, S.",2012,,10.1115/isfa2012-7193,,,,,,,,,,,,,,,
Imitation learning of a wheeled mobile manipulator based on dynamical movement primitives,"Yang, Z.; Li, M.; Zha, F.; Wang, X.; Wang, P.; Guo, W.",2021,,10.1108/ir-11-2020-0255,,,,,,,,,,,,,,,
Where Should i Look? Optimised Gaze Control for Whole-Body Collision Avoidance in Dynamic Environments,"Finean, M.N.; Merkt, W.; Havoutis, I.",2022,,10.1109/lra.2021.3137545,,,,,,,,,,,,,,,
Motion primitive based random planning for loco-manipulation tasks,"Settimi, A.; Caporale, D.; Kryczka, P.; Ferrati, M.; Pallottino, L.",2016,,10.1109/humanoids.2016.7803402,,,,,,,,,,,,,,,
