title,authors,year,journal,doi,abstract,keywords
Temporal motion recognition and segmentation approach,"Ahad, M.A.R.; Tan, J.K.; Kim, H.S.; Ishikawa, S.",2009,International Journal of Imaging Systems and Technology,10.1002/ima.20183,,
"Motion design for autonomous mobile manipulator based on programming style ""action primitive""","Nagatani, K.; Tanaka, Y.",2000,IECON Proceedings (Industrial Electronics Conference),10.1109/iecon.2000.973183,,
Learning to bag with a simulation-free reinforcement learning framework for robots,"Munguia-Galeano, F.; Zhu, J.; Hernández, J.D.; Ji, Z.",2024,IET Cyber-systems and Robotics,10.1049/csy2.12113,,
GE-Grasp: Efficient Target-Oriented Grasping in Dense Clutter,"Liu, Z.; Wang, Z.; Huang, S.; Zhou, J.; Lu, J.",2022,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros47612.2022.9981499,,
Learning primitive actions through object exploration,"Omrčen, D.; Ude, A.; Kos, A.",2008,"2008 8th IEEE-RAS International Conference on Humanoid Robots, Humanoids 2008",10.1109/ichr.2008.4755978,,
Learning to Pick by Digging: Data-Driven Dig-Grasping for Bin Picking from Clutter,"Zhao, C.; Tong, Z.; Rojas, J.; Seo, J.",2022,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra46639.2022.9811736,,
Admittance Visuomotor Policy Learning for General-Purpose Contact-Rich Manipulations,"Zhou, B.; Jiao, R.; Li, Y.; Yuan, X.; Fang, F.; Li, S.",2025,IEEE Transactions on Industrial Electronics,10.1109/tie.2025.3561816,,
Iterative Shaping of Multi-Particle Aggregates Based on Action Trees and VLM,"Lee, H.-Y.; Zhou, P.; Duan, A.; Yang, C.; Navarro-Alarcon, D.",2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3572426,,
Human-Robot Shared Control Based on Locally Weighted Intent Prediction for a Teleoperated Hydraulic Manipulator System,"Luo, S.; Cheng, M.; Ding, R.; Wang, F.; Xu, B.; Chen, B.",2022,IEEE/ASME Transactions on Mechatronics,10.1109/tmech.2022.3157852,,
A Contactless Demonstration Learning Method for Robotic Systems Based on Dynamic Parametric Regression Modeling,"Li, M.; Peng, J.; Gao, J.; Zhao, N.; Wang, Y.; Wu, M.",2025,Communications in Computer and Information Science,10.1007/978-981-96-7352-0_19,,
Ontology based autonomous robot task processing framework,"Ge, Y.; Zhang, S.; Cai, Y.; Lu, T.; Wang, H.; Hui, X.; Wang, S.",2024,Frontiers in Neurorobotics,10.3389/fnbot.2024.1401075,,
Primitive action learning using fuzzy neural networks,"Gatsoulis, Y.; Siradjuddin, I.; McGinnity, T.M.",2012,"2012 IEEE International Conference on Robotics and Biomimetics, ROBIO 2012 - Conference Digest",10.1109/robio.2012.6491183,,
Interaction Primitives for Robotic Manipulation Based on the Contact State,"Ji, H.; Li, S.; Wang, J.; Chen, J.",2022,"Proceedings - 2022 7th International Conference on Automation, Control and Robotics Engineering, CACRE 2022",10.1109/cacre54574.2022.9834102,,
Learning sequential tasks interactively from demonstrations and own experience,"Grave, K.; Behnke, S.",2013,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros.2013.6696816,,
Revolutionizing Battery Disassembly: The Design and Implementation of a Battery Disassembly Autonomous Mobile Manipulator Robot(BEAM-1),"Peng, Y.; Wang, Z.; Zhang, Y.; Zhang, S.; Cai, N.; Wu, F.; Chen, M.",2024,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros58592.2024.10802225,,
Trajectory planning with adaptive control primitives for autonomous surface vehicles operating in congested civilian traffic,"Shah, B.C.; Švec, P.; Bertaska, I.R.; Klinger, W.; Sinisterra, A.J.; Von Ellenrieder, K.; Dhanak, M.; Gupta, S.K.",2014,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros.2014.6942875,,
"Fast Exploration Using Multirotors: Analysis, Planning, and Experimentation","Goel, K.; Corah, M.; Boirum, C.; Michael, N.",2021,Springer Proceedings in Advanced Robotics,10.1007/978-981-15-9460-1_21,,
Vision-based robot navigation through combining unsupervised learning and hierarchical reinforcement learning,"Zhou, X.; Bai, T.; Gao, Y.; Han, Y.",2019,Sensors (Switzerland),10.3390/s19071576,,
Transferring the semantic constraints in human manipulation behaviors to robots,"Li, C.; Tian, G.",2020,Applied Intelligence,10.1007/s10489-019-01580-8,,
Task learning using graphical programming and human demonstrations,"Ekvall, S.; Aarno, D.; Kragic, D.",2006,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,10.1109/roman.2006.314466,,
SpeedFolding: Learning Efficient Bimanual Folding of Garments,"Avigal, Y.; Berscheid, L.; Asfour, T.; Kroger, T.; Goldberg, K.",2022,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros47612.2022.9981402,,
GeneWorker: An end-to-end robotic reinforcement learning approach with collaborative generator and worker networks,"Wang, H.; Man, H.; Cui, W.; Lu, R.; Cai, C.; Fan, X.",2024,Neural Networks,10.1016/j.neunet.2024.106472,,
Bimanual Long-Horizon Lifecare Robotics with Temporal Context LLM Planner and Transformer Reinforcement Learning,"Oh, J.-H.; Espinoza, I.; Jung, D.; Choi, Y.-H.; Pahk, K.J.; Lee, W.H.; Kim, W.; Kim, T.-S.",2025,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",10.1109/embc58623.2025.11252910,,
Using hierarchical binary Petri nets to build robust mobile robot applications: RoboGraph,"Fernández, J.L.; Sanz, R.; Paz, E.; Alonso, C.",2008,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/robot.2008.4543394,,
Large language model-driven dynamic trajectory planning for human-guided robot assembly,"Boya, Z.; Tian, W.; Pai, Z.",2025,Manufacturing Letters,10.1016/j.mfglet.2025.06.158,,
Self-Supervised Learning of Grasping Arbitrary Objects On-the-Move,"Kiyokawa, T.; Nagata, E.; Tsurumine, Y.; Kwon, Y.; Matsubara, T.",2025,"2025 IEEE/SICE International Symposium on System Integration, SII 2025",10.1109/sii59315.2025.10871085,,
