title,authors,year,journal,doi,abstract,keywords
Coordination control of wheeled mobile robots - A hybrid approach,"Chetty, R.M.K.; Singaperumal, M.; Nagarajan, T.; Tetsunari, I.",2011,International Journal of Computer Applications in Technology,10.1504/ijcat.2011.042695,,
Semantic-based interaction for teaching robot behavior compositions,"Paleologue, V.; Martin, J.; Pandey, A.K.; Coninx, A.; Chetouani, M.",2017,RO-MAN 2017 - 26th IEEE International Symposium on Robot and Human Interactive Communication,10.1109/roman.2017.8172279,,
An intelligent control of non-holonomic mobile robot based on fuzzy perception,"Shim, B.-K.; Kim, J.-H.; Park, I.-M.; Han, S.-H.",2010,"ICCAS 2010 - International Conference on Control, Automation and Systems",10.1109/iccas.2010.5670182,,
Augmenting Reinforcement Learning with Behavior Primitives for Diverse Manipulation Tasks,"Nasiriany, S.; Liu, H.; Zhu, Y.",2022,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra46639.2022.9812140,,
Two layered behaviour based navigation of a mobile robot in an unstructured environment using fuzzy logic,"Rahman, N.; Jafri, A.R.",2005,"Proceedings - IEEE 2005 International Conference on Emerging Technologies, ICET 2005",10.1109/icet.2005.1558886,,
Image-based control of an autonomous robot with omnidirectional vision,"Chen, Z.-Y.; Chen, Y.-G.; Wang, Y.-T.",2007,"2007 Symposium on Industrial Embedded Systems Proceeedings, SIES'2007",10.1109/sies.2007.4297328,,
Fuzzy behavior-based control of mobile robots,"Vadakkepat, P.; Miin, O.C.; Peng, X.; Lee, T.H.",2004,IEEE Transactions on Fuzzy Systems,10.1109/tfuzz.2004.832536,,
Mechatronics Educational System Using Multiple Mobile Robots with Behavior-Based Control Approach,"Nagata, F.; Watanabe, K.; Habib, M.K.",2013,Mechanical Engineering Education,10.1002/9781118568774.ch3,,
Development of a behaviour-based control and software architecture for a visually guided mine detection robot,"Doroftei, D.; Colon, E.; Baudoin, Y.; Sahli, H.",2009,Journal Europeen des Systemes Automatises,10.3166/jesa.43.295-314,,
Proactive avoidance of moving obstacles for a service robot utilizing a behavior-based control,"Göller, M.; Steinhardt, F.; Kerscher, T.; Zöllner, J.M.; Dillmann, R.",2010,"IEEE/RSJ 2010 International Conference on Intelligent Robots and Systems, IROS 2010 - Conference Proceedings",10.1109/iros.2010.5651506,,
Behavior generation strategy of artificial behavioral system by self-learning paradigm for autonomous robot tasks,"Daǧlarli, E.; Temeltaş, H.",2008,Proceedings of SPIE - The International Society for Optical Engineering,10.1117/12.784332,,
Behavior-based control system of a robot actively recognizing hand postures,"Kornuta, T.; Zieliński, C.",2011,"IEEE 15th International Conference on Advanced Robotics: New Boundaries for Robotics, ICAR 2011",10.1109/icar.2011.6088580,,
Initiating normal walking of a dynamic biped with a biologically motivated control,"Luksch, T.; Berns, K.",2008,"Advances in Mobile Robotics - Proceedings of the 11th International Conference on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2008",10.1142/9789812835772_0078,,
Composition of behaviour primitives for entertainment humanoid robots,"Salerno, A.; Viziano, F.; Mastrogiovanni, F.; Sgorbissa, A.; Zaccaria, R.",2011,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,10.1109/roman.2011.6005267,,
Behavior-based control of self-reconfigurable robot teams for sensor placement,"Hays, J.; Butler, Z.",2010,"Intelligent Autonomous Systems 11, IAS 2010",10.3233/978-1-60750-613-3-239,,
