title,authors,year,journal,doi,abstract,keywords
UbiCap: A Capability-based Run-time Model for Heterogeneous Sensors Management in Ubiquitous Operating System,"Li, X.; Zhang, Y.; Zhu, Z.; Yao, Y.; Zhou, X.",2023,ACM International Conference Proceeding Series,10.1145/3609437.3609448,,
Knowledge processing using EKRL for robotic applications,"Adjali, O.; Ramdane-Cherif, A.",2017,International Journal of Cognitive Informatics and Natural Intelligence,10.4018/ijcini.2017100101,,
Disturbance Compensation for a 3D Virtual-target based Path-Following Guidance System,"Bibuli, M.",2025,IFAC-PapersOnLine,10.1016/j.ifacol.2025.11.628,,
Pancakes: A software framework for distributed robot and sensor network applications,"Martin, P.; De La Croix, J.-P.; Egerstedt, M.",2012,Springer Tracts in Advanced Robotics,10.1007/978-3-642-32723-0_9,,
Visual Servo Tracking Control for Robot Manipulator via Koopman Operator-Based Disturbance Observer,"Cong, Y.; Du, H.; Zhu, W.; Wen, G.",2026,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2026.3698243,,
A bio-inspired soft-rigid hybrid actuator made of electroactive dielectric elastomers,"Liu, L.; Zhang, J.; Luo, M.; Chen, H.; Yang, Z.; Li, D.; Li, P.",2020,Applied Materials Today,10.1016/j.apmt.2020.100814,,
"""What does your robot do?""A tabletop role-playing game to support robot design","Collins, S.; Sabanovic, S.",2021,"2021 30th IEEE International Conference on Robot and Human Interactive Communication, RO-MAN 2021",10.1109/ro-man50785.2021.9515554,,
Intelligent Asphalt Pavement Distress Recognition System based on Instance Segmentation,"Zhang, Y.; Mamat, T.; Zhang, H.; Du, H.",2025,"2025 4th International Conference on Image Processing, Computer Vision and Machine Learning, ICICML 2025",10.1109/icicml67980.2025.11333496,,
Some problems in distributing real-time Ada programs across machines,"Volz, R.A.; Naylor, A.W.; Mudge, T.N.; Mayer, J.H.",1985,"Proceedings of the 1985 Annual ACM SIGAda International Conference on Ada, SIGAda 1985",10.1145/324426.324383,,
A biomimetic skin-like sensor with multiple sensory capabilities based on hybrid ionogel,"Zammali, M.; Liu, S.; Yu, W.",2021,"Sensors and Actuators, A: Physical",10.1016/j.sna.2021.112855,,
Human-in-the-loop Optimization for Adaptive Assist-as-Needed Rehabilitation,"Li, N.; Yang, Y.; Yang, T.; Chen, W.; Wang, Y.; Yu, P.; Wang, W.; Xi, N.; Liu, L.",2022,"2022 12th International Conference on CYBER Technology in Automation, Control, and Intelligent Systems, CYBER 2022",10.1109/cyber55403.2022.9907294,,
Magnetically Driven Soft Continuum Microrobot for Intravascular Operations in Microscale,"Liu, D.; Liu, X.; Chen, Z.; Zuo, Z.; Tang, X.; Huang, Q.; Arai, T.",2022,Cyborg and Bionic Systems,10.34133/2022/9850832,,
BLOCSIE - Benchmark for LOCalization in a Simulated Industrial Environment,"Spiess, F.; Bluemm, D.; Strobel, N.; Kaupp, T.; Kounev, S.",2023,"2023 21st International Conference on Advanced Robotics, ICAR 2023",10.1109/icar58858.2023.10406777,,
A Method of generating a set of common coordinates for a robot swarm with only ranging capability-principles and computer simulations-,"Ishimoto, T.; Hara, S.",2009,IEICE Transactions on Communications,10.1587/transcom.e92.b.3726,,
A systematic review of thermal manikins for thermal comfort and IAQ assessment: design trade-offs and a capability-based development framework,"Cernei, A.; Georgescu, M.-R.; Verriele, M.; Thevenet, F.; Nastase, I.",2026,Building and Environment,10.1016/j.buildenv.2026.114670,,
The lunar space communications architecture from the KARI-NASA joint study,"Tai, W.; Kim, I.K.; Moon, S.M.; Kim, D.Y.; Cheung, K.-M.; Koo, C.H.; Schier, J.; Rew, D.Y.",2016,"14th International Conference on Space Operations, 2016",10.2514/6.2016-2419,,
Human Lower Limb Motor Ability Estimation Based on Human-Machine Coupling Interactive Contact Model,"Gao, C.; Zhang, J.; Li, H.",2026,Lecture Notes in Computer Science,10.1007/978-981-95-2101-2_23,,
Towards multifunctional robotic pills,"Mundaca-Uribe, R.; Askarinam, N.; Fang, R.H.; Zhang, L.; Wang, J.",2024,Nature Biomedical Engineering,10.1038/s41551-023-01090-6,,
Hydrodynamic analysis and motion control of the Coanda-effect jet thruster for underwater robots,"Li, Y.; Liu, L.; Wang, Y.; Ren, C.",2022,Ocean Engineering,10.1016/j.oceaneng.2022.113096,,
Experimental analysis of a Fixed-Wing VTOL MAV in ground effect,"Thipyopas, C.; Moschetta, J.-M.",2010,International Journal of Micro Air Vehicles,10.1260/1756-8293.2.1.33,,
A new approach to retrieve aerosol optical thickness from AATSR over land,"Guo, J.; Xue, Y.; Guang, J.; Bai, L.",2007,International Geoscience and Remote Sensing Symposium (IGARSS),10.1109/igarss.2007.4423793,,
Adaptive gaze stabilization through cerebellar internal models in a humanoid robot,"Vannucci, L.; Tolu, S.; Falotico, E.; Dario, P.; Lund, H.H.; Laschi, C.",2016,Proceedings of the IEEE RAS and EMBS International Conference on Biomedical Robotics and Biomechatronics,10.1109/biorob.2016.7523593,,
Smart Vision-Based Action Monitoring in Assistive Robots for Elderly Safety,"Guendoul, O.; Tabii, Y.; Oulad Haj Thami, R.; Ghrissi, M.; Fadel, W.",2025,SITA 2025 - 15th International Conference on Intelligent Systems: Theories and Applications,10.1109/sita67914.2025.11273348,,
Multi-Vehicle Dynamic Water Surface Monitoring,"Nekovar, F.; Faigl, J.; Saska, M.",2023,IEEE Robotics and Automation Letters,10.1109/lra.2023.3304533,,
Automated and Cycle Time Optimized Path Planning for Robot-Based Inspection Systems,"Ulrich, M.; Lux, G.; Jürgensen, L.; Reinhart, G.",2016,Procedia CIRP,10.1016/j.procir.2016.02.021,,
Design and Implementation of a Mobile Robot System for Road Crack Detection,"Du, Y.; Zhu, G.; Yin, Y.; Zeng, X.; Yao, J.; Fan, Z.",2025,"Proceedings - 2025 China Automation Congress, CAC 2025",10.1109/cac67268.2025.11487324,,
"Development and Verification of a Model to Predict the Adjustable Force Transmission Capabilities of a Passive, Lower Back Exoskeleton","Fernandez-Montoya, M.; Erickson, E.J.; Gallego, J.A.; Aguirre, M.E.",2026,Journal of Mechanisms and Robotics,10.1115/1.4071413,,
Tactile Interactions with a Humanoid Robot: Novel Play Scenario Implementations with Children with Autism,"Robins, B.; Dautenhahn, K.",2014,International Journal of Social Robotics,10.1007/s12369-014-0228-0,,
