title,authors,year,journal,doi,abstract,keywords
"Motion design for autonomous mobile manipulator based on programming style ""action primitive""","Nagatani, K.; Tanaka, Y.",2000,IECON Proceedings (Industrial Electronics Conference),10.1109/iecon.2000.973183,,
Revolutionizing Battery Disassembly: The Design and Implementation of a Battery Disassembly Autonomous Mobile Manipulator Robot(BEAM-1),"Peng, Y.; Wang, Z.; Zhang, Y.; Zhang, S.; Cai, N.; Wu, F.; Chen, M.",2024,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros58592.2024.10802225,,
ElevNav: Large Language Model-Guided Robot Navigation via 3D Scene Graphs in Elevator Environments,"Zhang, H.",2025,Optical Memory and Neural Networks (Information Optics),10.3103/s1060992x25700109,,
Door-opening behavior of an autonomous mobile manipulator by sequence of action primitives,"Nagatani, K.; Yuta, S.",1996,Journal of Robotic Systems,10.1002/(sici)1097-4563(199611)13:11<709::aid-rob3>3.0.co;2-z,,
Motion intention recognition in robot assisted applications,"Aarno, D.; Kragic, D.",2008,Robotics and Autonomous Systems,10.1016/j.robot.2007.11.005,,
Layered task planning for mobile manipulators,"Djezairi, S.; Razika, B.Z.; Akli, I.; Bouzouia, B.",2019,Computers and Electrical Engineering,10.1016/j.compeleceng.2019.106464,,
Designing strategy and implementation of mobile manipulator control system for opening door,K. Nagatani; S. Yuta,1996,Proceedings of IEEE International Conference on Robotics and Automation,10.1109/robot.1996.506591,,
Multiple humanoid cooperative control system for heterogeneous humanoid team,Heonyoung Lim; Yeonsik Kang; Joongjae Lee; Jongwon Kim; Bum-Jae You,2008,RO-MAN 2008 - The 17th IEEE International Symposium on Robot and Human Interactive Communication,10.1109/roman.2008.4600671,,
Self-Supervised Learning of Grasping Arbitrary Objects On-the-Move,T. Kiyokawa; E. Nagata; Y. Tsurumine; Y. Kwon; T. Matsubara,2025,2025 IEEE/SICE International Symposium on System Integration (SII),10.1109/sii59315.2025.10871085,,
Going Cognitive: A Demonstration of the Utility of Task-General Cognitive Architectures for Adaptive Robotic Task Performance,T. Frasca; Z. Han; J. Allspaw; H. Yanco; M. Scheutz,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros45743.2020.9340863,,
Towards language-based verification of robot behaviors,A. Cowley; C. J. Taylor,2011,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2011.6095028,,
Designing strategy and implementation of mobile manipulator control system for opening door,"Nagatani, Keiji; Yuta, Shin'ichi",1996,Proceedings - IEEE International Conference on Robotics and Automation,,,
Natural language conditioned planning of complex robotics tasks,"Eduards Zinars, T.; Vismanis, O.; Racinskis, P.; Arents, J.; Greitans, M.",2023,Advancing Edge Artificial Intelligence: System Contexts,,,
AgentWorld: An Interactive Simulation Platform for Scene Construction and Mobile Robotic Manipulation,"Zhang, YZ; Yu, ZJ; Lai, JX; Lu, CW; Han, L",2025,CONFERENCE ON ROBOT LEARNING,,,
Door-opening behavior of an autonomous mobile manipulator by sequence of action primitives,"Nagatani, K; Yuta, S",1996,JOURNAL OF ROBOTIC SYSTEMS,,,
"Motion design for autonomous mobile manipulator based on programming style ""action primitive""","Nagatani, K; Tanaka, Y",2000,"IECON 2000: 26TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY, VOLS 1-4: 21ST CENTURY TECHNOLOGIES AND INDUSTRIAL OPPORTUNITIES",,,
