title,authors,year,journal,doi,abstract,keywords
A Learning Behavior Based Controller for Maintaining Balance in Robotic Locomotion,"Beranek, R.; Ahmadi, M.",2016,Journal of Intelligent and Robotic Systems: Theory and Applications,10.1007/s10846-015-0254-7,,
"Behavior based control of robotic payloads for detection, neutralization, and interrogation of explosive hazards","Bruemmer, D.J.; Nielsen, C.W.; Hartley, R.S.; Green, J.",2010,Proceedings of SPIE - The International Society for Optical Engineering,10.1117/12.855188,,
Behaviour-based architecture for piloting mobile manipulator robots,"Hentout, A; Bouzouia, B; Toukal, Z",2007,"2007 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS, PROCEEDINGS, VOLS 1-8",10.1109/isie.2007.4374931,,
From biological inspiration toward next-generation manipulators: Manipulator control focused on human tasks,"Waarsing, BJW; Nuttin, M; Van Brussel, H; Corteville, B",2005,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,10.1109/tsmcc.2004.840047,,
A constraint-based behavior fusion mechanism on mobile manipulator,"Huang, S; Aertbeliën, E; Van Brussel, H",2008,"2008 ECSIS SYMPOSIUM ON LEARNING AND ADAPTIVE BEHAVIORS FOR ROBOTIC SYSTEMS - LAB-RS 2008, PROCEEDINGS",10.1109/lab-rs.2008.10,,
Material Handling of a Mobile Manipulator Using an Eye-in-Hand Vision System,"Tsay, TIJ; Lai, YF; Hsiao, YL",2010,IEEE/RSJ 2010 INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2010),10.1109/iros.2010.5649578,,
Sparse Distributed Memory for Experience-Based Robot Manipulation,"Jockel, S; Lindner, F; Zhang, JW",2009,"2008 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND BIOMIMETICS, VOLS 1-4",10.1109/robio.2009.4913187,,
Autonomously learning to visually detect where manipulation will succeed,"Nguyen, H; Kemp, CC",2014,AUTONOMOUS ROBOTS,10.1007/s10514-013-9363-y,,
Behavior-based Adaptive Dynamic Programming Method for Multiple Mobile Manipulators Coordination Control,"Zhang, ZY; Chen, JF; Mo, ZB; Chen, YT; Huang, J",2023,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,10.1007/s12555-021-0904-4,,
From Composable Models to Correct-by-Construction Software for Contact-Rich Robotic Mobile-Manipulation Tasks,"Schneider, S; Kalagaturu, V; Bruyninckx, H; Hochgeschwender, N",2025,IEEE ROBOTICS AND AUTOMATION LETTERS,10.1109/lra.2025.3597864,,
Sensor-based global planning for mobile robot navigation,"Garrido, S; Moreno, L; Blanco, D; Munoz, ML",2007,ROBOTICA,10.1017/s0263574707003384,,
A behavior based nonlinear multi-agent framework using a hybrid approach,"Chang, CF; Fu, LC",2006,JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,10.1080/02533839.2006.9671130,,
A Stack-of-Tasks Approach Combined With Behavior Trees: A New Framework for Robot Control,"Domínguez, DC; Iannotta, M; Stork, JA; Schaffernicht, E; Stoyanov, T",2022,IEEE ROBOTICS AND AUTOMATION LETTERS,10.1109/lra.2022.3211481,,
A fuzzy behavior-based control system for manipulation,Z. Wasik; A. Safiotti,2002,IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/irds.2002.1043983,,
Behavior-based mobile manipulation for drum sampling,D. C. MacKenzie; R. C. Arkin,1996,Proceedings of IEEE International Conference on Robotics and Automation,10.1109/robot.1996.506521,,
Towards a Behavior Tree Based Robotic Skill Execution Framework for Human Robot Collaboration in Industrial Assembly,S. C. Akkaladevi; M. Propst; K. Deshpande; M. Hofmann; A. Pichler,2024,"2024 10th International Conference on Automation, Robotics and Applications (ICARA)",10.1109/icara60736.2024.10553029,,
Embedded CMOS imaging system for real-time robotic vision,H. Andrian; Kai-Tai Song,2005,2005 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2005.1545544,,
An autonomic behavior-based software architecture for mobile manipulator,Shu Huang; E. Aertbelien; H. Van Brussel,2008,2008 IEEE Workshop on Advanced robotics and Its Social Impacts,10.1109/arso.2008.4653598,,
A hybrid control architecture for mobile manipulation,L. Petersson; M. Egerstedt; H. I. Christensen,1999,Proceedings 1999 IEEE/RSJ International Conference on Intelligent Robots and Systems. Human and Environment Friendly Robots with High Intelligence and Emotional Quotients (Cat. No.99CH36289),10.1109/iros.1999.811657,,
Hand it over or set it down: A user study of object delivery with an assistive mobile manipulator,Y. S. Choi; T. Chen; A. Jain; C. Anderson; J. D. Glass; C. C. Kemp,2009,RO-MAN 2009 - The 18th IEEE International Symposium on Robot and Human Interactive Communication,10.1109/roman.2009.5326254,,
Autonomous Behavior Control for Quadruped Robots with Arms Based on MultiModal Large Language Model,S. Xiao; X. Shi; T. Chen; Y. Zhang; X. Rong; J. Meng,2025,"2025 5th International Conference on Computer, Control and Robotics (ICCCR)",10.1109/icccr65461.2025.11072587,,
Behavior-based mobile manipulation inspired by the human example,B. J. W. Waarsing; M. Nuttin; H. Van Brussel,2003,2003 IEEE International Conference on Robotics and Automation (Cat. No.03CH37422),10.1109/robot.2003.1241607,,
A Robotic Manipulation Framework Based on Large Model and Behavior Cloning,Z. Zhang; H. Lei; W. Shi; H. Wang; Q. Jiang; W. Luo; J. Huang,2025,2025 IEEE International Conference on Mechatronics and Automation (ICMA),10.1109/icma65362.2025.11120750,,
MPC-QP-Based Control Framework for Compliant Behavior of Humanoid Robots in Physical Collaboration with Humans,S. S. Kumbhar; P. Artemiadis,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128037,,
Multi-tasking of competing behaviors on a robot manipulator,C. Groth; D. Henrich,2013,2013 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2013.6696789,,
LLM-BT: Performing Robotic Adaptive Tasks based on Large Language Models and Behavior Trees,H. Zhou; Y. Lin; L. Yan; J. Zhu; H. Min,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610183,,
Analysis of a Behavior Based Nonholonomic Wheeled Mobile Robot Control With Hybrid System Approach,C. -f. Chang; L. -c. Fu,2006,2006 SICE-ICASE International Joint Conference,10.1109/sice.2006.315794,,
A behaviour-based blackboard architecture for mobile robots,H. Van Brussel; R. Moreas; A. Zaatri; M. Nuttin,1998,IECON '98. Proceedings of the 24th Annual Conference of the IEEE Industrial Electronics Society (Cat. No.98CH36200),10.1109/iecon.1998.724056,,
Research on ODMM Obstacle Avoidance Fuzzy Navigation Based on Ultrasonic-Absolute-Positioning,J. Lin; L. Baiyan; C. Xinyuan; Z. Hui; Z. Jie; Y. Jihong,2010,2010 International Conference on Electrical and Control Engineering,10.1109/icece.2010.425,,
Behavior-based multi-robot collaboration for autonomous construction tasks,A. Stroupe; T. Huntsberger; A. Okon; H. Aghazarian; M. Robinson,2005,2005 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2005.1545269,,
Convergence Analysis of Hybrid Control Systems in the Form of Backward Chained Behavior Trees,P. Ögren,2020,IEEE Robotics and Automation Letters,10.1109/lra.2020.3010747,,
Bottom-Up Symbolic Control: Attractor-Based Planning and Behavior Synthesis,J. Fu; H. G. Tanner,2013,IEEE Transactions on Automatic Control,10.1109/tac.2013.2277622,,
Hybrid control architecture for mobile manipulation,"Petersson, L.; Egerstedt, M.; Christensen, H.I.",1999,IEEE International Conference on Intelligent Robots and Systems,,,
Multi-agent Architecture Model for Driving Mobile Manipulator Robots,"Hentout, A; Bouzouia, B; Toukal, Z",2008,INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS,,,
Embedded CMOS imaging system for real-time robotic vision,"Andrian, H; Song, KT",2005,"2005 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, VOLS 1-4",,,
Behaviour-based cooperation between two mobile manipulators,"Sequeira, J; Ribeiro, MI",2000,INTEGRATED COMPUTER-AIDED ENGINEERING,,,
Control of nonholonomic mobile manipulators for cooperative object transportation,"Sayyaadi, H; Babaee, M",2014,SCIENTIA IRANICA,,,
Behavior-based mobile manipulation inspired by the human example,"Waarsing, BJW; Nuttin, M; Van Brussel, H",2003,"2003 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS 1-3, PROCEEDINGS",,,
Introducing robots into a human-centred environment - the behaviour-based approach,"Waarsing, R; Nuttin, M; Van Brussel, H",2001,CLIMBING AND WALKING ROBOTS,,,
An Autonomic Behavior-Based Software Architecture for Mobile Manipulator,"Huang, S; Aertbeliën, E; Van Brussel, H",2008,2008 IEEE WORKSHOP ON ADVANCED ROBOTICS AND ITS SOCIAL IMPACTS,,,
Analysis of a behavior based nonholonomic wheeled mobile robot control with hybrid system approach,"Chang, CF; Fu, LC",2006,"2006 SICE-ICASE INTERNATIONAL JOINT CONFERENCE, VOLS 1-13",,,
Behavior-based mobile manipulation for drum sampling,"MacKenzie, DC; Arkin, RC",1996,"1996 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, PROCEEDINGS, VOLS 1-4",,,
Hand It Over or Set It Down: A User Study of Object Delivery with an Assistive Mobile Manipulator,"Choi, YS; Chen, T; Jain, A; Anderson, C; Glass, JD; Kemp, CC",2009,"RO-MAN 2009: THE 18TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION, VOLS 1 AND 2",,,
A Behavior-based Approach for Task Learning on Mobile Manipulators,S. Huang; E. Aertbelien; H. V. Brussel; H. Bruyninckx,2010,ISR 2010 (41st International Symposium on Robotics) and ROBOTIK 2010 (6th German Conference on Robotics),,,
Behavior-Based Visual Servoing on a Hybrid CPU-/FPGA-Platform,C. Heupel; A. Koepper; K. Berns,2022,ISR Europe 2022; 54th International Symposium on Robotics,,,
