title,authors,year,journal,doi,abstract,keywords
Reactive Planning for Mobile Manipulation Tasks in Unexplored Semantic Environments,"Vasilopoulos, V.; Kantaros, Y.; Pappas, G.J.; Koditschek, D.E.",2021,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra48506.2021.9561958,,
Contact Optimization for Non-Prehensile Loco-Manipulation via Hierarchical Model Predictive Control,"Rigo, A.; Chen, Y.; Gupta, S.K.; Nguyen, Q.",2023,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra48891.2023.10160507,,
"A Hierarchical Manipulation Planning Framework Combining Striking, Pushing, and Pick & Place Motion Primitives","Kotecha, P.; Sinha, P.; Govindan, N.",2024,IEEE International Conference on Automation Science and Engineering,10.1109/case59546.2024.10711645,,
FFRob: Leveraging symbolic planning for efficient task and motion planning,"Garrett, CR; Lozano-Pérez, T; Kaelbling, LP",2018,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,10.1177/0278364917739114,,
Reinforcement learning of dual-arm cooperation for a mobile manipulator with sequences of dynamical movement primitives,M. Deng; Y. Hu; Z. Li,2017,2017 2nd International Conference on Advanced Robotics and Mechatronics (ICARM),10.1109/icarm.2017.8273159,,
Reinforcement Learning of Manipulation and Grasping Using Dynamical Movement Primitives for a Humanoidlike Mobile Manipulator,Z. Li; T. Zhao; F. Chen; Y. Hu; C. -Y. Su; T. Fukuda,2018,IEEE/ASME Transactions on Mechatronics,10.1109/tmech.2017.2717461,,
"Motion design for autonomous mobile manipulator based on programming style ""action primitive""",K. Nagatani; Y. Tanaka,2000,"2000 26th Annual Conference of the IEEE Industrial Electronics Society. IECON 2000. 2000 IEEE International Conference on Industrial Electronics, Control and Instrumentation. 21st Century Technologies",10.1109/iecon.2000.973183,,
Motion primitive based random planning for loco-manipulation tasks,A. Settimi; D. Caporale; P. Kryczka; M. Ferrati; L. Pallottino,2016,2016 IEEE-RAS 16th International Conference on Humanoid Robots (Humanoids),10.1109/humanoids.2016.7803402,,
Learning and Generalizing Cooperative Manipulation Skills Using Parametric Dynamic Movement Primitives,H. Kim; C. Oh; I. Jang; S. Park; H. Seo; H. J. Kim,2022,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2022.3141460,,
Search-based planning for manipulation with motion primitives,B. J. Cohen; S. Chitta; M. Likhachev,2010,2010 IEEE International Conference on Robotics and Automation,10.1109/robot.2010.5509685,,
A Versatile Affordance Modeling Framework Using Screw Primitives to Increase Autonomy During Manipulation Contact Tasks,A. Pettinger; F. Alambeigi; M. Pryor,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3181732,,
Cooperative Manipulation for a Mobile Dual-Arm Robot Using Sequences of Dynamic Movement Primitives,T. Zhao; M. Deng; Z. Li; Y. Hu,2020,IEEE Transactions on Cognitive and Developmental Systems,10.1109/tcds.2018.2868921,,
Planning for Manipulation with Adaptive Motion Primitives,B. J. Cohen; G. Subramania; S. Chitta; M. Likhachev,2011,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5980550,,
A Programming by Demonstration Approach for Robotic Manipulation with Model Predictive Interaction Control,T. Goller; A. Völz; K. Graichen,2024,2024 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta60707.2024.10666568,,
A behavior-based approach for task learning on mobile manipulators,"Huang, S.; Aertbeliën, E.; Van Brussel, H.; Bruyninckx, H.",2010,"Joint 41st International Symposium on Robotics and 6th German Conference on Robotics 2010, ISR/ROBOTIK 2010",,,
