Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A Behavior-based Adaptive Dynamic Programming Method for Multiple Mobile Manipulators Coordination Control,"International Journal of Control, Automation and Systems",,,,10.1007/s12555-021-0904-4,Zhenyi ZhangJianfei ChenZhibin MoYutao ChenJie Huang,2023,https://link.springer.com/article/10.1007/s12555-021-0904-4,Article
Reverse-Engineering of Behavior-Based Robot Components,Intelligent Autonomous Systems 18,,,,10.1007/978-3-031-44981-9_27,Dennis MeckelPatrick WolfKarsten Berns,2024,https://link.springer.com/chapter/10.1007/978-3-031-44981-9_27,Conference paper
Human-behaviour-based social locomotion model improves the humanization of social robots,Nature Machine Intelligence,,,,10.1038/s42256-022-00542-z,Chen ZhouMing-Cheng MiaoXin-Ran ChenYi-Fei HuQi ChangMing-Yuan YanShu-Guang Kuai,2022,https://link.springer.com/article/10.1038/s42256-022-00542-z,Article
Behavior-Based Indicators of Owner Attachment to Companion Robots Across Specific Contexts,HCI International 2025 – Late Breaking Papers,,,,10.1007/978-3-032-12385-5_4,Megumi TakadaJunko IchinoKaname Hayashi,2026,https://link.springer.com/chapter/10.1007/978-3-032-12385-5_4,Conference paper
A Behavior-Based Fuzzy Control System for&#xa0;Mobile Robot Navigation: Design and&#xa0;Assessment,"Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-031-48858-0_33,Juan Pablo VásconezMailyn Calderón-DíazInesmar C. BriceñoJenny M. PantojaPatricio J. Cruz,2024,https://link.springer.com/chapter/10.1007/978-3-031-48858-0_33,Conference paper
A behavior-based framework for safe deployment of humanoid robots,Autonomous Robots,,,,10.1007/s10514-021-09978-5,Nicola SciancaPaolo FerrariDaniele De SimoneLeonardo LanariGiuseppe Oriolo,2021,https://link.springer.com/article/10.1007/s10514-021-09978-5,Article
Light-weight behavior-based continuous authentication for personalized mobile robot,International Journal of Intelligent Robotics and Applications,,,,10.1007/s41315-022-00243-1,Taisuke KobayashiToshiya MabuchiMato Kosaka,2022,https://link.springer.com/article/10.1007/s41315-022-00243-1,Article
Behavior-Based Navigation of an Autonomous Hexapod Robot Using a Hybrid Automaton,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-021-01388-0,Mostafa KhazaeeMajid SadedelAtoosa Davarpanah,2021,https://link.springer.com/article/10.1007/s10846-021-01388-0,Article
Behavior-based Autonomous Navigation and Formation Control of Mobile Robots in Unknown Cluttered Dynamic Environments with Dynamic Target Tracking,International Journal of Automation and Computing,,,,10.1007/s11633-020-1264-x,Nacer HaceneBoubekeur Mendil,2021,https://link.springer.com/article/10.1007/s11633-020-1264-x,Article
Behaviour-Based Biometrics for Continuous User Authentication to Industrial Collaborative Robots,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-030-69255-1_12,Shurook S. AlmohamadeJohn A. ClarkJames Law,2021,https://link.springer.com/chapter/10.1007/978-3-030-69255-1_12,Conference paper
Extending Skills of Autonomous Off-Road Robots on the Example of Behavior-Based Edge Compaction in a Road Construction Scenario,Commercial Vehicle Technology 2020/2021,,,,10.1007/978-3-658-29717-6_5,Patrick WolfAxel VierlingJörg HusemannKarsten BernsPeter Decker,2021,https://link.springer.com/chapter/10.1007/978-3-658-29717-6_5,Conference paper
"A Self-driving Car in the Classroom: Design of an Embedded, Behavior-Based Control System for a Car-Like Robot",Automation 2019,,,,10.1007/978-3-030-13273-6_35,Mateusz MydlarzPiotr Skrzypczyński,2020,https://link.springer.com/chapter/10.1007/978-3-030-13273-6_35,Conference paper
An Experimental Validation of Behavior-Based Motions for Robotic Coronary Guidewire Crossing Techniques,Proceedings of the 2018 International Symposium on Experimental Robotics,,,,10.1007/978-3-030-33950-0_2,Young-Ho KimAnkur KapoorRodolfo FinocchiErin Girard,2020,https://link.springer.com/chapter/10.1007/978-3-030-33950-0_2,Conference paper
Fuzzy Behavior-based Control of Three Wheeled Omnidirectional Mobile Robot,International Journal of Automation and Computing,,,,10.1007/s11633-018-1135-x,Nacer HaceneBoubekeur Mendil,2018,https://link.springer.com/article/10.1007/s11633-018-1135-x,Article
Omnidirectional Four Wheel Mobile Robot Control with a Type-2 Fuzzy Logic Behavior-Based Strategy,Intuitionistic and Type-2 Fuzzy Logic Enhancements in Neural and Optimization Algorithms: Theory and Applications,,,,10.1007/978-3-030-35445-9_4,Felizardo CuevasOscar CastilloPrometeo Cortés-Antonio,2020,https://link.springer.com/chapter/10.1007/978-3-030-35445-9_4,Chapter
Search and rescue with autonomous flying robots through behavior-based cooperative intelligence,Journal of International Humanitarian Action,,,,10.1186/s41018-018-0045-4,Ross D. ArnoldHiroyuki YamaguchiToshiyuki Tanaka,2018,https://link.springer.com/article/10.1186/s41018-018-0045-4,Article
Correction to: Search and rescue with autonomous flying robots through behavior-based cooperative intelligence,Journal of International Humanitarian Action,,,,10.1186/s41018-019-0058-7,Ross D. ArnoldHiroyuki YamaguchiToshiyuki Tanaka,2019,https://link.springer.com/article/10.1186/s41018-019-0058-7,Article
