Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A novel framework for trajectory planning in robotic arm developed by integrating dynamical movement primitives with particle swarm optimization,Scientific Reports,,,,10.1038/s41598-025-14801-7,Guanghui DaiQingqing ZhangBing Xu,2025,https://link.springer.com/article/10.1038/s41598-025-14801-7,Article
Dynamic Movement Primitives Based Robot Skills Learning,Machine Intelligence Research,,,,10.1007/s11633-022-1346-z,Ling-Huan KongWei HeWen-Shi ChenHui ZhangYao-Nan Wang,2023,https://link.springer.com/article/10.1007/s11633-022-1346-z,Article
A hybrid hierarchical dual-layer kernelized movement primitive framework for accurate and smooth robot trajectory adaptation,"Signal, Image and Video Processing",,,,10.1007/s11760-026-05379-2,Zhe XuYuanyuan ZouJilong Zhang,2026,https://link.springer.com/article/10.1007/s11760-026-05379-2,Article
Hierarchical kernelized movement primitives for learning human-robot collaborative trajectories in referred object handover,Applied Intelligence,,,,10.1007/s10489-024-05902-3,Kun QianZhaokun YueJishen Bai,2024,https://link.springer.com/article/10.1007/s10489-024-05902-3,Article
A Robot Skill Learning Framework Based on Compliant Movement Primitives,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-022-01605-4,Saixiong DouJuliang XiaoWei ZhaoHang YuanHaitao Liu,2022,https://link.springer.com/article/10.1007/s10846-022-01605-4,Article
Robotic Arm Movement Primitives Assembly Planning Method Based on BT and DMP,Cognitive Systems and Information Processing,,,,10.1007/978-981-99-0617-8_27,Meng LiuWenbo ZhuLufeng LuoQinghua LuWeichang YehYunzhi ZhangQingwu Shi,2023,https://link.springer.com/chapter/10.1007/978-981-99-0617-8_27,Conference paper
Human-Robot Assembly of&#xa0;3D-Printed Building Components Combining Motion Planning and&#xa0;Dynamic Movement Primitives,Advances in Service and Industrial Robotics,,,,10.1007/978-3-032-02106-9_57,Arwin HiddingTom LimHenriette BierLuka Peternel,2025,https://link.springer.com/chapter/10.1007/978-3-032-02106-9_57,Conference paper
A Novel Skill Learning Framework for Redundant Manipulators Based on Multi-task Dynamic Movement Primitives,Intelligent Robotics and Applications,,,,10.1007/978-981-99-6486-4_48,Yuming NingTuanjie LiCong YaoYonghua Huang,2023,https://link.springer.com/chapter/10.1007/978-981-99-6486-4_48,Conference paper
Hierarchical dynamic movement primitive for the smooth movement of robots based on deep reinforcement learning,Applied Intelligence,,,,10.1007/s10489-022-03219-7,Yinlong YuanZhu Liang YuLiang HuaYun ChengJunhong LiXiaohu Sang,2022,https://link.springer.com/article/10.1007/s10489-022-03219-7,Article
Applying Dynamic Movement Primitives to Motion Planning and Inverse Kinematics Problems of an Upper Limb Exoskeleton Robot,"Proceedings of the 3rd Annual International Conference on Material, Machines and Methods for Sustainable Development (MMMS2022)",,,,10.1007/978-3-031-57460-3_15,Huy NguyenTrung NguyenHung DaoDung NguyenHa Pham,2024,https://link.springer.com/chapter/10.1007/978-3-031-57460-3_15,Conference paper
Collision-Free Motion-Primitive-Based Motion Planning Algorithm for&#xa0;Fixed-Wing Robotic Aircraft,"Advances in Guidance, Navigation and Control",,,,10.1007/978-981-19-6613-2_575,Xinyi ZhaoHang DuHanchen Lu,2023,https://link.springer.com/chapter/10.1007/978-981-19-6613-2_575,Conference paper
Composite dynamic movement primitives based on neural networks for human–robot skill transfer,Neural Computing and Applications,,,,10.1007/s00521-021-05747-8,Weiyong SiNing WangChenguang Yang,2021,https://link.springer.com/article/10.1007/s00521-021-05747-8,Article
A topological extension of movement primitives for curvature modulation and sampling of robot motion,Autonomous Robots,,,,10.1007/s10514-021-09976-7,Adrià ColoméCarme Torras,2021,https://link.springer.com/article/10.1007/s10514-021-09976-7,Article
Online adaptive teleoperation via motion primitives for mobile robots,Autonomous Robots,,,,10.1007/s10514-018-9753-2,Xuning YangAyush AgrawalKoushil SreenathNathan Michael,2018,https://link.springer.com/article/10.1007/s10514-018-9753-2,Article
Concurrent Probabilistic Motion Primitives for Obstacle Avoidance and Human-Robot Collaboration,Intelligent Robotics and Applications,,,,10.1007/978-3-030-27529-7_59,Jian FuChaoQi WangJinYu DuFan Luo,2019,https://link.springer.com/chapter/10.1007/978-3-030-27529-7_59,Conference paper
Learning of Motion Primitives Using Reference-Point-Dependent GP-HSMM for Domestic Service Robots,Intelligent Autonomous Systems 15,,,,10.1007/978-3-030-01370-7_35,Kensuke IwataTomoaki NakamuraTakayuki Nagai,2019,https://link.springer.com/chapter/10.1007/978-3-030-01370-7_35,Conference paper
A Falling Motion Strategy for Humanoids Based on Motion Primitives of Human Falling,Advances in Service and Industrial Robotics,,,,10.1007/978-3-319-61276-8_29,Libo MengZhangguo YuWeimin ZhangXuechao ChenMarco CeccarelliQiang Huang,2018,https://link.springer.com/chapter/10.1007/978-3-319-61276-8_29,Conference paper
Using probabilistic movement primitives in robotics,Autonomous Robots,,,,10.1007/s10514-017-9648-7,Alexandros ParaschosChristian DanielJan PetersGerhard Neumann,2017,https://link.springer.com/article/10.1007/s10514-017-9648-7,Article
Modeling Movement Primitives with Hidden Markov Models for Robotic and Biomedical Applications,Hidden Markov Models,,,,10.1007/978-1-4939-6753-7_15,Michelle KargDana Kulić,2017,https://link.springer.com/chapter/10.1007/978-1-4939-6753-7_15,Protocol
Kick Motions for the NAO Robot Using Dynamic Movement Primitives,RoboCup 2016: Robot World Cup XX,,,,10.1007/978-3-319-68792-6_3,Arne BöckmannTim Laue,2017,https://link.springer.com/chapter/10.1007/978-3-319-68792-6_3,Conference paper
Adaptive Robot Biped Locomotion with Dynamic Motion Primitives and Coupled Phase Oscillators,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-016-0336-1,José RosadoFilipe SilvaVítor SantosAntónio Amaro,2016,https://link.springer.com/article/10.1007/s10846-016-0336-1,Article
Probabilistic movement primitives for coordination of multiple human–robot collaborative tasks,Autonomous Robots,,,,10.1007/s10514-016-9556-2,Guilherme J. MaedaGerhard NeumannMarco EwertonRudolf LioutikovOliver KroemerJan Peters,2016,https://link.springer.com/article/10.1007/s10514-016-9556-2,Article
Incremental statistical learning for integrating motion primitives and language in humanoid robots,Autonomous Robots,,,,10.1007/s10514-015-9486-4,Wataru TakanoYoshihiko Nakamura,2015,https://link.springer.com/article/10.1007/s10514-015-9486-4,Article
Human-Like Task Planning for a Dual-Arm Robot Based on Motion Primitives,Proceedings of the 2015 Chinese Intelligent Automation Conference,,,,10.1007/978-3-662-46466-3_41,Hongcheng XuXilun Ding,2015,https://link.springer.com/chapter/10.1007/978-3-662-46466-3_41,Conference paper
Adaptive Behavior of a Biped Robot Using Dynamic Movement Primitives,Progress in Artificial Intelligence,,,,10.1007/978-3-319-23485-4_46,José RosadoFilipe SilvaVítor Santos,2015,https://link.springer.com/chapter/10.1007/978-3-319-23485-4_46,Conference paper
Movement Primitives as a Robotic Tool to Interpret Trajectories Through Learning-by-doing,International Journal of Automation and Computing,,,,10.1007/s11633-013-0734-9,Andrea SoltoggioAndre Lemme,2013,https://link.springer.com/article/10.1007/s11633-013-0734-9,Article
Walking in the resonance with the COMAN robot with trajectories based on human kinematic motion primitives (kMPs),Autonomous Robots,,,,10.1007/s10514-013-9357-9,Federico L. MoroNikos G. TsagarakisDarwin G. Caldwell,2013,https://link.springer.com/article/10.1007/s10514-013-9357-9,Article
