paper_id,citation_key,citation,title,year,doi_or_url,manipulator primitive category,manipulator primitive,manipulator skill category,manipulator skill,manipulator task category,manipulator task,mobile base primitive category,mobile base primitive,mobile base skill category,mobile base skill,mobile base task category,mobile base task,perception primitive category,perception primitive,perception skill category,perception skill,perception task category,perception task,mobile manipulator primitive category,mobile manipulator primitive,mobile manipulator skill category,mobile manipulator skill,mobile manipulator task category,mobile manipulator task,implementation type,modeled level,modeled category,modeled method,learned level,learned category,learned method
1,Mitrevski2019LucyTT,"@inproceedings{Mitrevski2019LucyTT, title={""Lucy, Take the Noodle Box!"": Domestic Object Manipulation Using Movement Primitives and Whole Body Motion}, author={Alex Mitrevski and Abhishek Padalkar and Minh-Chinh Nguyen and Paul-Gerhard Pl{\""""o}ger}, booktitle={Robot Soccer World Cup}, year={2019}, url={https://api.semanticscholar.org/CorpusID:195473551} }","""Lucy, Take the Noodle Box!"": Domestic Object Manipulation Using Movement Primitives and Whole Body Motion",2019,https://api.semanticscholar.org/CorpusID:195473551,General Motions ; Object Interaction,direction motion primitive ; control gripper,Object Manipulation,pick,,,Adapting Motion,reactive stabilization motion,,,,,Pose Estimation,detect pick pose,,,,,,,,,,,learned,,,,Trajectory learning,DMP-Based methods,Learning from Demonstration (LfD)
2,Nguyen2012AutonomouslyLT,"@article{Nguyen2012AutonomouslyLT, title={Autonomously learning to visually detect where manipulation will succeed}, author={Hai Dai Nguyen and Charles C. Kemp}, journal={Autonomous Robots}, year={2012}, volume={36}, pages={137 - 152}, url={https://api.semanticscholar.org/CorpusID:2824860} }",Autonomously learning to visually detect where manipulation will succeed,2012,https://api.semanticscholar.org/CorpusID:2824860,General Motions ; Object Interaction,direction motion primitive ; control gripper,Task-Specific Manipulation,articulated object manipulation ; use switch,,,,,,,,,,,,,,,,,,,,,learned,,,,Trajectory learning,Supervised Learning (SL),combined with Support Vector Machines (SVM)
3,Huang2013BehaviorB,"@inproceedings{Huang2013BehaviorB, title={Behavior-based Task Learning by Demonstration for Mobile Manipulators}, author={Shu Huang and Erwin Aertbeli{\""e}n and Herman Bruyninckx and Hendrik Van Brussel}, year={2013}, url={https://api.semanticscholar.org/CorpusID:62222688} }",Behavior-based Task Learning by Demonstration for Mobile Manipulators,2013,https://api.semanticscholar.org/CorpusID:62222688,General Motions ; Object Interaction ; Constraint & Compliance,direction motion primitive ; pull ; move arm with force sensitivity,,,,,General Motions ; Adapting Motion,direction motion primitive ; reactive stabilization motion,,,,,,,,,,,,,Environment-adaptive Skills ; Environment-interactive Skills,move tool along plane ; articulated object manipulation,,,both,Trajectory Generation,Human-in-the-loop,Teleoperated Trajectories,Trajectory learning,Supervised Learning (SL),combined with Support Vector Machines (SVM)
4,Cohen2011PlanningFM,"@article{Cohen2011PlanningFM, title={Planning for Manipulation with Adaptive Motion Primitives}, author={Benjamin J. Cohen and Gokul Subramania and Sachin Chitta and Maxim Likhachev}, journal={2011 IEEE International Conference on Robotics and Automation}, year={2011}, pages={5478-5485}, url={https://api.semanticscholar.org/CorpusID:8756223} }",Planning for Manipulation with Adaptive Motion Primitives,2011,https://api.semanticscholar.org/CorpusID:8756223,General Motions,direction motion primitive,,,,,,,Navigation,move to position,,,,,,,,,,,,,,,modeled,Trajectory Planning,Search-Based,Graph Search,,,
5,Tsay2018BehavioristicIP,"@article{Tsay2018BehavioristicIP, title={Behavioristic image-based pose control of mobile manipulators using an uncalibrated eye-in-hand vision system}, author={T. I. James Tsay and Pei-Jiun Hung}, journal={Artificial Life and Robotics}, year={2018}, volume={23}, pages={94-102}, url={https://api.semanticscholar.org/CorpusID:3506122} }",Behavioristic image-based pose control of mobile manipulators using an uncalibrated eye-in-hand vision system,2018,https://api.semanticscholar.org/CorpusID:3506122,General Motions ; Control Mode,direction motion primitive ; sensor based motion,,,,,,,,,,,,,,,,,,,,,Mobile Manipulation,static pick and place,modeled,Trajectory Generation,Function-Based,Fuzzy Logic,,,
6,Singh2013CoordinatingMM,"@article{Singh2013CoordinatingMM, title={Coordinating mobile manipulator's motion to produce stable trajectories on uneven terrain based on feasible acceleration count}, author={Arun Kumar Singh and K. Madhava Krishna}, journal={2013 IEEE/RSJ International Conference on Intelligent Robots and Systems}, year={2013}, pages={5009-5014}, url={https://api.semanticscholar.org/CorpusID:10382939} }",Coordinating mobile manipulator's motion to produce stable trajectories on uneven terrain based on feasible acceleration count,2013,https://api.semanticscholar.org/CorpusID:10382939,General Motions,direction motion primitive,,,,,General Motions,direction motion primitive,Challenging Terrain,traverse uneven terrain,,,,,,,,,,,,,,,modeled,Control,Optimization-Based Control,Optimization-Based Controller,,,
7,Andersen2017IntegrationOA,"@article{Andersen2017IntegrationOA, title={Integration of a Skill-based Collaborative Mobile Robot in a Smart Cyber-physical Environment}, author={Rasmus Eckholdt Andersen and Emil Blixt Hansen and David \v{C}ern{\'y} and Steffen Madsen and Biranavan Pulendralingam and Simon B{\o}gh and Dimitrios Chrysostomou}, journal={Procedia Manufacturing}, year={2017}, volume={11}, pages={114-123}, url={https://api.semanticscholar.org/CorpusID:52226282} }",Integration of a Skill-based Collaborative Mobile Robot in a Smart Cyber-physical Environment,2017,https://api.semanticscholar.org/CorpusID:52226282,General Motions ; Object Interaction,direction motion primitive ; control gripper,Object Manipulation,pick ; place,,,Perception-conditioned Motion,perception conditioned path following,Navigation,move to position,,,,,,,,,,,,,Manufacturing-related Tasks,machine tending,modeled,Trajectory Generation,Primitive-Based,Parameterized Motion Primitives,,,
8,Ding2022IntelligentAF,"@article{Ding2022IntelligentAF, title={Intelligent assistance for older adults via an admittance-controlled wheeled mobile manipulator with task-dependent end-effectors}, author={Liang Ding and Hongjun Xing and Ali Reza Torabi and Javad K. Mehr and Mojtaba Sharifi and Haibo Gao and Vivian K. Mushahwar and Mahdi Tavakoli}, journal={Mechatronics}, year={2022}, url={https://api.semanticscholar.org/CorpusID:248897270} }",Intelligent assistance for older adults via an admittance-controlled wheeled mobile manipulator with task-dependent end-effectors,2022,https://api.semanticscholar.org/CorpusID:248897270,General Motions,direction motion primitive,Object Manipulation,lift,,,General Motions,direction motion primitive,,,,,,,,,,,,,Environment-adaptive Skills ; Object Manipulation / Transport,change height ; carry ; assist,Human Interaction / Assistance,object manipulation support,learned,,,,Trajectory learning,DMP-Based methods ; Statistical Models,LfD as kinesthetic teaching ; LfD
9,Rodehutskors2015IntuitiveBT,"@article{Rodehutskors2015IntuitiveBT, title={Intuitive bimanual telemanipulation under communication restrictions by immersive 3D visualization and motion tracking}, author={Tobias Rodehutskors and Max Schwarz and Sven Behnke}, journal={2015 IEEE-RAS 15th International Conference on Humanoid Robots (Humanoids)}, year={2015}, pages={276-283}, url={https://api.semanticscholar.org/CorpusID:12984156} }",Intuitive bimanual telemanipulation under communication restrictions by immersive 3D visualization and motion tracking,2015,https://api.semanticscholar.org/CorpusID:12984156,General Motions ; Object Interaction,direction motion primitive ; execute predefined trajectory ; control gripper,Object Manipulation,handle,,,,,,,,,,,,,,,,,,,,,modeled,Trajectory Generation,Primitive-Based ; Function-Based,Parameterized Motion Primitives ; Parameterized Functions,,,
10,Pedersen2014IntuitiveSP,"@article{Pedersen2014IntuitiveSP, title={Intuitive skill-level programming of industrial handling tasks on a mobile manipulator}, author={Mikkel Rath Pedersen and Dennis Herzog and Volker Kr{\""u}ger}, journal={2014 IEEE/RSJ International Conference on Intelligent Robots and Systems}, year={2014}, pages={4523-4530}, url={https://api.semanticscholar.org/CorpusID:15443755} }",Intuitive skill-level programming of industrial handling tasks on a mobile manipulator,2014,https://api.semanticscholar.org/CorpusID:15443755,General Motions ; Object Interaction,direction motion primitive ; control gripper,Object Manipulation,pick ; place,,,General Motions,direction motion primitive,Navigation,move to position,,,Scene and Object Perception,detect target ; perceive target,,,,,,,Environment-perceptive Skills,track target,,,,,,,,,
