table_caption,section,grouping,item,citation_key,title,author,year
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Mitrevski2019LucyTT,"""Lucy, Take the Noodle Box!"": Domestic Object Manipulation Using Movement Primitives and Whole Body Motion","Alex Mitrevski and Abhishek Padalkar and Minh-Chinh Nguyen and Paul-Gerhard Pl{\""""o}ger",2019
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Nguyen2012AutonomouslyLT,Autonomously learning to visually detect where manipulation will succeed,Hai Dai Nguyen and Charles C. Kemp,2012
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Huang2013BehaviorB,Behavior-based Task Learning by Demonstration for Mobile Manipulators,"Shu Huang and Erwin Aertbeli{\""e}n and Herman Bruyninckx and Hendrik Van Brussel",2013
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Cohen2011PlanningFM,Planning for Manipulation with Adaptive Motion Primitives,Benjamin J. Cohen and Gokul Subramania and Sachin Chitta and Maxim Likhachev,2011
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Tsay2018BehavioristicIP,Behavioristic image-based pose control of mobile manipulators using an uncalibrated eye-in-hand vision system,T. I. James Tsay and Pei-Jiun Hung,2018
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Singh2013CoordinatingMM,Coordinating mobile manipulator's motion to produce stable trajectories on uneven terrain based on feasible acceleration count,Arun Kumar Singh and K. Madhava Krishna,2013
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Andersen2017IntegrationOA,Integration of a Skill-based Collaborative Mobile Robot in a Smart Cyber-physical Environment,Rasmus Eckholdt Andersen and Emil Blixt Hansen and David \v{C}ern{\'y} and Steffen Madsen and Biranavan Pulendralingam and Simon B{\o}gh and Dimitrios Chrysostomou,2017
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Ding2022IntelligentAF,Intelligent assistance for older adults via an admittance-controlled wheeled mobile manipulator with task-dependent end-effectors,Liang Ding and Hongjun Xing and Ali Reza Torabi and Javad K. Mehr and Mojtaba Sharifi and Haibo Gao and Vivian K. Mushahwar and Mahdi Tavakoli,2022
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Rodehutskors2015IntuitiveBT,Intuitive bimanual telemanipulation under communication restrictions by immersive 3D visualization and motion tracking,Tobias Rodehutskors and Max Schwarz and Sven Behnke,2015
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Pedersen2014IntuitiveSP,Intuitive skill-level programming of industrial handling tasks on a mobile manipulator,"Mikkel Rath Pedersen and Dennis Herzog and Volker Kr{\""u}ger",2014
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Orsula2022LearningTG,Learning to Grasp on the Moon from 3D Octree Observations with Deep Reinforcement Learning,Andrej Orsula and Simon Boegh and Miguel Angel Olivares-Mendez and Carol Mart{\'i}nez,2022
