table_caption,section,grouping,item,citation_keys,n_citations
Full list of identified primitives.,Manipulator Primitives,General Motions,direction motion primitive,Mitrevski2019LucyTT ; Nguyen2012AutonomouslyLT ; Huang2013BehaviorB ; Cohen2011PlanningFM ; Tsay2018BehavioristicIP ; Singh2013CoordinatingMM ; Andersen2017IntegrationOA ; Ding2022IntelligentAF ; Rodehutskors2015IntuitiveBT ; Pedersen2014IntuitiveSP ; Orsula2022LearningTG ; Li2019ManipulationSA ; Shi2012MobileRA ; Groth2013MultitaskingOC ; Bouachari2018ObjectPC ; Partovi2017ReactiveIM ; Pedersen2016RobotSF ; Cohen2012SearchbasedPF ; Cohen2010SearchbasedPF ; Huang2023SkillTA ; Lim2019SkillbasedAA ; Amaral2017SkillbasedAA ; Diab2020SkillMaNA ; Schwarz2018TeamNA ; Karumanchi2017TeamRS ; Thakar2018TowardsTT ; MacKenzie1996BehaviorbasedMM ; Hentout2007BehaviourbasedAF ; Sequeira2000BehaviourbasedCB ; Aarno2008MotionIR ; Confente2025SkinMachineIW ; Guo2025AdaptiveSC ; engelbracht2024spotlightroboticsceneunderstanding ; Lopes2026CARGOAM ; Gupta2025PreciseMM ; Wu2024InTW ; Caro2025PushSN ; Xiao2025AutonomousBC ; Williams2012ARA ; Shan2026DockAnywhereDV ; Mounsif2020BAMBA ; Watanabe2025IntegratingBP,42
Full list of identified primitives.,Manipulator Primitives,General Motions,move along plane,Groth2013MultitaskingOC ; Li2020PatternAA ; Waarsing2003BehaviorbasedMM ; Gller2024APB ; Fu2024MobileAL,5
Full list of identified primitives.,Manipulator Primitives,General Motions,reach,Lopera2012ComparingMG ; Youngquist2022EvaluatingSA ; Orsula2022LearningTG ; Beetz2016OpenRR ; Zhao2025ReactiveWL ; Nagatani1996DesigningSA ; Nagatani1996DooropeningBO ; Jauhri2022RobotLO ; Akkaladevi2024TowardsAB ; Mounsif2020BAMBA,10
Full list of identified primitives.,Manipulator Primitives,General Motions,execute predefined trajectory,Rodehutskors2015IntuitiveBT ; Andersen2015IntuitiveTP ; Settimi2016MotionPB ; Zhao2025ReactiveWL ; Schwarz2018TeamNA ; Waarsing2003BehaviorbasedMM ; Nagatani1996DesigningSA ; Nagatani1996DooropeningBO ; Waarsing2005FromBI,9
Full list of identified primitives.,Manipulator Primitives,Object Interaction,control gripper,Mitrevski2019LucyTT ; Zhao2025ACL ; Nguyen2012AutonomouslyLT ; Stckler2013IncreasingFO ; Andersen2017IntegrationOA ; Rodehutskors2015IntuitiveBT ; Pedersen2014IntuitiveSP ; Orsula2022LearningTG ; Pohl2024MAkEableMA ; Groth2013MultitaskingOC ; Toner2024PRFAP ; Zhao2025ReactiveWL ; Huang2023SkillTA ; Diab2020SkillMaNA ; Schwarz2018TeamNA ; Thakar2018TowardsTT ; Nagatani1996DesigningSA ; Nagatani1996DooropeningBO ; Choi2009HandIO ; Zsoldos2025TowardsRL ; Knobbe2022CorePI ; Akkaladevi2024TowardsAB ; Confente2025SkinMachineIW ; Lopes2026CARGOAM ; Wu2024InTW ; Williams2012ARA ; Shan2026DockAnywhereDV ; Shi2021MaximizingTU ; Zhang2025AgentWorldAI,29
Full list of identified primitives.,Manipulator Primitives,Object Interaction,pull,Huang2013BehaviorB ; Schmalstieg2023LearningHI ; Shi2012MobileRA ; Lim2008MultipleHC ; Diab2020SkillMaNA ; Huang2008ACB ; Petersson1999AHC ; Knobbe2022CorePI ; Zhang2025AgentWorldAI,9
Full list of identified primitives.,Manipulator Primitives,Object Interaction,push,Weser2009AutonomousPF ; Li2022BEHAVIOR1KAB ; Schmalstieg2023LearningHI ; Shi2012MobileRA ; Lim2008MultipleHC ; Huang2008ACB ; Kotecha2024AHM ; Watanabe2024ImprovingRS ; Gupta2025PreciseMM ; Wu2024InTW ; Caro2025PushSN ; Williams2012ARA ; Shi2021MaximizingTU ; Watanabe2025IntegratingBP ; Zhang2025AgentWorldAI,15
Full list of identified primitives.,Manipulator Primitives,Object Interaction,touch,Orsula2022LearningTG ; Gller2024APB ; Fu2024MobileAL,3
Full list of identified primitives.,Manipulator Primitives,Object Interaction,dip,Li2022BEHAVIOR1KAB ; Knobbe2022CorePI,2
Full list of identified primitives.,Manipulator Primitives,Control Mode,sensor based motion,Tsay2018BehavioristicIP ; Shi2012MobileRA ; Deng2017ReinforcementLO ; Li2017ReinforcementLO ; Peng2024RevolutionizingBD ; Wasik2002AFB ; Petersson1999AHC ; MacKenzie1996BehaviorbasedMM ; Beetz2011GeneralityAL,9
