Title,Year,DOI
Executing assembly tasks specified by manipulation primitive nets,2005,10.1163/156855305323383811
Autogenerated manipulation primitives,2023,10.1177/02783649231170897
Toward Optimal Tabletop Rearrangement with Multiple Manipulation Primitives,2024,10.1109/ICRA57147.2024.10610565
Manipulation primitives: A paradigm for abstraction and execution of grasping and manipulation tasks,2013,10.1016/j.robot.2012.11.010
Simplifying Synchronization in Cooperative Robot Tasks - An Enhancement of the Manipulation Primitive Paradigm,2016,
A Hierarchical Extension of Manipulation Primitives and Its Integration into a Robot Control Architecture,2014,
Grey-Box Learning of Adaptive Manipulation Primitives for Robotic Assembly,2023,10.1109/ICRA48891.2023.10161077
Tactile Dexterity: Manipulation Primitives with Tactile Feedback,2020,10.1109/icra40945.2020.9196976
QDP: Learning to Sequentially Optimise Quasi-Static and Dynamic Manipulation Primitives for Robotic Cloth Manipulation,2023,10.1109/IROS55552.2023.10342002
Learning Sequences of Manipulation Primitives for Robotic Assembly,2021,10.1109/ICRA48506.2021.9561029
"A Hierarchical Manipulation Planning Framework Combining Striking, Pushing, and Pick & Place Motion Primitives",2024,10.1109/CASE59546.2024.10711645
Learning Extrinsic Dexterity with Parameterized Manipulation Primitives,2024,10.1109/ICRA57147.2024.10611431
"Deriving Dexterous, In-Hand Manipulation Primitives for Adaptive Robot Hands",2017,
Using Manipulation Primitives for Brick Sorting in Clutter,2012,
Manipulation Primitives - A Universal Interface between Sensor-Based Motion Control and Robot Programming,2010,
Hybrid Differential Dynamic Programming for Planar Manipulation Primitives,2020,10.1109/icra40945.2020.9197414
Robot Learning of Everyday Object Manipulations via Human Demonstration,2010,10.1109/IROS.2010.5651244
Toppling manipulation,1999,
Assembly Planning and Task Planning-Two Prerequisites for Automated Robot Programming,2010,
Orienting micro-scale parts with squeeze and roll primitives,2002,
Grounding of actions based on verbalized physical effects and manipulation primitives,2015,
Model Predictive Interaction Control for Robotic Manipulation Tasks,2023,10.1109/TRO.2022.3196607
A Unified Trajectory Generation Algorithm for Dynamic Dexterous Manipulation,2023,10.1109/IROS55552.2023.10342095
Contact-based blind grasping of unknown objects,2012,
Towards Robust Product Packing with a Minimalistic End-Effector,2019,10.1109/icra.2019.8793966
Vision-based state and pose estimation for robotic bin picking of cables,2023,10.1109/IROS55552.2023.10342374
Visual Foresight with a Local Dynamics Model,2023,10.1007/978-3-031-25555-7_6
Feel the Tension: Manipulation of Deformable Linear Objects in Environments with Fixtures using Force Information,2022,10.1109/IROS47612.2022.9982065
Learning dextrous manipulation skills using the evolution strategy,1997,
Inexpensive conveyor-based parts feeding,1999,10.1108/01445159910280074
Contact Optimization for Non-Prehensile Loco-Manipulation via Hierarchical Model Predictive Control,2023,10.1109/ICRA48891.2023.10160507
Automating microassembly with ortho-tweezers and force sensing,2001,
The Adaptive Selection Matrix-A Key Component for Sensor-Based Control of Robotic Manipulators,2010,10.1109/ROBOT.2010.5509419
"Detection, Tracking and 3D Modeling of Objects with Sparse RGB-D SLAM and Interactive Perception",2019,10.1109/humanoids43949.2019.9035001
Learning dextrous manipulation skills using multisensory information,1996,10.1109/MFI.1996.572199
Learning dextrous manipulation skills for multifingered robot hands using the evolution strategy,1998,10.1023/A:1008822709073
Demonstration of a Prototype for Robot Assisted Endoscopic Sinus Surgery,2010,10.1109/ROBOT.2010.5509388
A Programming by Demonstration Approach for Robotic Manipulation with Model Predictive Interaction Control,2024,10.1109/CCTA60707.2024.10666568
A task frame formalism for practical implementations,2004,10.1109/ROBOT.2004.1302546
Specification of Abstract Robot Skills in Terms of Control System Behaviours,2015,10.1007/978-3-319-15847-1_14
Dexterous Manipulation Graphs,2018,
Learning Hierarchical Control for Robust In-Hand Manipulation,2020,10.1109/icra40945.2020.9197343
Augmenting Reinforcement Learning with Behavior Primitives for Diverse Manipulation Tasks,2022,10.1109/ICRA46639.2022.9812140
Vision-based Precision Manipulation with Underactuated Hands: Simple and Effective Solutions for Dexterity,2016,
Recognition of in-hand manipulation using contact state transition for multifingered robot hand control,2008,10.1016/j.robot.2007.09.018
Characterization of Grasp Configurations for Multi-Robot Object Pushing,2021,10.1109/MRS50823.2021.9620678
Multi-modal Intention Prediction with Probabilistic Movement Primitives,2019,10.1007/978-3-319-89327-3_14
Standardization of Cloth Objects and its Relevance in Robotic Manipulation,2024,10.1109/ICRA57147.2024.10610630
Human Hand Motion Analysis With Multisensory Information,2014,10.1109/TMECH.2013.2240312
An object-oriented approach using a top-down and bottom-up process for manipulative action recognition,2006,
Robotic Cable Routing with Spatial Representation,2022,10.1109/LRA.2022.3158377
A Semi-Autonomous Hierarchical Control Framework for Prosthetic Hands Inspired by Dual Streams of Human,2024,10.3390/biomimetics9010062
Shallow-Depth Insertion: Peg in Shallow Hole Through Robotic In-Hand Manipulation,2019,10.1109/LRA.2018.2890449
Robot Learning of Shifting Objects for Grasping in Cluttered Environments,2019,10.1109/iros40897.2019.8968042
A Grasping-Centered Analysis for Cloth Manipulation,2020,10.1109/TRO.2020.2986921
