"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link"
"Gallenberger D.; Bhattacharjee T.; Kim Y.; Srinivasa S.S.","Gallenberger, Daniel (57208161680); Bhattacharjee, Tapomayukh (26322272100); Kim, Youngsun (57208165850); Srinivasa, Siddhartha S. (6602084313)","57208161680; 26322272100; 57208165850; 6602084313","Transfer Depends on Acquisition: Analyzing Manipulation Strategies for Robotic Feeding","2019","ACM/IEEE International Conference on Human-Robot Interaction","2019-March","","8673309","267","276","9","10.1109/HRI.2019.8673309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063985315&doi=10.1109%2fHRI.2019.8673309&partnerID=40&md5=7d052750580ac408b3161d0dbb61a2a4"
"Chen N.; Hu Y.; Zhang J.; Zhang J.","Chen, Nan (57220824468); Hu, Ying (56201676100); Zhang, Jun (56039639400); Zhang, Jianwei (56039580400)","57220824468; 56201676100; 56039639400; 56039580400","Robot learning of everyday object manipulation using kinect","2014","Advances in Intelligent Systems and Computing","215","","","665","674","9","10.1007/978-3-642-37835-5_57","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885036226&doi=10.1007%2f978-3-642-37835-5_57&partnerID=40&md5=7103c786ba0de28ca6e562594e8a09df"
"Qingguo L.; Payandeh S.","Qingguo, Li (57192388832); Payandeh, Shahram (7006688369)","57192388832; 7006688369","An approach for object manipulation using cooperative agents","2006","Proceedings - IEEE International Conference on Robotics and Automation","2006","","1641959","1749","1754","5","10.1109/ROBOT.2006.1641959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845620402&doi=10.1109%2fROBOT.2006.1641959&partnerID=40&md5=71e3e3accb4151925d4622bf8bcdca5d"
"Monguzzi A.; Cella C.; Zanchettin A.M.; Rocco P.","Monguzzi, Andrea (57566215300); Cella, Christian (58816418200); Zanchettin, Andrea Maria (27268100300); Rocco, Paolo (57216880234)","57566215300; 58816418200; 27268100300; 57216880234","Vision-Based State and Pose Estimation for Robotic Bin Picking of Cables","2023","IEEE International Conference on Intelligent Robots and Systems","","","","3114","3120","6","10.1109/IROS55552.2023.10342374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182523932&doi=10.1109%2fIROS55552.2023.10342374&partnerID=40&md5=615fc95d0ac1291dc76e7b68b5230424"
"Goller T.; Gold T.; Volz A.; Graichen K.","Goller, Tim (57220038432); Gold, Tobias (57212930438); Volz, Andreas (57188844988); Graichen, Knut (8982088500)","57220038432; 57212930438; 57188844988; 8982088500","Model Predictive Interaction Control based on a Path-Following Formulation","2022","2022 IEEE International Conference on Mechatronics and Automation, ICMA 2022","","","","551","556","5","10.1109/ICMA54519.2022.9856004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137774877&doi=10.1109%2fICMA54519.2022.9856004&partnerID=40&md5=a5d7fe5c51c2c14f675d7223d9951302"
"Nasiriany S.; Liu H.; Zhu Y.","Nasiriany, Soroush (57218715482); Liu, Huihan (57205394034); Zhu, Yuke (56336009200)","57218715482; 57205394034; 56336009200","Augmenting Reinforcement Learning with Behavior Primitives for Diverse Manipulation Tasks","2022","Proceedings - IEEE International Conference on Robotics and Automation","","","","7477","7484","7","10.1109/ICRA46639.2022.9812140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136319620&doi=10.1109%2fICRA46639.2022.9812140&partnerID=40&md5=c6d511a1b46e5250702edd9d6dfca48c"
"Arapi V.; Santina C.D.; Bacciu D.; Bianchi M.; Bicchi A.","Arapi, Visar (57201399881); Santina, Cosimo Della (57188680141); Bacciu, Davide (23395838700); Bianchi, Matteo (57202798446); Bicchi, Antonio (7004326697)","57201399881; 57188680141; 23395838700; 57202798446; 7004326697","Deepdynamichand: A deep neural architecture for labeling hand manipulation strategies in video sources exploiting temporal information","2018","Frontiers in Neurorobotics","12","","86","","","","10.3389/fnbot.2018.00086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078995655&doi=10.3389%2ffnbot.2018.00086&partnerID=40&md5=c1ec17e6690b808a3c46d2ac2c0b746b"
"Shen Q.J.; Fahmi M.; Annuar K.A.M.","Shen, Quah Jit (57203413967); Fahmi, Muhammad (57201327467); Annuar, Khalil Azha Mohd (57207203548)","57203413967; 57201327467; 57207203548","Efficient object isolation in complex environment using manipulation primitive on a vision based mobile 6DOF robotic arm","2018","International Journal of Mechanical and Mechatronics Engineering","18","1","","50","56","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044257488&partnerID=40&md5=3c369ebfa3a48d4ca308fcc7b0a51936"
"Dang H.; Allen P.K.","Dang, Hao (26665970700); Allen, Peter K. (57203498368)","26665970700; 57203498368","Robot learning of everyday object manipulations via human demonstration","2010","IEEE/RSJ 2010 International Conference on Intelligent Robots and Systems, IROS 2010 - Conference Proceedings","","","5651244","1284","1289","5","10.1109/IROS.2010.5651244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651473860&doi=10.1109%2fIROS.2010.5651244&partnerID=40&md5=71d3f552826bddcb5b2e67aa6b007ee4"
"Belkhale S.; Sadigh D.","Belkhale, Suneel (57210787945); Sadigh, Dorsa (55052871500)","57210787945; 55052871500","PLATO: Predicting Latent Affordances Through Object-Centric Play","2023","Proceedings of Machine Learning Research","205","","","1424","1434","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164930280&partnerID=40&md5=c471c9d62fe7b50f6bd2282bc1d979f6"
"Li Q.; Payandeh S.","Li, Qingguo (57192388832); Payandeh, Shahram (7006688369)","57192388832; 7006688369","Manipulation of convex objects via two-agent point-contact push","2007","International Journal of Robotics Research","26","4","","377","403","26","10.1177/0278364907076819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047263260&doi=10.1177%2f0278364907076819&partnerID=40&md5=6ef56bd95cf9dcff3d2b6133eae7a6b0"
"Yamaguchi N.; Hasegawa S.; Murooka M.; Okada K.; Inaba M.","Yamaguchi, Naoya (57205399385); Hasegawa, Shun (57200624891); Murooka, Masaki (56031742700); Okada, Kei (7404191426); Inaba, Masayuki (7202428637)","57205399385; 57200624891; 56031742700; 7404191426; 7202428637","Selective grasp in occluded space by all-around proximity perceptible finger","2020","Robotics and Autonomous Systems","127","","103464","","","","10.1016/j.robot.2020.103464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081130613&doi=10.1016%2fj.robot.2020.103464&partnerID=40&md5=9d406e344899647593ed5eb2742b48fe"
"Thompson J.A.; Fearing R.S.","Thompson, J.A. (56327727500); Fearing, R.S. (7004262672)","56327727500; 7004262672","Automating microassembly with ortho-tweezers and force sensing","2001","IEEE International Conference on Intelligent Robots and Systems","3","","","1327","1334","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035558799&partnerID=40&md5=1004f6d052bdddd718071d89be5ac4d3"
"Kim C.H.; Seo J.","Kim, Chung Hee (57207943659); Seo, Jungwon (36675765300)","57207943659; 36675765300","Shallow-Depth Insertion: Peg in Shallow Hole Through Robotic In-Hand Manipulation","2019","IEEE Robotics and Automation Letters","4","2","8598749","383","390","7","10.1109/LRA.2018.2890449Y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063312141&doi=10.1109%2fLRA.2018.2890449Y&partnerID=40&md5=b5fefde1bfcbb255b75d875e4b492b30"
"Thomas U.; Wahl F.M.","Thomas, U. (7004226574); Wahl, F.M. (7006166774)","7004226574; 7006166774","Planning sensor feedback for assembly skills by using sensor state space graphs","2012","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7507 LNAI","PART 2","","696","707","11","10.1007/978-3-642-33515-0_68","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892843369&doi=10.1007%2f978-3-642-33515-0_68&partnerID=40&md5=e73f3eddb3dfd07b8f75ac1351602d4d"
"Xu J.; Lin Y.; Zhou H.; Min H.","Xu, Jiahua (57982722200); Lin, Yunhan (56987930200); Zhou, Haotian (57195472112); Min, Huasong (36572270900)","57982722200; 56987930200; 57195472112; 36572270900","Generating Manipulation Sequences using Reinforcement Learning and Behavior Trees for Peg-In-Hole Task","2022","Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","2022-October","","","2715","2720","5","10.1109/SMC53654.2022.9945269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142737814&doi=10.1109%2fSMC53654.2022.9945269&partnerID=40&md5=71d4840ee3191802babb0db1d6685927"
