Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Finkemeyer, B; Kröger, T; Wahl, FM",,,,"Finkemeyer, B; Kröger, T; Wahl, FM",,,Executing assembly tasks specified by manipulation primitive nets,ADVANCED ROBOTICS,,,,,,,,,,,,,,,,,"Wahl, Friedrich/Q-4009-2017",,,,,,,,,,,,,,0169-1864,1568-5535,,,,,2005,19,5,,,,,591,611,,10.1163/156855305323383811,http://dx.doi.org/10.1163/156855305323383811,,,,,,,,,,,,,WOS:000230324900007,View Full Record in Web of Science
J,"Huang, ER; Cheng, XY; Mao, YM; Gupta, A; Mason, MT",,,,"Huang, Eric; Cheng, Xianyi; Mao, Yuemin; Gupta, Arnav; Mason, Matthew T.",,,Autogenerated manipulation primitives,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0278-3649,1741-3176,,,,MAY,2023,42,6,,,SI,,433,458,,10.1177/02783649231170897,http://dx.doi.org/10.1177/02783649231170897,,MAY 2023,,,,,,,,,,,WOS:001001033700001,View Full Record in Web of Science
C,"Huang, BC; Zhang, XJ; Zhang, JJ",,,IEEE,"Huang, Baichuan; Zhang, Xujia; Zhang, Jingjin",,,Toward Optimal Tabletop Rearrangement with Multiple Manipulation Primitives,2024 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2024),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 13-17, 2024","Yokohama, JAPAN","IEEE,IEEE Robot & Automat Soc",,,,,,,,,,,,,,,,,,,,,,,1050-4729,2577-087X,979-8-3503-8458-1; 979-8-3503-8457-4,,,,2024,,,,,,,10860,10866,,10.1109/ICRA57147.2024.10610565,http://dx.doi.org/10.1109/ICRA57147.2024.10610565,,,,,,,,,,,,,WOS:001369728001100,View Full Record in Web of Science
J,"Felip, J; Laaksonen, J; Morales, A; Kyrki, V",,,,"Felip, J.; Laaksonen, J.; Morales, A.; Kyrki, V.",,,Manipulation primitives: A paradigm for abstraction and execution of grasping and manipulation tasks,ROBOTICS AND AUTONOMOUS SYSTEMS,,,,,,,,,,,,,,,,,"Leon, Javier/AAF-4688-2020; Kyrki, Ville/F-3034-2011; Morales, Antonio/C-4793-2012","Kyrki, Ville/0000-0002-5230-5549; Morales, Antonio/0000-0002-8478-0854",,,,,,,,,,,,,0921-8890,1872-793X,,,,MAR,2013,61,3,,,,,283,296,,10.1016/j.robot.2012.11.010,http://dx.doi.org/10.1016/j.robot.2012.11.010,,,,,,,,,,,,,WOS:000315541600006,View Full Record in Web of Science
C,"Pek, C; Muxfeldt, A; Kubus, D",,,IEEE,"Pek, Christian; Muxfeldt, Arne; Kubus, Daniel",,,Simplifying Synchronization in Cooperative Robot Tasks - An Enhancement of the Manipulation Primitive Paradigm,2016 IEEE 21ST INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA),IEEE International Conference on Emerging Technologies and Factory Automation-ETFA,,,,21st IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),"SEP 06-09, 2016","OWL Univ Appl Sci, Fraunhofer IOSB INA, Berlin, GERMANY","IEEE,IES,OWL Univ Appl Sci, Inst Ind Informat Technologies","OWL Univ Appl Sci, Fraunhofer IOSB INA",,,,,,,,"Pek, Christian/S-2502-2016",,,,,,,,,,,,,,1946-0740,,978-1-5090-1314-2,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,WOS:000389524200059,View Full Record in Web of Science
C,"Weidauer, I; Kubus, D; Wahl, FM",,,IEEE,"Weidauer, Ingo; Kubus, Daniel; Wahl, Friedrich M.",,,A Hierarchical Extension of Manipulation Primitives and Its Integration into a Robot Control Architecture,2014 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 31-JUN 07, 2014","Hong Kong, PEOPLES R CHINA",IEEE,,,,,,,,,"Wahl, Friedrich/Q-4009-2017",,,,,,,,,,,,,,1050-4729,2577-087X,978-1-4799-3685-4,,,,2014,,,,,,,5401,5407,,,,,,,,,,,,,,,,WOS:000377221105067,View Full Record in Web of Science
C,"Braun, M; Wrede, S",,,IEEE,"Braun, Marco; Wrede, Sebastian",,,Grey-Box Learning of Adaptive Manipulation Primitives for Robotic Assembly,2023 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2023),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 29-JUN 02, 2023","London, ENGLAND","IEEE,IEEE Robot & Automat Soc",,,,,,,,,,"Wrede, Sebastian/0000-0003-0029-8188",,,,,,,,,,,,,1050-4729,2577-087X,979-8-3503-2365-8,,,,2023,,,,,,,12381,12387,,10.1109/ICRA48891.2023.10161077,http://dx.doi.org/10.1109/ICRA48891.2023.10161077,,,,,,,,,,,,,WOS:001048371104073,View Full Record in Web of Science
C,"Hogan, FR; Ballester, J; Dong, SY; Rodriguez, A",,,IEEE,"Hogan, Francois R.; Ballester, Jose; Dong, Siyuan; Rodriguez, Alberto",,,Tactile Dexterity: Manipulation Primitives with Tactile Feedback,2020 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 31-JUN 15, 2020",ELECTR NETWORK,IEEE,,,,,,,,,"黄, 黄/GXV-8263-2022",,,,,,,,,,,,,,1050-4729,2577-087X,978-1-7281-7395-5,,,,2020,,,,,,,8863,8869,,10.1109/icra40945.2020.9196976,http://dx.doi.org/10.1109/icra40945.2020.9196976,,,,,,,,,,,,,WOS:000712319505117,View Full Record in Web of Science
C,"Blanco-Mulero, D; Alcan, G; Abu-Dakka, FJ; Kyrki, V",,,IEEE,"Blanco-Mulero, David; Alcan, Gokhan; Abu-Dakka, Fares J.; Kyrki, Ville",,,QDP: Learning to Sequentially Optimise Quasi-Static and Dynamic Manipulation Primitives for Robotic Cloth Manipulation,"2023 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, IROS",IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"OCT 01-05, 2023","Detroit, MI","IEEE,RSJ",,,,,,,,,"Blanco-Mulero, David/IXX-2070-2023; Alcan, Gokhan/AAY-6516-2021; AbuDakka, Fares/M-2085-2019; Kyrki, Ville/F-3034-2011; Abu-Dakka, Fares J./M-4099-2014","Blanco Mulero, David/0000-0003-1866-2144; Alcan, Gokhan/0000-0003-3025-5883; Kyrki, Ville/0000-0002-5230-5549; Abu-Dakka, Fares J./0000-0001-9062-9416",,,,,,,,,,,,,2153-0858,,978-1-6654-9190-7,,,,2023,,,,,,,984,991,,10.1109/IROS55552.2023.10342002,http://dx.doi.org/10.1109/IROS55552.2023.10342002,,,,,,,,,,,,,WOS:001133658800103,View Full Record in Web of Science
C,"Vuong, N; Pham, H; Pham, QC",,,IEEE,Nghia Vuong; Hung Pham; Quang-Cuong Pham,,,Learning Sequences of Manipulation Primitives for Robotic Assembly,2021 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2021),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 30-JUN 05, 2021","Xian, PEOPLES R CHINA","IEEE,IEEE Robot & Automat Soc,So Univ Sci & Technol,Harbin Inst Technol,Xian Jiaotong Univ,Univ Toronto,Nat Sci & Engn Res Council Canada,Chinese Univ Hong Kong,DJI,Biomimet Intelligence & Robot,Toyota Res Inst,Baidu,Mech Mind Robot Technologies,Facebook AI,Nokov,Manycore,Franka Emika,Zhejiang Univ, Huzhou Inst,Jing Tian,ATI Ind Automat,Amber,Direct Drive Tech,Inceptio,Flexiv,Deeproute AI,Unitree,Waymo,Kuka,Pudu Robot,Deep Robot,Nvidia,MathWorks",,,,,,,,,"Pham, Quang-Cuong/G-5050-2012",,,,,,,,,,,,,,1050-4729,2577-087X,978-1-7281-9077-8,,,,2021,,,,,,,4086,4092,,10.1109/ICRA48506.2021.9561029,http://dx.doi.org/10.1109/ICRA48506.2021.9561029,,,,,,,,,,,,,WOS:000765738803036,View Full Record in Web of Science
