Title,Year,DOI
Effectiveness and application of simplified geometric models in skill-based manipulation,2003,
Sensor-based Whole-Body Planning/Replanning for Humanoid Robots,2019,10.1109/humanoids43949.2019.9035017
On-line learning and modulation of periodic movements with nonlinear dynamical systems,2009,10.1007/s10514-009-9118-y
Hierarchical Collision Avoidance for Adaptive-Speed Multirotor Teleoperation,2022,10.1109/SSRR56537.2022.10018782
On-line and On-board Planning and Perception for Quadrupedal Locomotion,2015,
Towards the analytical computation of time-optimal trajectories for unicycle robots in corridor environments,2024,
Robot planning and control,1997,10.1016/S0921-8890(96)00078-4
Time-Optimal Motion Strategies for Capturing an Omnidirectional Evader Using a Differential Drive Robot,2013,10.1109/TRO.2013.2264868
A Unified Language for Anthropomorphic Arm Motion,2013,
"Optimal timing control of interconnected, switched systems with applications to robotic marionettes",2008,10.1109/WODES.2008.4605938
Constrained Path Optimization with Bezier Curve Primitives,2014,
Timing Control of Switched Systems with Applications to Robotic Marionettes,2010,10.1007/s10626-009-0059-6
Collision Avoidance for Multiple Static Obstacles using Path-Velocity Decomposition,2019,10.1016/j.ifacol.2019.08.081
Context Dependent Action Affordances and their Execution using an Ontology of Actions and 3D Geometric Reasoning,2018,10.5220/0006562502180229
DMP-based Path Planning for Model Predictive Interaction Control,2024,
Online Segmentation and Clustering From Continuous Observation of Whole Body Motions,2009,10.1109/TRO.2009.2026508
An Analysis of Peristaltic Locomotion for Maximizing Velocity or Minimizing Cost of Transport of Earthworm-Like Robots,2021,10.1089/soro.2020.0021
Maneuver-based motion planning for nonlinear systems with symmetries,2005,10.1109/TRO.2005.852260
Human-Humanoid Haptic Joint Object Transportation Case Study,2012,
Controlling Palm-Object Interactions Via Friction for Enhanced In-Hand Manipulation,2022,10.1109/LRA.2022.3143578
Search-Based Motion Planning for Aggressive Flight in SE(3),2018,10.1109/LRA.2018.2795654
Energy-saving optimization method for point-to-point trajectories planned via standard primitives in 1-DoF mechatronic systems,2021,10.1007/s00170-021-07277-y
Control of Wall Mounting Robot,2017,10.1016/j.ifacol.2017.08.1113
Anchoring by imitation learning in conceptual spaces,2005,
Coordinating Mobile Manipulator's Motion to produce Stable Trajectories on Uneven Terrain based on Feasible Acceleration Count,2013,
Improving Walking Path Generation Through Biped Constraint in Indoor Navigation System for Visually Impaired Individuals,2024,10.1109/TNSRE.2024.3375944
Learning Sequential Force Interaction Skills,2020,10.3390/robotics9020045
Fusion dynamical systems with machine learning in imitation learning: A comprehensive overview,2024,10.1016/j.inffus.2024.102379
Imitation-Based Motion Planning and Control of a Multi-Section Continuum Robot Interacting With the Environment,2023,10.1109/LRA.2023.3239306
Grid-based Motion Planning using Advanced Motions for Hexapod Robots,2018,
Path planning for autonomous inland vessels in complex harbor environments,2023,
Towards Semantic Segmentation of Human Motion Sequences,2010,
Control Aesthetics in Software Architecture for Robotic Marionettes,2011,
Robotic in-hand manipulation with relaxed optimization,2024,10.1109/RO-MAN60168.2024.10731302
Path planning using genetic algorithms for mini-robotic tasks,2004,10.1109/ICSMC.2004.1400927
Mimetic Communication Model with Compliant Physical Contact in Human-Humanoid Interaction,2010,10.1177/0278364910364164
Learning robot soccer skills from demonstration,2007,
Leveraging Submovements for Prediction and Trajectory Planning for Human-Robot Handover,2022,10.1145/3529190.3529220
Learning quadrupedal locomotion over challenging terrain,2020,10.1126/scirobotics.abc5986
Representation and Generalization of Bi-manual Skills from Kinesthetic Teaching,2012,
Trajectory Generation under the Least Action Principle for Physical Human-Robot Cooperation,2013,
An extended DMP framework for robot learning and improving variable stiffness manipulation,2020,10.1108/AA-11-2018-0188
Hybrid Discrete-Continuous Path Planning for Lattice Traversal,2022,10.1109/IROS47612.2022.9981801
Trajectory Imitation With Visual Guidance and Compliance Control for Robotic Bolt Grasping and Assembly,2024,10.1109/TMECH.2024.3464680
Motion Generation Based on Contact State Estimation Using Two-stage Clustering,2023,10.1541/ieejjia.22012635
Navigation among visually connected sets of partially distinguishable landmarks,2012,
Towards Associative Skill Memories,2012,
Docking and Undocking a Modular Underactuated Oscillating Swimming Robot,2021,10.1109/ICRA48506.2021.9562033
A Comparison of Automatic Nap-of-the-earth Guidance Strategies for Helicopters,2014,10.1002/rob.21514
Probabilistic Segmentation Applied to an Assembly Task,2015,
Compliance force control for Polish cardiosurgical manipulator RobIn Heart,2013,
Learning Intelligent Controllers for Path-Following Skills on Snake-Like Robots,2011,
Incremental Micro-UAV Motion Replanning for Exploring Unknown Environments,2013,
"Scalable and Robust Fabrication, Operation, and Control of Compliant Modular Robots",2020,10.3389/frobt.2020.00044
MMP plus plus : Motion Manifold Primitives With Parametric Curve Models,2024,10.1109/TRO.2024.3444068
Graph Neural Networks for Decentralized Multi-Robot Target Tracking,2022,10.1109/SSRR56537.2022.10018712
