Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Xu, T; Singh, S; Chang, Q",,,,"Xu, Tian; Singh, Siddharth; Chang, Qing",,,Generalizing kinematic skill learning to energy efficient dynamic motion planning using optimized Dynamic Movement Primitives,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,,,,,,,,,,,,,,,,"Chang, Qing/O-8787-2016","Chang, Qing/0000-0003-3744-1371",,,,,,,,,,,,,0736-5845,1879-2537,,,,AUG,2025,94,,,,,,,,102983,10.1016/j.rcim.2025.102983,http://dx.doi.org/10.1016/j.rcim.2025.102983,,,,,,,,,,,,,WOS:001428860600001,View Full Record in Web of Science
C,"Matsubara, T; Hyon, SH; Morimoto, J",,,IEEE,"Matsubara, Takamitsu; Hyon, Sang-Ho; Morimoto, Jun",,,Learning Stylistic Dynamic Movement Primitives from Multiple Demonstrations,IEEE/RSJ 2010 INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS 2010),IEEE International Conference on Intelligent Robots and Systems,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems,"OCT 18-22, 2010","Taipei, TAIWAN",,,,,,,,,,,,,,,,,,,,,,,,2153-0858,,978-1-4244-6675-7,,,,2010,,,,,,,1277,1283,,10.1109/IROS.2010.5651049,http://dx.doi.org/10.1109/IROS.2010.5651049,,,,,,,,,,,,,WOS:000287672000085,View Full Record in Web of Science
J,"Nemec, B; Ude, A",,,,"Nemec, Bojan; Ude, Ales",,,Action sequencing using dynamic movement primitives,ROBOTICA,,,,,,,,,,,,,,,,,"Ude, Aleš/ABB-7839-2020","Ude, Ales/0000-0003-3677-3972",,,,,,,,,,,,,0263-5747,1469-8668,,,,SEP,2012,30,,5,,,,837,846,,10.1017/S0263574711001056,http://dx.doi.org/10.1017/S0263574711001056,,,,,,,,,,,,,WOS:000307192900012,View Full Record in Web of Science
C,"Hu, AP; Usher, C; Matthews, M",,,IEEE,"Hu, Ai-Ping; Usher, Colin; Matthews, Michael",,,Encoding Finesse Using Dynamic Movement Primitives and Low-Cost Sensors,2013 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS (AIM): MECHATRONICS FOR HUMAN WELLBEING,IEEE ASME International Conference on Advanced Intelligent Mechatronics,,,,IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM) - Mechatronics for Human Wellbeing,"JUL 09-12, 2013","Wollongong, AUSTRALIA","IEEE,ASME,RA,IES,DSC,Univ Wollongong,Engn Mfg,Def Mat Technol Ctr,ARC Ctr Excellence Electromaterials Sci,Engineers Australia,Robot Soc Japan,Univ Wollongong, Smart Infrastructure Facil,BesTech Sensors & Instrumentat,Universal Tech Training Serv,Tech & Sci Equipment",,,,,,,,,,,,,,,,,,,,,,,2159-6255,,978-1-4673-5320-5,,,,2013,,,,,,,1487,1491,,,,,,,,,,,,,,,,WOS:000328705300247,View Full Record in Web of Science
J,"Hanks, G; Venture, G; Hu, Y",,,,"Hanks, Geoffrey; Venture, Gentiane; Hu, Yue",,,Comparing Skill Transfer Between Full Demonstrations and Segmented Sub-Tasks for Neural Dynamic Motion Primitives,MACHINES,,,,,,,,,,,,,,,,,"Venture, Gentiane/E-7060-2013","Hu, Yue/0000-0002-3846-9096",,,,,,,,,,,,,,2075-1702,,,,DEC,2024,12,12,,,,,,,872,10.3390/machines12120872,http://dx.doi.org/10.3390/machines12120872,,,,,,,,,,,,,WOS:001384805100001,View Full Record in Web of Science
J,"Chi, MS; Yao, YF; Liu, YX; Teng, YQ; Zhong, M",,,,"Chi, Mingshan; Yao, Yufeng; Liu, Yaxin; Teng, Yiqian; Zhong, Ming",,,Learning motion primitives from demonstration,ADVANCES IN MECHANICAL ENGINEERING,,,,,,,,,,,,,,,,,,"Chi, Mingshan/0000-0002-4129-1153",,,,,,,,,,,,,1687-8132,1687-8140,,,,DEC 6,2017,9,12,,,,,,,1687814017737260,10.1177/1687814017737260,http://dx.doi.org/10.1177/1687814017737260,,,,,,,,,,,,,WOS:000417330300001,View Full Record in Web of Science
J,"Ginesi, M; Meli, D; Roberti, A; Sansonetto, N; Fiorini, P",,,,"Ginesi, Michele; Meli, Daniele; Roberti, Andrea; Sansonetto, Nicola; Fiorini, Paolo",,,Dynamic Movement Primitives: Volumetric Obstacle Avoidance Using Dynamic Potential Functions,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,,,,,,,,,,,,,,,,,"Ginesi, Michele/HTP-7306-2023; Meli, Daniele/HJA-7415-2022","Ginesi, Michele/0000-0001-5845-3692",,,,,,,,,,,,,0921-0296,1573-0409,,,,APR,2021,101,4,,,,,,,79,10.1007/s10846-021-01344-y,http://dx.doi.org/10.1007/s10846-021-01344-y,,,,,,,,,,,,,WOS:000636255400001,View Full Record in Web of Science
J,"Asemanrafat, A; Taheri, A; Meghdari, AF",,,,"Asemanrafat, Amirreza; Taheri, Alireza; Meghdari, Ali F.",,,Trajectory Augmentation Method Based on Dynamic Movement Primitives,IRANIAN JOURNAL OF SCIENCE AND TECHNOLOGY-TRANSACTIONS OF MECHANICAL ENGINEERING,,,,,,,,,,,,,,,,,"Meghdari, Ali/B-3933-2011","Taheri, Alireza/0000-0001-5826-260X",,,,,,,,,,,,,2228-6187,2364-1835,,,,2024 OCT 22,2024,,,,,,,,,,10.1007/s40997-024-00809-3,http://dx.doi.org/10.1007/s40997-024-00809-3,,OCT 2024,,,,,,,,,,,WOS:001338045300001,View Full Record in Web of Science
J,"Pfeiffer, S; Angulo, C",,,,"Pfeiffer, Sammy; Angulo, Cecilio",,,Gesture learning and execution in a humanoid robot via dynamic movement primitives,PATTERN RECOGNITION LETTERS,,,,,,,,,,,,,,,,,"; Angulo, Cecilio/A-7953-2010","Pfeiffer, Sammy/0000-0002-6988-0400; Angulo, Cecilio/0000-0001-9589-8199",,,,,,,,,,,,,0167-8655,1872-7344,,,,DEC 1,2015,67,,1,,,,100,107,,10.1016/j.patrec.2015.07.042,http://dx.doi.org/10.1016/j.patrec.2015.07.042,,,,,,,,,,,,,WOS:000364056500013,View Full Record in Web of Science
C,"Cohen, Y; Berman, S",,,IEEE,"Cohen, Yosef; Berman, Sigal",,,Tight Dynamic Movement Primitives for Complex Trajectory Generation,"2013 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC 2013)",IEEE International Conference on Systems Man and Cybernetics Conference Proceedings,,,,"IEEE International Conference on Systems, Man, and Cybernetics (SMC)","OCT 13-16, 2013","Manchester, ENGLAND","IEEE,IEEE Comp Soc",,,,,,,,,"Berman, Sigal/F-1467-2012","Berman, Sigal/0000-0001-7717-7259",,,,,,,,,,,,,1062-922X,,978-1-4799-0652-9,,,,2013,,,,,,,2402,2407,,10.1109/SMC.2013.410,http://dx.doi.org/10.1109/SMC.2013.410,,,,,,,,,,,,,WOS:000332201902088,View Full Record in Web of Science
