Title,Year,DOI
Deep Probabilistic Movement Primitives with a Bayesian Aggregator,2023,10.1109/IROS55552.2023.10342441
Towards grasping with spiking neural networks for anthropomorphic robot hands,2017,10.1007/978-3-319-68600-4_6
Robot learning human stiffness regulation for hybrid manufacture,2018,10.1108/AA-02-2018-019
Model selection for incremental learning of generalizable movement primitives,2017,10.1109/ICAR.2017.8023633
DMP and GMR based teaching by demonstration for a KUKA LBR robot,2017,10.23919/IConAC.2017.8081982
Musculoskeletal Bias on Infant Sensorimotor Development Driven by Predictive Learning,2019,10.1109/DEVLRN.2019.8850722
Tactile Features of Human Finger Contact Motor Primitives,2023,10.1109/TOH.2023.3332402
"International Conference on Advanced Mechatronic Systems, ICAMechS",2017,
Modular active curiosity-driven discovery of tool use,2016,10.1109/IROS.2016.7759584
Graph-based motor primitive generation framework: UAV motor primitives by demonstration-based learning,2015,10.1186/s13673-015-0051-0
On the encoding capacity of human motor adaptation,2021,10.1152/jn.00593.2020
Neural probabilistic motor primitives for humanoid control,2019,
DISCOVERING MOTOR PROGRAMS BY RECOMPOSING DEMONSTRATIONS,2020,
Rhythmic arm movements are less affected than discrete ones after a stroke,2016,10.1007/s00221-015-4543-y
An Approach to Hierarchical Deep Reinforcement Learning for a Decentralized Walking Control Architecture,2019,10.1007/978-3-319-99316-4_36
Biologically guided driver modeling: The stop behavior of human car drivers,2018,10.1109/TITS.2017.2751526
Multi-Modal Motion Activation for Robot Control Using Spiking Neurons,2018,10.1109/BIOROB.2018.8487786
A probabilistic approach to robot trajectory generation,2015,10.1109/HUMANOIDS.2013.7030017
Modular control of human movement during running: An open access data set,2018,10.3389/fphys.2018.01509
Reinforcement learning for improving imitated in-contact skills,2016,10.1109/HUMANOIDS.2016.7803277
Editorial: Modularity in motor control: From muscle synergies to cognitive action representation,2015,10.3389/fncom.2015.00126
Real-Time smoothness-based assistance during rhythmic arm movements,2016,10.1109/BIOROB.2016.7523734
Adaptation of motor primitives to the environment through learning and statistical generalization,2016,10.1007/978-3-319-21290-6_45
Experimental Assessment of a Control Strategy for Locomotion Assistance Relying on Simplified Motor Primitives,2022,10.1109/IROS47612.2022.9982128
Imitation Learning Control Strategy Based on Probabilistic Motor primitive for Upper Limb Rehabilitation Training,2024,10.1109/CIS-RAM61939.2024.10673394
Control Strategy Based on Kinetic Motor Primitives for Lower Limbs Exoskeletons,2018,10.1016/j.ifacol.2019.02.003
Combining motor primitives for perception driven target reaching with spiking neurons,2019,10.4018/IJCINI.2019010101
Simplified Motor Primitives for Gait Symmetrization: Pilot Study with an Active Hip Orthosis,2023,10.1109/ICRA48891.2023.10160837
Learning from Humans How to Grasp: A Reactive-Based Approach,2022,10.1007/978-3-030-92521-5_10
Controlling Musculoskeletal System with Spinal Cord-Inspired Constraint Force Field Primitives,2024,10.1142/S2301385024410115
Self-organized Attractoring in Locomoting Animals and Robots: An Emerging Field,2024,10.1007/978-3-031-72359-9_24
A unified scheme for the benchmarking of upper limb functions in neurological disorders,2022,10.1186/s12984-022-01082-8
Muscle-Synergy-Based Planning and Neural-Adaptive Control for a Prosthetic Arm,2021,10.1109/TAI.2021.3091038
Controlling a Robot Arm for Target Reaching without Planning Using Spiking Neurons,2018,10.1109/ICCI-CC.2018.8482049
Residual Learning From Demonstration: Adapting DMPs for Contact-Rich Manipulation,2022,10.1109/LRA.2022.3150024
Catch and Carry: Reusable Neural Controllers for Vision-Guided Whole-Body Tasks,2020,10.1145/3386569.3392474
Dynamic Primitives Facilitate Manipulating a Whip,2020,10.1109/BioRob49111.2020.9224399
Learning by demonstration with baxter humanoid,2018,10.1007/978-3-030-01054-6_54
Motor primitive-based control for lower-limb exoskeletons,2016,10.1109/BIOROB.2016.7523700
"19th International Conference on Practical Applications of Agents and Multi-Agent Systems, PAAMS 2021",2021,
Motor-skill learning in an insect inspired neuro-computational control system,2017,10.3389/fnbot.2017.00012
Motor control insights on walking planner and its stability,2023,10.1088/2631-8695/accb27
Towards learning hierarchical skills for multi-phase manipulation tasks,2015,10.1109/ICRA.2015.7139389
Learning and Chaining of Motor Primitives for Goal-Directed Locomotion of a Snake-Like Robot with Screw-Drive Units,2015,10.5772/61621
Robot control based on motor primitives: A comparison of two approaches,2024,10.1177/02783649241258782
Meta learning shared hierarchies,2018,
Zero-Day Attacks Detection Using an Analysis of Mobile Robot Motor Primitives,2022,10.1109/RusAutoCon54946.2022.9896253
Generalization of orientational motion in unit quaternion space,2016,10.1109/HUMANOIDS.2016.7803366
Motion Learning and Generalization of Musculoskeletal Robot Using Gain Primitives,2024,10.1109/TASE.2023.3249228
Controlling and learning motor functions,2018,10.1007/978-3-319-73347-0_4
A Comparison of Dynamical Perceptual-Motor Primitives and Deep Reinforcement Learning for Human-Artificial Agent Training Systems,2022,10.1177/15553434221092930
Performance-based robotic assistance during rhythmic arm exercises,2016,10.1186/s12984-016-0189-7
Stereotypical reaching movements of the octopus involve both bend propagation and arm elongation,2015,10.1088/1748-3190/10/3/035001
Trajectory planning for robot arm based on the Improved Mixture of Motors Primitives,2023,10.1109/ICMA57826.2023.10216231
Adaptation of robot locomotion patterns with dynamic movement primitives,2015,10.1109/ICARSC.2015.9
"27th Brazilian Congress on Biomedical Engineering, CBEB 2020",2022,
Online sensorimotor learning and adaptation for inverse dynamics control,2021,10.1016/j.neunet.2021.06.029
Kick control: Using the attracting states arising within the sensorimotor loop of self-organized robots as motor primitives,2018,10.3389/fnbot.2018.00040
Rhythmic movements after a stroke: A different motor primitive should receive a dedicated training,2017,10.1007/978-3-319-46669-9_84
Generating pointing motions for a humanoid robot by combining motor primitives,2019,10.3389/fnbot.2019.00077
Combining spiking motor primitives with a behaviour-based architecture to model locomotion for six-legged robots,2019,10.1109/IROS40897.2019.8968128
Linguistic primitives: A new model for language development in robotics,2016,10.1007/978-3-319-43488-9_19
Reinforcement learning vs human programming in tetherball robot games,2015,10.1109/IROS.2015.7354296
Walking Assistance Using Artificial Primitives: A Novel Bioinspired Framework Using Motor Primitives for Locomotion Assistance Through a Wearable Cooperative Exoskeleton,2016,10.1109/MRA.2015.2510778
Speeding Up Incremental Learning Using Data Efficient Guided Exploration,2018,10.1109/ICRA.2018.8461241
Me and you together: A study on collaboration in manipulation tasks,2016,
Bioinspired Gain-Modulated Recurrent Neural Network for Controlling Musculoskeletal Robot,2021,10.1109/TNNLS.2021.3071196
Reconstruction of Hip Moments Through Constrained Shape Primitives,2022,10.1007/978-3-030-69547-7_62
Dynamic movement primitives in robotics: A tutorial survey,2023,10.1177/02783649231201196
Towards robot skill learning,2020,10.1109/ICARSC49921.2020.9096178
Motion Learning for Musculoskeletal Robots Based on Cortex-Inspired Motor Primitives and Modulation,2024,10.1109/TCDS.2023.3293097
Calibration Method to Improve Transfer from Simulation to Quadruped Robots,2018,10.1007/978-3-319-97628-0_9
SLIM: Skill Learning with Multiple Critics,2024,10.1109/ICRA57147.2024.10610691
Touch-Based Grasp Primitives for Soft Hands: Applications to Human-to-Robot Handover Tasks and beyond,2018,10.1109/ICRA.2018.8463212
Extraction of simple monophasic motor primitives towards bio-inspired locomotion assistance,2019,10.1109/CBS46900.2019.9114458
Learning manipulation graphs from demonstrations using multimodal sensory signals,2018,10.1109/ICRA.2018.8461121
Learning manipulation by sequencing motor primitives with a Two-Armed robot,2016,10.1007/978-3-319-08338-4_115
Prediction of Changes of Intentions and Avoidance Strategies for the Way Crossing Scenarios,2021,10.1007/978-3-030-71119-1_79
Generalizing movement primitives to new situations,2017,10.1007/978-3-319-64107-2_2
Autonomously constructing hierarchical task networks for planning and human-robot collaboration,2016,10.1109/ICRA.2016.7487760
Agile and Intelligent Control based on Geometric Motion Primitives for Robotic Arms,2022,10.1109/CAC57257.2022.10054971
How Many Muscles? Optimal Muscles Set Search for Optimizing Myocontrol Performance,2021,10.3389/fncom.2021.668579
Bimanual Rope Manipulation Skill Synthesis through Context Dependent Correction Policy Learning from Human Demonstration,2023,10.1109/ICRA48891.2023.10160895
