Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Hamburger, V; Berns, K; Iida, F; Pfeifer, R",,"Tokhi, MO; Virk, GS; Hossain, MA",,"Hamburger, V.; Berns, K.; Iida, F.; Pfeifer, R.",,,Standing up with motor primitives,CLIMBING AND WALKING ROBOTS,,,,,8th International Conference on Climbing and Walking Robots (CLAWAR 2005),"SEP 13-15, 2005","London, ENGLAND",,,,,,,,,,"Iida, Fumiya/D-3258-2012","Iida, Fumiya/0000-0001-9246-7190",,,,,,,,,,,,,,,3-540-26413-2,,,,2006,,,,,,,383,390,,10.1007/3-540-26415-9_46,http://dx.doi.org/10.1007/3-540-26415-9_46,,,,,,,,,,,,,WOS:000237058000046,View Full Record in Web of Science
J,"Schütz, C; Schack, T",,,,"Schuetz, Christoph; Schack, Thomas",,,Motor primitives of pointing movements in a three-dimensional workspace,EXPERIMENTAL BRAIN RESEARCH,,,,,,,,,,,,,,,,,"Schuetz, Christoph/C-2636-2013",,,,,,,,,,,,,,0014-4819,1432-1106,,,,JUN,2013,227,3,,,,,355,365,,10.1007/s00221-013-3516-2,http://dx.doi.org/10.1007/s00221-013-3516-2,,,,,,,,23604576,,,,,WOS:000319761900006,View Full Record in Web of Science
J,"Sung, Y; Kwak, J; Park, JH",,,,"Sung, Yunsick; Kwak, Jeonghoon; Park, Jong Hyuk",,,Graph-based motor primitive generation framework,HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192-1962,,,,DEC 15,2015,5,,,,,,,,35,10.1186/s13673-015-0051-0,http://dx.doi.org/10.1186/s13673-015-0051-0,,,,,,,,,,,,,WOS:000370182300001,View Full Record in Web of Science
J,"Tian, QQ; Liu, JX; Liu, K; Guo, SJ",,,,"Tian, Qianqian; Liu, Jixiao; Liu, Kuo; Guo, Shijie",,,Tactile Features of Human Finger Contact Motor Primitives,IEEE TRANSACTIONS ON HAPTICS,,,,,,,,,,,,,,,,,"Qian-Qian, Tian/GRJ-3774-2022","Liu, Jixiao/0000-0002-0355-9980",,,,,,,,,,,,,1939-1412,2329-4051,,,,OCT,2023,16,4,,,,,848,860,,10.1109/TOH.2023.3332402,http://dx.doi.org/10.1109/TOH.2023.3332402,,,,,,,,37956002,,,,,WOS:001152987500002,View Full Record in Web of Science
J,"Nunes, PF; Osten, I; Siqueira, AAG",,,,"Nunes, Polyana F.; Osten, Icaro; Siqueira, Adriano A. G.",,,Evaluation of Motor Primitive-Based Adaptive Control for Lower Limb Exoskeletons,FRONTIERS IN ROBOTICS AND AI,,,,,,,,,,,,,,,,,"Siqueira, Adriano/D-8758-2013","Siqueira, Adriano/0000-0003-0663-156X",,,,,,,,,,,,,2296-9144,,,,,DEC 16,2020,7,,,,,,,,575217,10.3389/frobt.2020.575217,http://dx.doi.org/10.3389/frobt.2020.575217,,,,,,,,33501336,,,,,WOS:000603377200001,View Full Record in Web of Science
C,"Nunes, PF; Ostan, I; dos Santos, WM; Siqueira, AAG",,"Bastos-Filho, TF; Caldeira, EMD; Frizera-Neto, A",,"Nunes, P. F.; Ostan, I; dos Santos, W. M.; Siqueira, A. A. G.",,,Analysis of Matrix Factorization Techniques for Extraction of Motion Motor Primitives,"XXVII BRAZILIAN CONGRESS ON BIOMEDICAL ENGINEERING, CBEB 2020",IFMBE Proceedings,,,,27th Brazilian Congress on Biomedical Engineering (CBEB),"OCT 26-30, 2020",ELECTR NETWORK,"Fed Univ Espirito Santo,Brazilian Soc Biomed Engn,CNPq,FAPES,Prolife",,,,,,,,,"Siqueira, Adriano/D-8758-2013; dos Santos, Wilian/AAE-5275-2022",,,,,,,,,,,,,,1680-0737,,978-3-030-70601-2; 978-3-030-70600-5,,,,2022,,,,,,,621,627,,10.1007/978-3-030-70601-2_95,http://dx.doi.org/10.1007/978-3-030-70601-2_95,,,,,,,,,,,,,WOS:000871993700095,View Full Record in Web of Science
C,"Huang, R; Yang, CG; Yang, F; Li, ZJ",,,IEEE,"Huang, Rui; Yang, Chenguang; Yang, Fan; Li, Zhijun",,,Robot Hand Learning from Multiple Demonstrations using Dynamics Motor Primitives,2017 INTERNATIONAL CONFERENCE ON ADVANCED MECHATRONIC SYSTEMS (ICAMECHS),International Conference on Advanced Mechatronic Systems,,,,International Conference on Advanced Mechatronic Systems (ICAMechS),"DEC 06-09, 2017","Huaqiao Univ, Xiamen, PEOPLES R CHINA","Concordia Univ,Tokyo Univ Agr & Technol,IEEE Advancing Technol Humanity",Huaqiao Univ,,,,,,,,"Li, Zhijun/ACT-9992-2022; Yang, Chenguang/AAJ-2509-2020","Yang, Chenguang/0000-0001-5255-5559",,,,,,,,,,,,,2325-0682,,978-1-5386-2602-3,,,,2017,,,,,,,1,6,,,,,,,,,,,,,,,,WOS:000451259900008,View Full Record in Web of Science
C,"Kober, J; Mohler, B; Peters, J",,"Chatila, R; Kelly, A; Merlet, JP",,"Kober, Jens; Mohler, Betty; Peters, Jan",,,Learning perceptual Coupling for Motor Primitives,"2008 IEEE/RSJ INTERNATIONAL CONFERENCE ON ROBOTS AND INTELLIGENT SYSTEMS, VOLS 1-3, CONFERENCE PROCEEDINGS",,,,,IEEE/RSJ International Conference on Intelligent Robots and Systems,"SEP 22-26, 2008","Nice, FRANCE","IEEE,Robot Soc Japan,IEEE Robot & Automat Soc,IEEE Ind Elect Soc,Soc Instrument & Control Engineers,Inst Natl Rech Informat & Automat,CNRS,Inst Control, Robot & Syst",,,,,,,,,"Peters, Jan/D-5068-2009; Kober, Jens/I-9119-2017","Peters, Jan/0000-0002-5266-8091; Kober, Jens/0000-0001-7257-5434",,,,,,,,,,,,,,,978-1-4244-2057-5,,,,2008,,,,,,,834,839,,10.1109/IROS.2008.4650953,http://dx.doi.org/10.1109/IROS.2008.4650953,,,,,,,,,,,,,WOS:000259998200130,View Full Record in Web of Science
J,"Tieck, JCV; Schnell, T; Kaiser, J; Mauch, F; Roennau, A; Dillmann, R",,,,"Tieck, J. Camilo Vasquez; Schnell, Tristan; Kaiser, Jacques; Mauch, Felix; Roennau, Arne; Dillmann, Ruediger",,,Generating Pointing Motions for a Humanoid Robot by Combining Motor Primitives,FRONTIERS IN NEUROROBOTICS,,,,,,,,,,,,,,,,,,"Roennau, Arne/0000-0002-6090-607X; Vasquez Tieck, J. Camilo/0000-0003-3449-1373",,,,,,,,,,,,,1662-5218,,,,,SEP 18,2019,13,,,,,,,,77,10.3389/fnbot.2019.00077,http://dx.doi.org/10.3389/fnbot.2019.00077,,,,,,,,31619981,,,,,WOS:000535814800001,View Full Record in Web of Science
C,"Peters, J; Schaal, S",,,IEEE,"Peters, Jan; Schaal, Stefan",,,Reinforcement learning for parameterized motor primitives,"2006 IEEE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORK PROCEEDINGS, VOLS 1-10",IEEE International Joint Conference on Neural Networks (IJCNN),,,,IEEE International Joint Conference on Neural Network,"JUL 16-21, 2006","Vancouver, CANADA",IEEE,,,,,,,,,"Peters, Jan/D-5068-2009","Peters, Jan/0000-0002-5266-8091",,,,,,,,,,,,,2161-4393,,978-0-7803-9490-2,,,,2006,,,,,,,73,+,,,,,,,,,,,,,,,,WOS:000245125900012,View Full Record in Web of Science
