Title,Year,DOI
Learning manipulation skills from a single demonstration,2018,10.1177/0278364917743795
Hierarchical Reinforcement Learning and Central Pattern Generators for Modeling the Development of Rhythmic Manipulation Skills,2011,
Programming and control for skill-based robots,2020,10.1515/eng-2020-0037
Recognition and Representation of Robot Skills in Real Time: A Theoretical Analysis,2013,
Learning Spatial Preconditions of Manipulation Skills using Random Forests,2016,
Adapting Everyday Manipulation Skills to Varied Scenarios,2019,10.1109/icra.2019.8793590
SKILL ACQUISITION-SYSTEM FOR THE INTELLIGENT ASSISTING SYSTEM - IAS,1994,
Manipulating deformoble linear objects: Programming using different manipulation skills,2002,
Learning to Scaffold the Development of Robotic Manipulation Skills,2020,10.1109/icra40945.2020.9197134
A telerobotics system for maintenance tasks integrating planning functions based on manipulation skills,1998,
Learning and Sequencing of Object-Centric Manipulation Skills for Industrial Tasks,2020,10.1109/IROS45743.2020.9341570
Meta-Residual Policy Learning: Zero-Trial Robot Skill Adaptation via Knowledge Fusion,2022,10.1109/LRA.2022.3146916
Task-Driven Reinforcement Learning With Action Primitives for Long-Horizon Manipulation Skills,2024,10.1109/TCYB.2023.3298195
Composable Interaction Primitives: A Structured Policy Class for Efficiently Learning Sustained-Contact Manipulation Skills,2024,10.1109/ICRA57147.2024.10610846
A review on manipulation skill acquisition through teleoperation-based learning from demonstration,2021,10.1049/ccs2.12005
Learning and Fast Object Recognition in Robot Skill Acquisition: A New Method,2010,
Composable Part-Based Manipulation,2023,
Deep Reinforcement Learning for the Improvement of Robot Manipulation Skills Under Sparse Reward,2022,10.1109/CCDC55256.2022.10034200
Learning dextrous manipulation skills using multisensory information,1996,10.1109/MFI.1996.572199
SoftGPT: Learn Goal-oriented Soft Object Manipulation Skills by Generative Pre-trained Heterogeneous Graph Transformer,2023,10.1109/IROS55552.2023.10341846
Planning of Knotting Based on Manipulation Skills with Consideration of Robot Mechanism/ Motion and Its Realization by a Robot Hand System,2017,10.3390/sym9090194
How to Prompt Your Robot: A PromptBook for Manipulation Skills with Code as Policies,2024,10.1109/ICRA57147.2024.10610784
A Skill-Based Architecture for Pick and Place Manipulation Tasks,2015,10.1007/978-3-319-23485-4_45
FOTS: A Fast Optical Tactile Simulator for Sim2Real Learning of Tactile-Motor Robot Manipulation Skills,2024,10.1109/LRA.2024.3396665
Reinforcement Learning Based Manipulation Skill Transferring for Robot-assisted Minimally Invasive Surgery,2020,10.1109/icra40945.2020.9196588
Composite dynamic movement primitives based on neural networks for human-robot skill transfer,2023,10.1007/s00521-021-05747-8
A Novel Contact State Estimation Method for Robot Manipulation Skill Learning via Environment Dynamics and Constraints Modeling,2022,10.1109/TASE.2021.3139096
Learning dextrous manipulation skills for multifingered robot hands using the evolution strategy,1998,10.1023/A:1007409228154
A Novel Robot Skill Learning Framework Based on Bilateral Teleoperation,2022,10.1109/CASE49997.2022.9926526
Neural Liénard system: learning periodic manipulation skills through dynamical systems,2024,10.1007/s11432-023-4219-8
Using robust and simplified geometric models in skill-based manipulation,2001,
Dexterous In-hand Manipulation by Guiding Exploration with Simple Sub-skill Controllers,2024,10.1109/ICRA57147.2024.10611300
Modeling and evaluating Gaussian mixture model based on motion granularity,2016,10.1007/s11370-015-0190-1
A probabilistic framework for learning geometry-based robot manipulation skills,2021,10.1016/j.robot.2021.103761
Manipulating deformable linear objects: Manipulation skill for active damping of oscillations,2002,
Generalizing Learned Manipulation Skills in Practice,2020,10.1109/IROS45743.2020.9340739
Kinesthetic Skill Refinement for Error Recovery in Skill-based Robotic Systems,2024,10.1109/UR61395.2024.10597483
A Framework for Composite Layup Skill Learning and Generalizing Through Teleoperation,2022,10.3389/fnbot.2022.840240
Meta-level Priors for Learning Manipulation Skills with Sparse Features,2017,10.1007/978-3-319-50115-4_19
Natural demonstration of manipulation skills for multimodal interactive robots,2007,
Marionette: From traditional manipulation to robotic manipulation,2004,10.1007/1-4020-2204-2_10
A Unified Parametric Representation for Robotic Compliant Skills With Adaptation of Impedance and Force,2022,10.1109/TMECH.2021.3109160
Learning dextrous manipulation skills using the evolution strategy,1997,
Combined Optimization and Reinforcement Learning for Manipulation Skills,2016,
Robotic Manipulation Skill Acquisition Via Demonstration Policy Learning,2022,10.1109/TCDS.2021.3094269
Learning Robotic Assembly from CAD,2018,
BMI-based Framework for Teaching and Evaluating Robot Skills,2014,
ON-LINE PROGRAMMING OF ROBOT SKILLS,2019,
Application of competitive clustering to acquisition of human manipulation skills,2006,
"Efficient Reinforcement Learning Method for Multi-Phase Robot Manipulation Skill Acquisition via Human Knowledge, Model-Based, and Model-Free Methods",2025,10.1109/TASE.2024.3451296
"A Framework for Robot Manipulation: Skill Formalism, Meta Learning and Adaptive Control",2019,10.1109/icra.2019.8793542
Efficient Sim-to-real Transfer of Contact-Rich Manipulation Skills with Online Admittance Residual Learning,2023,
Haptic Teleoperation Framework for Learning Task Space Fine Manipulation Skills,2024,10.1109/ICIEA61579.2024.10665270
Contextual Latent-Movements Off-Policy Optimization for Robotic Manipulation Skills,2021,10.1109/ICRA48506.2021.9561870
Towards Associative Skill Memories,2012,
Manipulation skills acquisition and classification from haptic rendered virtual environment,2005,
Manipulation skills acquistion through state classification and dimension decrease,2005,
Synthesizing Navigation Abstractions for Planning with Portable Manipulation Skills,2023,
Development of Unit Robot Skill based Task Recipe for Task Planning,2020,
Composition and Incremental Refinement of Skill Models For Robotic Assembly Tasks,2019,10.1109/IRC.2019.00034
Flexible skill-based control for robot cells in manufacturing,2022,10.3389/frobt.2022.1014476
Learning and Generalizing Variable Impedance Manipulation Skills from Human Demonstrations,2022,10.1109/AIM52237.2022.9863389
A Reinforcement Learning-Based Framework for Robot Manipulation Skill Acquisition,2020,10.1109/ACCESS.2020.3001130
Method of usability for mobile robotics in a manufacturing environment,2017,10.1016/j.procir.2016.06.122
Toward Teaching by Demonstration for Robot-Assisted Minimally Invasive Surgery,2021,10.1109/TASE.2020.3045655
Towards Skills-based Easy Programming of Dual-arm Robot Applications,2019,10.5220/0007920203630370
Learning manipulative skills with ART,2000,
Integrating Reinforcement Learning and Learning From Demonstrations to Learn Nonprehensile Manipulation,2023,10.1109/TASE.2022.3185071
Current and Emerging Robot-Assisted Endovascular Catheterization Technologies: A Review,2014,10.1007/s10439-013-0946-8
A MODEL-BASED MANIPULATION SYSTEM WITH SKILL-BASED EXECUTION,1992,10.1109/70.163779
Modelling and Generalizing Achieved Robot Skills with Temporal Restricted Boltzmann Machines,2014,
Goal-Conditioned Dual-Action Imitation Learning for Dexterous Dual-Arm Robot Manipulation,2024,10.1109/TRO.2024.3372778
Learning Robust Manipulation Skills with Guided Policy Search via Generative Motor Reflexes,2019,10.1109/icra.2019.8793775
Manipulation skills acquisition through a haptic rendered virtual environment,2003,
In-hand manipulation planning using human motion dictionary,2022,10.1109/RO-MAN53752.2022.9900858
Robot skill learning and the data dilemma it faces: a systematic review,2024,10.1108/RIA-10-2023-0146
Learning robotic manipulation skills with multiple semantic goals by conservative curiosity-motivated exploration,2023,10.3389/fnbot.2023.1089270
Human-Robot Coordination in Agile Robot Manipulation,2021,10.1007/978-3-030-90525-5_46
SCALE: Causal Learning and Discovery of Robot Manipulation Skills using Simulation,2023,
Programming of Skill-based Robots,2024,10.1109/ICIEA61579.2024.10664981
Experiments in constrained prehensile manipulation: Distributed manipulation with ropes,2000,
A Framework of Hybrid Force/Motion Skills Learning for Robots,2021,10.1109/TCDS.2020.2968056
Skill-based instruction of collaborative robots in industrial settings,2018,10.1016/j.rcim.2018.03.008
Unsupervised Reinforcement Learning for Transferable Manipulation Skill Discovery,2022,10.1109/LRA.2022.3171915
Robust real-time upper limb motion transfer from human to humanoid for manipulation skill teaching,2024,10.1177/09544062231182893
Episode-Fuzzy-COACH Method for Fast Robot Skill Learning,2024,10.1109/TIE.2023.3294600
Analysis of Robot Skill Learning Methods and Secondary Approaches to Enhance Learning,2022,10.1109/ICMERR56497.2022.10097826
Knowledge Induced Deep Q-Network for Robot Push and Grasp Manipulation Skills Learning,2020,10.1109/CAC51589.2020.9326745
A Skill-Based Autonomous Control Method for Robotic Teleoperation,2008,
Gen2Sim: Scaling up Robot Learning in Simulation with Generative Models,2024,10.1109/ICRA57147.2024.10610566
Surprisingly Robust In-Hand Manipulation: An Empirical Study,2021,
Learning Object Manipulation Skills via Approximate State Estimation from Real Videos,2020,
Sensor fusion for human-robot skill transfer systems,2000,10.1163/156855300741997
Force-based Learning of Variable Impedance Skills for Robotic Manipulation,2018,
Constrained-Space Optimization and Reinforcement Learning for Complex Tasks,2020,10.1109/LRA.2020.2965392
Adaptation of manipulation skills in physical contact with the environment to reference force profiles,2015,10.1007/s10514-015-9435-2
A Framework for Improving Information Content of Human Demonstrations for Enabling Robots to Acquire Complex Tool Manipulation Skills,2023,10.1109/RO-MAN57019.2023.10309492
REBOOT: Reuse Data for Bootstrapping Efficient Real-World Dexterous Manipulation,2023,
Learning Contact-Rich Manipulation Skills with Guided Policy Search,2015,
A Constrained DMPs Framework for Robot Skills Learning and Generalization From Human Demonstrations,2021,10.1109/TMECH.2021.3057022
"Assessing the manipulative potentials of monkeys, apes and humans from hand proportions: implications for hand evolution",2016,10.1098/rspb.2016.1923
Exploration of Interventionists' Technical Manipulation Skills for Robot-Assisted Intravascular PCI Catheterization,2020,10.1109/ACCESS.2020.2980579
Learning Robot In-Hand Manipulation with Tactile Features,2015,
Evaluation of Human Behavior Difference with Restricted Field of View in Real and VR Environments,2018,
Deep Dynamics Models for Learning Dexterous Manipulation,2019,
Learning manipulation skills by combining PCA technique and adaptive interpolation,1998,10.1117/12.327003
Geometric Reinforcement Learning for Robotic Manipulation,2023,10.1109/ACCESS.2023.3322654
Optimizing Sequences of Probabilistic Manipulation Skills Learned from Demonstration,2019,
A Robot Skill Learning Method with Obstacle Avoidance Ability Based on Dynamic System Approach,2022,10.1109/ICARM54641.2022.9959491
The Pinch Sensor: An Input Device for In-Hand Manipulation with the Index Finger and Thumb,2023,10.1109/AIM46323.2023.10196268
TRANSFERRING MANIPULATIVE SKILLS TO ROBOTS - REPRESENTATION AND ACQUISITION OF TOOL MANIPULATIVE SKILLS USING A PROCESS DYNAMICS MODEL,1992,10.1115/1.2896518
Learning Forceful Manipulation Skills from Multi-modal Human Demonstrations,2021,10.1109/IROS51168.2021.9636828
EzSkiROS: enhancing robot skill composition with embedded DSL for early error detection,2025,10.3389/frobt.2024.1363443
Application of competitive clustering to acquisition of human manipulation skills acquisition,2006,
Industrial Robot Skills,2013,10.3233/978-1-61499-330-8-295
Towards Generalizable Zero-Shot Manipulation via Translating Human Interaction Plans,2024,10.1109/ICRA57147.2024.10610288
