Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Englert, P; Toussaint, M",,,,"Englert, Peter; Toussaint, Marc",,,Learning manipulation skills from a single demonstration,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,,,,,,,,,,,,,,,,,,"Toussaint, Marc/0000-0002-5487-6767; Englert, Peter/0000-0003-4598-7809",,,,,,,,,,,,,0278-3649,1741-3176,,,,JAN,2018,37,1,,,,,137,154,,10.1177/0278364917743795,http://dx.doi.org/10.1177/0278364917743795,,,,,,,,,,,,,WOS:000423752800008,View Full Record in Web of Science
C,"Ciancio, AL; Zollo, L; Guglielmelli, E; Caligiore, D; Baldassarre, G",,,IEEE,"Ciancio, Anna Lisa; Zollo, Loredana; Guglielmelli, Eugenio; Caligiore, Daniele; Baldassarre, Gianluca",,,Hierarchical Reinforcement Learning and Central Pattern Generators for Modeling the Development of Rhythmic Manipulation Skills,2011 IEEE INTERNATIONAL CONFERENCE ON DEVELOPMENT AND LEARNING (ICDL),,,,,IEEE International Conference on Development and Learning (ICDL),"AUG 24-27, 2011",GERMANY,"IEEE,IEEE Computat Intelligence Soc,Frankfurt Inst Adv Studies (FIAS),CITEC,italk,Springer,Microsoft Res,IM CLeVeR",,,,,,,,,"Zollo, Loredana/AAB-9645-2020; Caligiore, Daniele/AAX-1887-2020; Baldassarre, Gianluca/AAY-1081-2020","Ciancio, Anna Lisa/0000-0003-0488-0546; Zollo, Loredana/0000-0002-8015-010X; Baldassarre, Gianluca/0000-0002-1277-4447; Guglielmelli, Eugenio/0000-0001-8258-6073",,,,,,,,,,,,,,,978-1-61284-990-4,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,WOS:000297472300058,View Full Record in Web of Science
J,"Saukkoriipi, J; Heikkilä, T; Ahola, JM; Seppälä, T; Isto, P",,,,"Saukkoriipi, Janne; Heikkila, Tapio; Ahola, Jari M.; Seppala, Tuomas; Isto, Pekka",,,Programming and control for skill-based robots,OPEN ENGINEERING,,,,,,,,,,,,,,,,,,", Tapio/0000-0001-7180-2148",,,,,,,,,,,,,2391-5439,,,,,MAY 9,2020,10,1,,,,,368,376,,10.1515/eng-2020-0037,http://dx.doi.org/10.1515/eng-2020-0037,,,,,,,,,,,,,WOS:000534616400001,View Full Record in Web of Science
C,"Wang, W; Johnston, B; Williams, MA",,"Herrmann, G; Pearson, MJ; Lenz, A; Bremner, P; Spiers, A; Leonards, U",,"Wang, Wei; Johnston, Benjamin; Williams, Mary-Anne",,,Recognition and Representation of Robot Skills in Real Time: A Theoretical Analysis,"SOCIAL ROBOTICS, ICSR 2013",Lecture Notes in Artificial Intelligence,,,,5th International Conference on Social Robotics (ICSR),"OCT 27-29, 2013","Bristol, ENGLAND","Univ Bristol,Univ W England,Inst Engn & Technol Robot & Mechatron, Tech & Profess Network,Act Robots,Aldebaran Robot,Bristol Robot Lab",,,,,,,,,,"Williams, Mary-Anne/0000-0002-1047-0503",,,,,,,,,,,,,0302-9743,,978-3-319-02675-6; 978-3-319-02674-9,,,,2013,8239,,,,,,127,137,,,,,,,,,,,,,,,,WOS:000341015200013,View Full Record in Web of Science
C,"Kroemer, O; Sukhatme, GS",,"Asfour, T; Billard, A; Harada, K; Kulic, D; Ude, A; Venture, G; Yamane, K; Yokoi, K; Yoshida, E",,"Kroemer, Oliver; Sukhatme, Gaurav S.",,,Learning Spatial Preconditions of Manipulation Skills using Random Forests,2016 IEEE-RAS 16TH INTERNATIONAL CONFERENCE ON HUMANOID ROBOTS (HUMANOIDS),IEEE-RAS International Conference on Humanoid Robots,,,,16th IEEE-RAS International Conference on Humanoid Robots (Humanoids),"NOV 15-17, 2016","Mexican Assoc Comp Vis Robot & Neural Comp, Cancun, MEXICO","IEEE Robot & Automat Soc,Disney Res,ROBOTIS,INTEL,PAL,MACVNR,CONACYT,CINVESTAV",Mexican Assoc Comp Vis Robot & Neural Comp,,,,,,,,,"Kroemer, Oliver/0000-0003-2007-3867",,,,,,,,,,,,,2164-0572,,978-1-5090-4718-5,,,,2016,,,,,,,676,683,,,,,,,,,,,,,,,,WOS:000403009300102,View Full Record in Web of Science
C,"Gajewski, P; Ferreira, P; Bartels, G; Wang, CZ; Guerin, F; Indurkhya, B; Beetz, M; Sniezynski, B",,"Howard, A; Althoefer, K; Arai, F; Arrichiello, F; Caputo, B; Castellanos, J; Hauser, K; Isler, V; Kim, J; Liu, H; Oh, P; Santos, V; Scaramuzza, D; Ude, A; Voyles, R; Yamane, K; Okamura, A",IEEE,"Gajewski, Pawel; Ferreira, Paulo; Bartels, Georg; Wang, Chaozheng; Guerin, Frank; Indurkhya, Bipin; Beetz, Michael; Sniezynski, Bartlomiej",,,Adapting Everyday Manipulation Skills to Varied Scenarios,2019 INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 20-24, 2019","Montreal, CANADA","Bosch,DJI,Kinova,Mercedes Benz,Samsung,Argo AI,Clearpath Robot,Element AI,Fetch Robot,Huawei,iRobot,KUKA,Quanser,SICK,Toyota Res Inst,Uber,Waymo,Zhejiang Lab,Amazon,Applanix,Cloudminds,Honda Res Inst,MathWorks,Ouster",,,,,,,,,"Sniezynski, Bartlomiej/ABF-8160-2021; Sniezynski, Bartlomiej/K-2296-2012; Indurkhya, Bipin/Q-7115-2017","Sniezynski, Bartlomiej/0000-0002-4206-9052; Beetz, Michael/0000-0002-7888-7444; Guerin, Frank/0000-0003-1918-6311; Gajewski, Pawel/0000-0003-0931-2476; Indurkhya, Bipin/0000-0002-3798-9209",,,,,,,,,,,,,1050-4729,2577-087X,978-1-5386-6026-3,,,,2019,,,,,,,1345,1351,,10.1109/icra.2019.8793590,http://dx.doi.org/10.1109/icra.2019.8793590,,,,,,,,,,,,,WOS:000494942301012,View Full Record in Web of Science
J,"BUSS, M; HASHIMOTO, H",,,,"BUSS, M; HASHIMOTO, H",,,SKILL ACQUISITION-SYSTEM FOR THE INTELLIGENT ASSISTING SYSTEM - IAS,ADVANCED ROBOTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0169-1864,,,,,,1994,8,2,,,,,157,171,,,,,,,,,,,,,,,,WOS:A1994NX44300004,View Full Record in Web of Science
C,"Schlechter, A; Henrich, D",,,VDI; VDI,"Schlechter, A; Henrich, D",,,Manipulating deformoble linear objects: Programming using different manipulation skills,ROBOTIK 2002,VDI BERICHTE,,,,Robotik 2002 Conference,"JUN 19-20, 2002","LUDWIGSBURG, GERMANY",VDI Gesell,,,,,,,,,,,,,,,,,,,,,,,0083-5560,,3-18-091679-6,,,,2002,1679,,,,,,47,52,,,,,,,,,,,,,,,,WOS:000180710200008,View Full Record in Web of Science
C,"Shao, L; Migimatsu, T; Bohg, J",,,IEEE,"Shao, Lin; Migimatsu, Toki; Bohg, Jeannette",,,Learning to Scaffold the Development of Robotic Manipulation Skills,2020 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 31-JUN 15, 2020",ELECTR NETWORK,IEEE,,,,,,,,,"Bohg, Jeannette/AAD-4010-2019","Bohg, Jeannette/0000-0002-4921-7193",,,,,,,,,,,,,1050-4729,2577-087X,978-1-7281-7395-5,,,,2020,,,,,,,5671,5677,,10.1109/icra40945.2020.9197134,http://dx.doi.org/10.1109/icra40945.2020.9197134,,,,,,,,,,,,,WOS:000712319503133,View Full Record in Web of Science
C,"Ogasawara, T; Hirukawa, H; Kitagaki, K; Onda, H; Nakamura, A; Tsukune, H",,,IEEE,"Ogasawara, T; Hirukawa, H; Kitagaki, K; Onda, H; Nakamura, A; Tsukune, H",,,A telerobotics system for maintenance tasks integrating planning functions based on manipulation skills,"1998 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS 1-4",IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION,,,,IEEE International Conference on Robotics and Automation,"MAY 16-20, 1998","KATHOLIEKE UNIV LEUVEN, LEUVEN, BELGIUM","IEEE, Robot & Automat Soc,Consiglio Nazl Ric,Fund Sci Res, Flanders, Belgium,Fraunhofer Inst Produktionstechnik & Automatisier,Commiss European Communities,INRIA,BULL,CNES,DAIMLER,KUKA,MATRA,SIEMENS,TECNOSPAZIO,THOMSON-CSF",KATHOLIEKE UNIV LEUVEN,,,,,,,,"Hirukawa, Hirohisa/B-4209-2017; Onda, Hiromu/M-3382-2016","Ogasawara, Tsukasa/0000-0001-9767-6039",,,,,,,,,,,,,1050-4729,,0-7803-4300-X,,,,1998,,,,,,,2870,2876,,,,,,,,,,,,,,,,WOS:000074368900456,View Full Record in Web of Science
