"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link"
"Dong S.Y.","Dong, Sang Yoo (54972089100)","54972089100","A comparison of sliding mode and integral sliding mode controls for robot manipulators","2009","Transactions of the Korean Institute of Electrical Engineers","58","1","","168","172","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249098967&partnerID=40&md5=a0e37f23f02a60d0f709660441816f8a"
"Morrow J.Daniel; Khosla Pradeep K.","Morrow, J.Daniel (57198238905); Khosla, Pradeep K. (7101950321)","57198238905; 7101950321","Manipulation task primitives for composing robot skills","1997","Proceedings - IEEE International Conference on Robotics and Automation","4","","","3354","3359","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030682645&partnerID=40&md5=f9038f784b611c645058ae591e350580"
"Zheng D.; Yan J.; Xue T.; Liu Y.","Zheng, Deshuai (57221389288); Yan, Jin (57203202590); Xue, Tao (57213125952); Liu, Yong (57214860557)","57221389288; 57203202590; 57213125952; 57214860557","A knowledge-based task planning approach for robot multi-task manipulation","2024","Complex and Intelligent Systems","10","1","","193","206","13","10.1007/s40747-023-01155-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165090051&doi=10.1007%2fs40747-023-01155-8&partnerID=40&md5=8b61753d57db3e930ece1d97375c46aa"
"Backes Paul G.; Tso Kam S.","Backes, Paul G. (7003861192); Tso, Kam S. (7003571936)","7003861192; 7003571936","UMI: An interactive supervisory and shared control system for telerobotics","1990","","","","","1096","1101","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025683752&partnerID=40&md5=dfb124e598ac67381bcd79f9be46b9a0"
"Khatib O.","Khatib, Oussama (7006484906)","7006484906","The New Robotics Age: Meeting the Physical Interactivity Challenge","2016","CISM International Centre for Mechanical Sciences, Courses and Lectures","569","","","17","18","1","10.1007/978-3-319-33714-2_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051283426&doi=10.1007%2f978-3-319-33714-2_2&partnerID=40&md5=d77aee54803a1b6af1b29289307c4086"
"Koo K.; Jiang X.; Konno A.; Uchiyama M.","Koo, Kyongmo (24923050100); Jiang, Xin (55724171700); Konno, Atsushi (12244951800); Uchiyama, Masaru (7401753709)","24923050100; 55724171700; 12244951800; 7401753709","Clamp grasping and insertion task automation for automobile industry","2010","2010 IEEE/SICE International Symposium on System Integration: SI International 2010 - The 3rd Symposium on System Integration, SII 2010, Proceedings","","","5708341","293","298","5","10.1109/SII.2010.5708341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952776368&doi=10.1109%2fSII.2010.5708341&partnerID=40&md5=ec6db18565c492f59c36d87688e48ec9"
"Reddivari H.; Yang C.; Ju Z.; Liang P.; Li Z.; Xu B.","Reddivari, H. (58897200400); Yang, C. (55671767000); Ju, Z. (57213255368); Liang, P. (56341925400); Li, Z. (56266709300); Xu, B. (57191205532)","58897200400; 55671767000; 57213255368; 56341925400; 56266709300; 57191205532","Teleoperation control of Baxter robot using body motion tracking","2014","Proceedings of 2014 International Conference on Multisensor Fusion and Information Integration for Intelligent Systems, MFI 2014","","","6997722","","","","10.1109/MFI.2014.6997722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921267399&doi=10.1109%2fMFI.2014.6997722&partnerID=40&md5=e537cfbef5f9e1b0481c426ce9bf91e1"
"Dhakan P.; Kasmarik K.; Vance P.; Rano I.; Siddique N.","Dhakan, Paresh (57200329345); Kasmarik, Kathryn (35613933400); Vance, Philip (36651732700); Rano, Inaki (6508174123); Siddique, Nazmul (24438375100)","57200329345; 35613933400; 36651732700; 6508174123; 24438375100","Concurrent Skill Composition Using Ensemble of Primitive Skills","2023","IEEE Transactions on Cognitive and Developmental Systems","15","4","","1879","1890","11","10.1109/TCDS.2022.3177691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130859644&doi=10.1109%2fTCDS.2022.3177691&partnerID=40&md5=63a8389f87f37bd7ab9653c9cb884252"
"Kountouris V.G.; Stephanou H.E.","Kountouris, V.G. (6602463992); Stephanou, H.E. (7003416639)","6602463992; 7003416639","A distributed model of concurrency for robot sensorimotor synchronization","1990","","","","","611","616","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025555715&partnerID=40&md5=71da36bddd3e2d2d4391f1f6db09e20c"
"Michelman Paul; Allen Peter","Michelman, Paul (6603265268); Allen, Peter (57203498368)","6603265268; 57203498368","Forming complex dextrous manipulations from task primitives","1994","Proceedings - IEEE International Conference on Robotics and Automation","","pt 4","","3383","3388","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027963792&partnerID=40&md5=0c8ffad74aa5e8a86c49ea6861990d88"
