Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Wang, YF; Sun, HX; Chen, G; Jia, QX; Yu, BY",,,,"Wang, Yifan; Sun, Hanxu; Chen, Gang; Jia, Qingxuan; Yu, Boyang",,,Hierarchical Task Planning for Multiarm Robot with Multiconstraint,MATHEMATICAL PROBLEMS IN ENGINEERING,,,,,,,,,,,,,,,,,"Wang, Yifan/HNB-9938-2023","Chen, Gang/0000-0001-7120-7058",,,,,,,,,,,,,1024-123X,1563-5147,,,,,2016,2016,,,,,,,,2508304,10.1155/2016/2508304,http://dx.doi.org/10.1155/2016/2508304,,,,,,,,,,,,,WOS:000383061400001,View Full Record in Web of Science
S,"Riekki, J; Pajala, J; Tikanmäki, A; Röning, J",,"Asada, M; Kitano, H",,"Riekki, J; Pajala, J; Tikanmäki, A; Röning, J",,,CAT Finland:: Executing primitive tasks in parallel,ROBOCUP-98: ROBOT SOCCER WORLD CUP II,LECTURE NOTES IN ARTIFICIAL INTELLIGENCE,,,,"2nd Robot World Cup Conference (RoboCup-98), at the FIFA World Cup","JUL 02-09, 1998","CITE SCI & IND, PARIS, FRANCE","Sony Corp,NAMCO Ltd,SUNX Ltd",CITE SCI & IND,,,,,,,,,,,,,,,,,,,,,,0302-9743,,3-540-66320-7,,,,1999,1604,,,,,,396,401,,,,,,,,,,,,,,,,WOS:000087616500036,View Full Record in Web of Science
J,"Lima, PU; Saridis, GN",,,,"Lima, PU; Saridis, GN",,,Intelligent controllers as hierarchical stochastic automata,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,,,,,,"Lima, Pedro/HLQ-5415-2023; Lima, Pedro/G-1300-2010","Lima, Pedro/0000-0002-8962-8050",,,,,,,,,,,,,1083-4419,1941-0492,,,,APR,1999,29,2,,,,,151,163,,10.1109/3477.752790,http://dx.doi.org/10.1109/3477.752790,,,,,,,,18252289,,,,,WOS:000079319900002,View Full Record in Web of Science
S,"Lausen, H; Nielsen, J; Nielsen, M; Lima, P",,"Polani, D; Browning, B; Bonarini, A; Yoshida, K",,"Lausen, H; Nielsen, J; Nielsen, M; Lima, P",,,Model and behavior-based robotic goalkeeper,ROBOCUP 2003: ROBOT SOCCER WORLD CUP VII,Lecture Notes in Computer Science,,,,7th Robot World Cup Soccer and Rescue Competitions and Conference (ROBO CUP 2003),"JUL 02-11, 2003","PadivaFiere, Padua, ITALY",,PadivaFiere,,,,,,,,"Lima, Pedro/HLQ-5415-2023; Lima, Pedro/G-1300-2010","Lima, Pedro/0000-0002-8962-8050",,,,,,,,,,,,,0302-9743,1611-3349,3-540-22443-2,,,,2004,3020,,,,,,169,180,,,,,,,,,,,,,,,,WOS:000224027000015,View Full Record in Web of Science
J,"Dhakan, P; Kasmarik, K; Vance, P; Rañó, I; Siddique, N",,,,"Dhakan, Paresh; Kasmarik, Kathryn; Vance, Philip; Rano, Inaki; Siddique, Nazmul",,,Concurrent Skill Composition Using Ensemble of Primitive Skills,IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,,,,,,,,,,,,,,,,,"Vance, Philip/KHX-8233-2024; Rano, Inaki/I-2557-2012","Rano, Inaki/0000-0002-0461-0258; Vance, Philip/0000-0002-2189-3608; Siddique, Nazmul/0000-0002-0642-2357",,,,,,,,,,,,,2379-8920,2379-8939,,,,DEC,2023,15,4,,,,,1879,1890,,10.1109/TCDS.2022.3177691,http://dx.doi.org/10.1109/TCDS.2022.3177691,,,,,,,,,,,,,WOS:001126639000044,View Full Record in Web of Science
C,"Drumwright, E; Ng-Thow-Hing, V",,,IEEE,"Drumwright, Evan; Ng-Thow-Hing, Victor",,,The task matrix: An extensible framework for creating versatile humanoid robots,"2006 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA), VOLS 1-10",IEEE International Conference on Robotics and Automation ICRA,,,,IEEE International Conference on Robotics and Automation (ICRA),"MAY 15-19, 2006","Orlando, FL",IEEE,,,,,,,,,,,,,,,,,,,,,,,1050-4729,2577-087X,0-7803-9505-0,,,,2006,,,,,,,448,+,,10.1109/ROBOT.2006.1641752,http://dx.doi.org/10.1109/ROBOT.2006.1641752,,,,,,,,,,,,,WOS:000240886901001,View Full Record in Web of Science
C,"Kubat, M; Mianowski, K; Kmiecik, P; Granosik, G",,,IEEE,"Kubat, Mateusz; Mianowski, Krzysztof; Kmiecik, Piotr; Granosik, Grzegorz",,,Low-Cost Impedance Controlled Multifinger Gripper,2016 21ST INTERNATIONAL CONFERENCE ON METHODS AND MODELS IN AUTOMATION AND ROBOTICS (MMAR),,,,,21st International Conference on Methods and Models in Automation and Robotics (MMAR),"AUG 29-SEP 01, 2016","Miedzyzdroje, POLAND",,,,,,,,,,"Granosik, Grzegorz/P-5742-2019; Mianowski, Krzysztof/F-7468-2014","Granosik, Grzegorz/0000-0002-3345-627X; Mianowski, Krzysztof/0000-0002-0721-1172",,,,,,,,,,,,,,,978-1-5090-1866-6,,,,2016,,,,,,,357,362,,,,,,,,,,,,,,,,WOS:000392500900064,View Full Record in Web of Science
J,"Wang, L; Tian, YJ; Sawaragi, T",,,,"Wang, Lei; Tian, Yajie; Sawaragi, Tetsuo",,,Case-based automatic programming in robotic assembly production,INDUSTRIAL ROBOT-THE INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH AND APPLICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0143-991X,1758-5791,,,,,2011,38,1,,,,,86,96,,10.1108/01439911111097887,http://dx.doi.org/10.1108/01439911111097887,,,,,,,,,,,,,WOS:000287679400012,View Full Record in Web of Science
C,"Jensen, E; Hayes, B; Sankaranarayanan, S",,,ACM,"Jensen, Emily; Hayes, Bradley; Sankaranarayanan, Sriram",,,More Than a Number: A Multi-dimensional Framework For Automatically Assessing Human Teleoperation Skill,"COMPANION OF THE ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION, HRI 2023",,,,,18th Annual ACM/IEEE International Conference on Human-Robot Interaction (HRI),"MAR 13-16, 2023","Stockholm, SWEDEN","IEEE,Assoc Comp Machinery,Honda Res Inst Japan,Toyota Res Inst,Amazon,Furhat Robot,LuxAI,Diligent Robot,Navel Robot,Google,PAL Robot,Sci Robot,IEEE Robot & Automat Soc,SIGCHI,ACM SIGCAI",,,,,,,,,,"Jensen, Emily/0000-0002-1550-379X",,,,,,,,,,,,,,,978-1-4503-9970-8,,,,2023,,,,,,,653,657,,10.1145/3568294.3580167,http://dx.doi.org/10.1145/3568294.3580167,,,,,,,,,,,,,WOS:001054975700130,View Full Record in Web of Science
S,"Lima, P; Ventura, R; Aparício, P; Custódio, L",,"Veloso, M; Pagello, E; Kitano, H",,"Lima, P; Ventura, R; Aparício, P; Custódio, L",,,A functional architecture for a team of fully autonomous cooperative robots,ROBOCUP-99: ROBOT SOCCER WORLD CUP III,Lecture Notes in Artificial Intelligence,,,,3rd Robot World Cup Soccer Games and Conference,"JUL 27-AUG 06, 1999","STOCKHOLM, SWEDEN",Sony Corp,,,,,,,,,"Lima, Pedro/HLQ-5415-2023; Ventura, Rodrigo/V-2626-2019; Lima, Pedro/G-1300-2010; Custodio, Luis/N-7999-2018; Ventura, Rodrigo/M-3996-2013","Lima, Pedro/0000-0002-8962-8050; Custodio, Luis/0000-0001-9632-8171; Ventura, Rodrigo/0000-0002-5655-9562",,,,,,,,,,,,,2945-9133,1611-3349,3-540-41043-0,,,,2000,1856,,,,,,378,389,,,,,,,,,,,,,,,,WOS:000170571300031,View Full Record in Web of Science
